"Sélectif Régional - La Harelle - Montfort sur Meu (35) - 2013-03-31","Course 1","2013-03-31","Régional","76"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne Boixel","C1D","107.03","-","202.54",""
"Camille Prigent","C1D","107.67","185.7","210.05",""
"Betty Merand","C1D","131.36","316.97","487.97",""
"Marie-francoise Prigent","C1D","131.55","334.08","490.2",""
"Anais Pignet","C1D","131.7","402.67","491.96",""
"Yves Prigent","C1H","96","40.76","212.58",""
"Cedric Joly","C1H","96.03","24.04","212.97",""
"Lucas Hives - Sorin","C1H","99.65","57.28","260.71",""
"Romain Lecrenais-perrel","C1H","99.69","178.24","261.23",""
"Florian Joly","C1H","102.2","115.85","294.32",""
"Vincent Dubois","C1H","109.19","312.24","386.47",""
"Frederic Castryck","C1H","110.43","-","402.82",""
"Denis Voisin","C1H","112.41","-","428.93",""
"Johann Loiseau","C1H","114.94","462.07","462.29",""
"Jeanmichel Regnier","C1H","118.53","-","509.63",""
"Theo Quenouillere","C1H","Nt","-","-",""
"Simon Seuru","C1H","Nt","-","-",""
"Paul Violette","C1H","Nt","-","-",""
"Florian Joly-Cedric Joly","C2H","99.66","126.16","201.1",""
"Romain Lecrenais-perrel-Lucas Hives - Sorin","C2H","107.1","68.53","294.74",""
"Pierre Audouin-Boris Pernelle","C2H","121.47","-","475.58",""
"Leri Muller-Ludovic Le Cointre","C2H","124.13","587.37","509.06",""
"Anthony Drouhin-Augustin Thomas","C2H","131.3","-","599.31",""
"Pierre Yves Tanguy-Mathis Busnel","C2H","137.21","-","673.68",""
"Paul Violette-Natahan Leretrif","C2H","Nt","-","-",""
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","121.59","320.66","373.35",""
"Leri Muller-Anais Pignet","C2M","134.81","517.83","528.46",""
"Camille Grasland-Nathan Leretrif","C2M","158.75","-","809.32",""
"Vincent Dubois-Adele Renard","C2M","Nt","-","-",""
"Camille Prigent","K1D","97.11","50.76","136.56",""
"Anne Boixel","K1D","100.32","-","175.9",""
"Sarah Despres","K1D","107.38","116.15","262.39",""
"Suzy Merand","K1D","109.9","184.89","293.26",""
"Marie-francoise Prigent","K1D","116.17","164.56","370.07",""
"Betty Merand","K1D","116.46","251.42","373.63",""
"Megane Leport","K1D","128.93","388.11","526.39",""
"Anais Pignet","K1D","131.54","400.21","558.37",""
"Camille Grasland","K1D","131.71","764.95","560.46",""
"Yves Prigent","K1H","84.9","25.28","122.2",""
"Romain Lecrenais-perrel","K1H","85.87","31.26","135.62",""
"Melaine Pichard","K1H","91.38","124.97","211.9",""
"Boris Pernelle","K1H","91.87","96.3","218.69",""
"Pierre Audouin","K1H","92.69","89.14","230.04",""
"Theo Quenouillere","K1H","93.01","83.59","234.47",""
"Jeanmichel Regnier","K1H","93.46","139.83","240.7",""
"Frederic Castryck","K1H","94.42","-","253.99",""
"Vincent Dubois","K1H","94.57","122.17","256.07",""
"Emmanuel Cosse","K1H","97.53","161.26","297.05",""
"Lucas Hives - Sorin","K1H","98.61","-","311.99",""
"Francois Faguet","K1H","99.13","180.57","319.19",""
"Alexandre Bordas","K1H","99.75","190.2","327.78",""
"Julien Dosse","K1H","99.96","155.31","330.69",""
"Johann Loiseau","K1H","100.16","222.59","333.45",""
"Pierre Yves Tanguy","K1H","100.6","146.18","339.54",""
"Simon Seuru","K1H","101.67","134.14","354.35",""
"Ludovic Le Cointre","K1H","101.73","242.53","355.19",""
"Ronan Gac","K1H","103.48","-","379.41",""
"Bertrand Kerzerho","K1H","105.03","-","400.87",""
"Thibault Gautherot","K1H","106.25","328.93","417.76",""
"Paul Violette","K1H","106.88","-","426.48",""
"Samuel Flament","K1H","107.62","359.07","436.72",""
"Denis Voisin","K1H","108.12","-","443.65",""
"Augustin Thomas","K1H","108.56","333.29","449.74",""
"Leri Muller","K1H","109.12","295.63","457.49",""
"Vincent Pelgrin","K1H","109.32","314.28","460.26",""
"Anthony Drouhin","K1H","111.91","256.4","496.12",""
"Nathan Leretrif","K1H","112.9","474.93","509.82",""
"Yannick Faguet","K1H","113.44","403.04","517.3",""
"Melvil Boschel","K1H","129.32","-","737.13",""
"Leo Paillat","K1H","130.38","-","751.8",""
"Pierre-amaury Duclau","K1H","136.03","-","830.02",""
"Alexis Heude","K1H","192.6","-","1613.16",""
"Nicolas Imberti","K1H","Nt","-","-",""
"Thomas Le Roux","K1H","Nt","-","-",""
"Ludovic Gaignon","K1H","Nt","-","-",""
"Nicolas Veillard","K1H","Nt","-","-",""
