"Championnat Nationale 1 - Manche 4 - Pau - Pont d'Espagne - Qualification K1D-C2H","Pau - Pont d'Espagne","Qualification K1D-C2H","qualif","2013-05-09","Nationale 1","61"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nicolas Peschier-Pierre Labarelle","C2H","108.89","-","5.0",""
"Hugo Biso-Pierre Picco","C2H","119.09","23.07","75.09",""
"Gauthier Klauss-Matthieu Peche","C2H","119.88","20.81","80.52",""
"Jimy Bercon-Marc Biazizzo","C2H","120.99","40.9","88.15",""
"Antoine Giudicelli-Francois Giudicelli","C2H","121.57","48.46","92.13",""
"Yves Prigent-Loic Kervella","C2H","123.37","41.82","104.49",""
"Romain Lecrenais-perrel-Lucas Hives - Sorin","C2H","125.49","72.45","119.07",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","127.38","48.88","132.05",""
"Charly Chassigneux-Fabien Tournadre","C2H","128.58","102.42","140.31",""
"Louis Bouclier-Martin Mottais","C2H","132.04","88.24","164.07",""
"Loic Brunel-Medhi Deguil","C2H","132.43","65.06","166.76",""
"Baptiste Delaplace-Renaud Doby","C2H","132.61","53.6","167.99",""
"Mathieu Fougere-Thomas Fougere","C2H","132.98","33.86","170.54",""
"Antoine Gaillard-Antonin Elne","C2H","139.81","167.34","217.48",""
"Thomas Koechlin-Louison Tanet","C2H","141.35","64.71","228.05",""
"Julian Othenin-girard-Anice Benhacine","C2H","142.93","-","238.9",""
"Thomas Schmitt-Yann Rivallant","C2H","143.15","80.7","240.41",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","144.94","96.59","252.73",""
"Malo Poles-Baptiste Le Poncin","C2H","149.55","123.79","284.41",""
"Armand Rakowski-Emmanuel Sarazin","C2H","158.74","123.81","347.54",""
"Jonathan Chapatte-Sebastien De Kerleau","C2H","181.56","106.69","504.36",""
"Alan Dollo-Leo Le Druillennec","C2H","244.88","160.43","939.47",""
"Florian Joly-Cedric Joly","C2H","246.65","123.4","951.63",""
"Benjamin Reig-Cyril Boulet","C2H","276.3","104.47","1155.38",""
"Kilian Foulon-Alexandre Paulais","C2H","327.33","49.79","1506.05",""
"Marie-zelia Lafont","K1D","113.32","2.83","14.77",""
"Nouria Newman","K1D","118.16","14.8","47.15",""
"Emilie Fer","K1D","118.65","27.53","50.43",""
"Carole Bouzidi","K1D","119.41","5.53","55.51",""
"Lucie Baudu","K1D","121.18","26.02","67.35",""
"Estelle Mangin","K1D","121.59","11.09","70.08",""
"Pauline Guiet","K1D","123.42","15.45","82.32",""
"Caroline Loir","K1D","123.51","4.06","82.93",""
"Josepha Longa","K1D","123.6","34.64","83.53",""
"Laura Combot","K1D","124.78","38.27","91.43",""
"Camille Prigent","K1D","125.35","50.76","95.23",""
"Maria Ferekidi","K1D","126.9","56.04","105.6",""
"Pauline Gentilhomme","K1D","128.45","66.95","115.97",""
"Estelle Hellard","K1D","128.51","21.9","116.37",""
"Sarah Lyphout","K1D","130.26","54.04","128.07",""
"Julie Neime","K1D","130.85","47.28","132.03",""
"Berenice Kolenc","K1D","131.2","51.99","134.36",""
"Clementine Geoffray","K1D","132.32","30.35","141.86",""
"Lise Vinet","K1D","132.87","46.31","145.54",""
"Oceane Vienet","K1D","133.08","109.17","146.95",""
"Solene Graille","K1D","133.34","55.78","148.69",""
"Lea Gaigeot","K1D","135.58","78.89","163.67",""
"Flora Bove","K1D","135.8","42.39","165.14",""
"Melanie Ragaru","K1D","136.44","46.09","169.42",""
"Claire Moal","K1D","136.59","47.18","170.42",""
"Claire Gaigeot","K1D","138.17","75.89","181.0",""
"Flora Huvelin","K1D","139.18","50.92","187.75",""
"Mylene Ferry","K1D","139.34","81.15","188.81",""
"Caroline Bourry","K1D","141.31","67.02","202.0",""
"Joana Palermo","K1D","143.19","66.75","214.58",""
"Anne-sophie Biazizzo","K1D","145.85","84.79","232.37",""
"Lucie Prioux","K1D","154.63","92.53","291.1",""
"Elise Pierron","K1D","180.65","38.7","465.15",""
"Lea Wetzel","K1D","183.38","53.42","483.42",""
"Melanie Bordier","K1D","207.09","121.73","642.01",""
"Margaux Henry","K1D","208.31","76.05","650.17",""
