"Nationale 3 - Metz - Bassin de la Pucelle - 2013-05-12 Course 2","Metz - Bassin de la Pucelle","Course 2","","2013-05-12","Nationale 3","145"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne-lise Moisan-ehrwein","C1D","133.2","261.67","358.44",""
"Azenor Philip","C1D","150.36","310.63","505.74",""
"Axelle Armanini","C1D","154.65","390.4","542.55",""
"Marjorie Delassus","C1D","161.55","379.84","601.79",""
"Marine Constant-haldric","C1D","162.55","299.68","610.37",""
"Angelique Guilcher","C1D","175.47","390.25","721.27",""
"Hind Jamili","C1D","269.78","551.74","1530.79",""
"Romain Faurie","C1H","114.29","195.92","317.59",""
"Marcantoine Hacquart","C1H","114.92","220.57","323.67",""
"Gilles Schweitzer","C1H","115.69","273.52","331.09",""
"Guillaume Goury","C1H","115.74","166.83","331.58",""
"Jeancharles Reby","C1H","115.91","169.12","333.21",""
"Simon Clerc","C1H","117.29","194.2","346.53",""
"Philippe Senechal","C1H","119.32","208.81","366.1",""
"Jerome Olhagaray","C1H","120.04","221.06","373.05",""
"Jean Marc Trenchant","C1H","121.2","256.25","384.25",""
"Alexis Collin","C1H","122.55","169.35","397.27",""
"Yohan Wantz","C1H","123.06","262.6","402.18",""
"Christopher Lucas","C1H","123.64","308.12","407.77",""
"Valentin Vibert","C1H","124.07","312.95","411.93",""
"Anthony Deschamps","C1H","125.81","292.16","428.71",""
"Cedric Mace","C1H","133.33","374.91","501.25",""
"Lucas Hemmerle","C1H","133.62","-","504.05",""
"Louis Savart","C1H","138.43","289.5","550.45",""
"Lucas Galmiche","C1H","141.72","502.34","582.18",""
"Alexandre Diemert","C1H","143.77","430.25","601.96",""
"Lionel Borde","C1H","148.71","502.11","649.61",""
"Jules Marchal","C1H","160.45","473.78","762.86",""
"Romain Malgras","C1H","310.01","430.08","2205.56",""
"Axelle Armanini-Alicia Gallot","C2D","166.8","-","566.68",""
"Celia Mifsud-Marine Constant-haldric","C2D","189.03","456.32","746.8",""
"Charlotte Paulien-Julie Paulien","C2D","198.33","554.79","822.16",""
"Margaux Bandel-Zelie Wendling","C2D","258.1","559.8","1306.47",""
"Vincent Morabito-Yohan Wantz","C2H","140.56","411.78","509.36",""
"Loic Bertoia-Alexandre Marin","C2H","147.12","372.58","569.77",""
"Gregoire Guerin-Florian Jarousse","C2H","171.43","628.27","793.61",""
"Paul Cornut-chauvinc-Luis Brisson","C2H","262.8","-","1634.93",""
"Zelie Wendling","K1D","124.62","224.26","332.13",""
"Azenor Philip","K1D","126.67","239.0","350.5",""
"Tiphanie Le Gall","K1D","133.0","236.23","407.24",""
"Carla Cerrutti - Bozzola","K1D","133.67","244.37","413.25",""
"Anne-lise Moisan-ehrwein","K1D","137.05","-","443.54",""
"Emma Maujean","K1D","139.03","277.76","461.28",""
"Margaux Bandel","K1D","139.36","308.9","464.24",""
"Charlotte Paulien","K1D","141.21","258.45","480.83",""
"Louise Bichet","K1D","142.19","233.15","489.62",""
"Julie Paulien","K1D","143.58","341.14","502.07",""
