"Finale Nationale 3 - Inzinzac Lochrist - Qualification - 2013-10-12","Inzinzac Lochrist","Qualification","qualif","2013-10-12","Nationale 3","186"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marine Leveque","C1D","135.51","260.53","337.71",""
"Marie-francoise Prigent","C1D","137.29","325.56","353.87",""
"Aurelie Le Fee","C1D","145.08","409.04","424.66",""
"Rozenn Le Page","C1D","147.36","400.63","445.37",""
"Ronan Gouzien","C1H","114.13","198.24","271.83",""
"Quentin Desouche","C1H","114.17","214.68","272.23",""
"Richard Davy","C1H","115.11","152.53","281.84",""
"Gael Le Noc","C1H","115.62","166.07","287.04",""
"Valentin Marteil","C1H","116.16","259.57","292.56",""
"Julien Rocaboy","C1H","116.26","165.63","293.58",""
"Jules Chaumet","C1H","116.62","169.33","297.25",""
"Merwan Fliou","C1H","116.69","169.03","297.97",""
"Jerome Blanchet","C1H","117.94","218.89","310.74",""
"Malo Quemeneur","C1H","118.09","236.53","312.27",""
"Yoann Bizot","C1H","118.55","183.86","316.97",""
"Vincent Froger","C1H","118.57","178.57","317.18",""
"Jimmy Besson","C1H","118.71","182.24","318.59",""
"Raphael Licoine-mercy","C1H","118.86","235.09","320.13",""
"Mathieu Delorme","C1H","119.25","230.72","324.11",""
"Nicolas Coudert","C1H","119.33","163.91","324.94",""
"Yves Bourhis","C1H","119.56","209.93","327.28",""
"Alexandre Cierocki","C1H","119.75","242.22","329.22",""
"Brian Pieddefer","C1H","120.12","192.13","333.0",""
"Nathan Rene Corail","C1H","120.52","169.07","337.09",""
"Herve Busson","C1H","121.73","212.15","349.43",""
"Faysal Ali Zazou","C1H","121.8","219.72","350.15",""
"Gijs Zoetbrood","C1H","122.36","250.63","355.86",""
"Thomas Launay","C1H","123.7","246.38","369.56",""
"Franck Delachair","C1H","123.72","243.03","369.77",""
"Nino Louineau","C1H","124.83","321.44","381.1",""
"Lionel Donias","C1H","126.04","301.16","393.45",""
"Vincent Acou","C1H","126.54","441.93","398.55",""
"Valentin Feroc","C1H","127.99","331.26","413.36",""
"Adrien Loiseau","C1H","128.27","332.69","416.22",""
"Johann Loiseau","C1H","128.46","332.26","418.17",""
"Yves Broudic","C1H","128.61","251.59","419.7",""
"Theo Renaud","C1H","129.48","343.11","428.57",""
"Timothee Le Mort","C1H","130.64","297.82","440.42",""
"Hugo Guilleray","C1H","130.96","345.35","443.69",""
"Pierre Le Gall","C1H","136.79","432.07","503.21",""
"Cyril Launay","C1H","145.48","537.14","591.95",""
"Basile Desclos-Victor Desclos-le Peley","C2H","119.87","211.8","274.8",""
"Pierre Hellard-Malo Quemeneur","C2H","123.65","216.34","311.65",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","125.59","271.53","330.56",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","126.55","298.17","339.91",""
"Nicolas Rouleaud-Alexandre Dupas","C2H","132.55","278.38","398.4",""
"Pierre Le Gall-Maxime Barrault","C2H","137.65","399.09","448.1",""
"Ronan Gouzien-Paul Gestin","C2H","137.85","357.58","450.06",""
"Nicolas Coudert-Aurelie Le Fee","C2M","135.28","268.43","335.62",""
"Pauline Richard-Benoit Ricard","C2M","154.14","377.09","506.98",""
"Camille Grasland-Nathan Leretrif","C2M","167.73","650.29","630.47",""
"Lea Turmeau","K1D","122.61","173.95","269.78",""
"Lea Grison","K1D","122.89","238.96","272.44",""
"Adele Renard","K1D","125.81","204.39","300.14",""
"Maiwenn Le Floc'h","K1D","127.46","256.47","315.8",""
"Amelie Perier","K1D","128.07","197.86","321.59",""
"Sylviane Quemerais","K1D","129.65","209.33","336.59",""
"Pauline Richard","K1D","130.37","220.52","343.42",""
"Violaine Vennin","K1D","133.2","225.17","370.27",""
"Enora Bronsard","K1D","134.49","315.75","382.51",""
"Marie Duval","K1D","135.8","304.22","394.94",""
"Camille Grasland","K1D","137.84","371.28","414.29",""
"Lou Galliot","K1D","140.23","414.26","436.96",""
"Julie Dequeant","K1D","142.07","368.36","454.44",""
"Justine Dupont","K1D","142.26","459.97","456.23",""
"Christine Le Gall","K1D","143.96","508.44","472.36",""
"Deborah Larsonneur","K1D","148.04","400.02","511.08",""
"Quentin Chauvin","K1H","105.95","147.37","242.4",""
"Paul Gestin","K1H","105.99","163.23","242.83",""
"Morgan Le Friec","K1H","106.62","128.23","249.58",""
"Pierre Hellard","K1H","107.47","125.32","258.69",""
"Jeanmichel Regnier","K1H","107.57","123.64","259.77",""
"Manuel Savels","K1H","107.58","95.96","259.87",""
"Nicolas Mignon","K1H","107.7","159.01","261.16",""
"Remi Vinet","K1H","107.92","127.93","263.51",""
"Manuel Moquet","K1H","108.8","154.52","272.95",""
"Pierre Giudicelli","K1H","109.28","154.55","278.1",""
"Paul Fauchet","K1H","109.4","127.31","279.38",""
"Lorin Dumont","K1H","110.09","159.16","286.78",""
"Adrien Picco","K1H","110.2","132.68","287.96",""
"Hugues Moret","K1H","110.24","138.15","288.39",""
"Theo Lecomte","K1H","110.55","159.71","291.72",""
"Jacques Precigout","K1H","110.59","139.72","292.14",""
"Pol Hamon","K1H","110.69","154.88","293.22",""
"Timothee Le Mort","K1H","110.78","155.63","294.18",""
"Andy Barat","K1H","110.84","142.63","294.83",""
"Corentin Douady","K1H","111.17","174.19","298.37",""
"Simon Seuru","K1H","111.27","142.46","299.44",""
"Martin Belliot","K1H","111.29","178.08","299.65",""
"Johann Loiseau","K1H","111.32","185.48","299.97",""
"Arthur Huet","K1H","111.37","168.52","300.51",""
"Olivier Nonnet","K1H","111.59","141.65","302.86",""
"Emmanuel Cosse","K1H","111.95","168.07","306.73",""
"Julien Dosse","K1H","112.17","126.74","309.09",""
"Manuel Coquelin","K1H","112.48","147.44","312.41",""
"Alain Droniou","K1H","112.56","202.86","313.27",""
"Damien Gaillard","K1H","112.61","196.51","313.8",""
"Romain Gaillard","K1H","112.63","170.07","314.01",""
"Cyril Combreau","K1H","112.64","180.38","314.13",""
"Theo Renaud","K1H","112.88","217.51","316.7",""
"Ugo Rimbert","K1H","113.0","177.35","317.98",""
"Benoit Jouan","K1H","113.17","166.62","319.81",""
"Arthur Chaumet","K1H","113.23","177.97","320.45",""
"Eadwin Famechon","K1H","113.66","194.26","325.06",""
"Pierre Yves Tanguy","K1H","113.78","186.5","326.35",""
"Francois Poirier","K1H","113.81","286.77","326.67",""
"Gwenael Marquer","K1H","113.82","166.68","326.77",""
"Valentin Le Moignic","K1H","113.89","162.98","327.53",""
"Adrien Verite","K1H","113.99","151.97","328.6",""
"Ludovic Gaignon","K1H","114.05","187.72","329.24",""
"Etienne Chauvin","K1H","114.09","155.85","329.67",""
"Nicolas Foulon","K1H","114.29","229.83","331.81",""
"Alexandre Bordas","K1H","114.36","196.76","332.57",""
"Ludovic Le Cointre","K1H","114.41","261.9","333.11",""
"Mathieu Delorme","K1H","114.55","166.7","334.61",""
"Maxime Lignereux","K1H","114.61","159.98","335.25",""
"Sylvain Le Dantec","K1H","114.61","252.57","335.25",""
"Patrick Jegou","K1H","114.8","207.31","337.29",""
"Anthony Drouhin","K1H","114.87","244.54","338.03",""
"Ronan Nedelec","K1H","115.05","185.9","339.96",""
"Victor Morisset","K1H","115.17","164.12","341.25",""
"Hugo Guilleray","K1H","115.23","166.33","341.9",""
"Jerome Trousson","K1H","115.27","160.02","342.33",""
"Nicolas Le Belleguic","K1H","115.29","209.35","342.54",""
"Jeremy Lecollinet","K1H","115.36","203.49","343.29",""
"Quentin Brillaut","K1H","115.39","274.1","343.61",""
"Gaetan Drouin","K1H","115.41","113.29","343.83",""
"Valentin Blondel","K1H","115.46","199.48","344.36",""
"Florian Vinet","K1H","115.6","263.17","345.86",""
"Arthur Traquet","K1H","115.71","224.34","347.04",""
"Nathan Flageul","K1H","115.82","212.79","348.22",""
