"Finale Nationale 3 - Pau - Finale","Pau","Finale","finale","2013-10-13","Nationale 3","28"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Clotilde Dumas","C1D","269.4","346.58","1379.92",""
"Joe-marie Abousleiman","C1H","112.17","182.07","235.32",""
"Theo Viens","C1H","119.51","203.31","301.19",""
"Virgile Pigache-donnet","C1H","121.04","202.28","314.91",""
"Benoit Pacteau","C1H","121.35","156.4","317.7",""
"Ugo Rolland","C1H","129.54","247.47","391.19",""
"Antoine Roux-Gurgen Brun","C2H","112.14","89.77","189.31",""
"Edgar Prigent-David Pordoy","C2H","137.25","280.38","404.4",""
"Christophe Einsargueix-Sylvain Gaude","C2H","145.05","350.92","471.22",""
"Nicolas Boulesteix-Raphael Merlet","C2H","150.44","348.6","517.38",""
"Julien Money-Joe-marie Abousleiman","C2H","182.15","218.43","789.01",""
"Cindy Coat-Gaetan Coat","C2M","246.08","354.4","1193.7",""
"Noa Bouchardon","K1D","126.14","204.85","280.55",""
"Lisa Mouffle","K1D","131.69","172.14","326.82",""
"Laurence Pessoni","K1D","139.33","215.94","390.53",""
"Astrid Coste","K1D","140.97","317.24","404.2",""
"Elsa Cailhol","K1D","147.9","238.83","461.99",""
"Jessica Joyau","K1D","277.98","292.81","1546.65",""
"Erwan Marchais","K1H","101.23","117.07","182.57",""
"Edgar Prigent","K1H","102.05","113.39","190.3",""
"Alexandre Pouille","K1H","102.77","135.84","197.08",""
"Alexandre Lucas","K1H","105.21","118.06","220.07",""
"Allan Cousset","K1H","106.07","154.27","228.17",""
"Pierre De La Morinerie","K1H","106.58","149.09","232.97",""
"Mathieu Cheze","K1H","106.6","161.34","233.17",""
"Leo Fournier","K1H","108.11","124.95","247.4",""
"Anthony Poux","K1H","113.31","179.08","296.39",""
"Theo Celjo","K1H","160.33","158.23","739.43",""
