"Finale Nationale 2 - Bassin international de Goumois - Qualification","Bassin international de Goumois","Qualification","qualif","2013-10-19","Nationale 2","251"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Baudu","C1D","131.39","93.98","188.22",""
"Anne-lise Moisan-ehrwein","C1D","161.14","194.58","393.11",""
"Justine Lorin","C1D","162.18","143.85","400.28",""
"Margaux Henry","C1D","165.21","145.36","421.13",""
"Marjorie Delassus","C1D","167.96","247.17","440.08",""
"Claire Landrin","C1D","200.76","128.38","665.97",""
"Caroline Scherer","C1D","203.97","148.54","688.08",""
"Lisa Robin","C1D","209.72","236.75","727.69",""
"Azenor Philip","C1D","307.04","220.52","1397.92",""
"Thibaut Perroteau","C1H","109.27","77.39","129.06",""
"Henri Despont","C1H","109.95","84.32","134.31",""
"Thomas Rosset","C1H","110.94","56.04","141.98",""
"Baptiste Tappero","C1H","112.21","91.71","151.82",""
"Lucas Vancon","C1H","112.88","77.19","157.0",""
"Antoine Roux","C1H","113.08","80.56","158.54",""
"Ewen Legrand","C1H","113.33","157.87","160.48",""
"Corentin Oulhen","C1H","113.36","89.87","160.71",""
"Lucas Roisin","C1H","113.67","84.66","163.11",""
"Florian Joly","C1H","113.98","90.56","165.5",""
"Bertrand Gutierrez","C1H","114.48","119.4","169.38",""
"Joris Santoro","C1H","114.68","126.1","170.92",""
"Paul Tallet Pinet","C1H","114.9","117.35","172.64",""
"Fabien Tournadre","C1H","116.6","118.41","185.79",""
"Philippe Thevenin","C1H","117.43","122.82","192.21",""
"Aurelien Ballandras","C1H","117.72","118.57","194.46",""
"Baptiste Le Poncin","C1H","118.03","98.92","196.86",""
"Galaad Pereyron","C1H","119.12","78.31","205.29",""
"Malo Poles","C1H","119.47","107.73","208.0",""
"Anice Benhacine","C1H","119.58","106.08","208.85",""
"Louis Raguenes","C1H","119.77","136.62","210.33",""
"Antoine Gaillard","C1H","119.79","112.36","210.48",""
"Alexandre Paulais","C1H","120.04","95.42","212.41",""
"Melenn Aubry","C1H","120.56","105.21","216.44",""
"Nathan Hossin","C1H","121.7","119.66","225.27",""
