"Finale Nationale 2 - Bassin international de Goumois - Finale","Bassin international de Goumois","Finale","finale","2013-10-20","Nationale 2","47"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Baudu","C1D","135.38","91.29","154.74",""
"Claire Landrin","C1D","144.98","128.38","222.4",""
"Anne-lise Moisan-ehrwein","C1D","165.02","194.58","363.66",""
"Justine Lorin","C1D","222.36","143.85","767.81",""
"Marjorie Delassus","C1D","373.24","247.17","1831.28",""
"Antoine Roux","C1H","115.23","76.54","113.27",""
"Thomas Rosset","C1H","115.5","53.97","115.42",""
"Lucas Roisin","C1H","118.34","81.29","137.91",""
"Fabien Tournadre","C1H","118.85","106.16","141.94",""
"Paul Tallet Pinet","C1H","119.12","111.7","144.09",""
"Corentin Oulhen","C1H","119.7","86.5","148.68",""
"Ewen Legrand","C1H","120.69","114.61","156.53",""
"Lucas Vancon","C1H","122.39","69.34","169.99",""
"Malo Poles","C1H","122.46","101.08","170.55",""
"Philippe Thevenin","C1H","130.78","111.28","236.44",""
"Florianne Gautier-Anne Traband","C2D","169.02","272.08","325.13",""
"Coralie Yebenes-Marion Delorme","C2D","198.96","295.24","524.35",""
"Jonas Turmeau-Gael Prodeau","C2H","129.2","147.33","177.42",""
"Malo Poles-Baptiste Le Poncin","C2H","130.93","106.13","190.49",""
"Antoine Gaillard-Antonin Elne","C2H","136.51","120.44","232.68",""
"Pierre Hellard-Malo Quemeneur","C2H","139.68","182.21","256.66",""
"Nicolas Ciemniewski-Galaad Pereyron","C2H","142.09","161.93","274.88",""
"Emilie Chamouleau-Christophe Marechal","C2M","138.85","119.44","179.19",""
"Medhi Deguil-Betty Merand","C2M","142.36","111.98","203.94",""
"Jonas Le Morvan-Claire Landrin","C2M","155.09","128.35","293.66",""
"Claire Haab-Pierre Marie Roussel","C2M","158.94","171.79","320.81",""
"Anthony Thuillier-Camille Andrieux","C2M","174.88","251.23","433.15",""
"Julie Labarelle","K1D","122.02","57.33","98.63",""
"Claire Gaigeot","K1D","122.32","69.47","100.85",""
"Lucie Prioux","K1D","122.96","69.62","105.54",""
"Cecile Tixier","K1D","125.79","87.37","126.38",""
"Joey Bercon","K1D","126.11","84.43","128.73",""
"Lea Gaigeot","K1D","128.23","56.99","144.33",""
"Marine Leveque","K1D","128.77","69.96","148.31",""
"Margaux Henry","K1D","130.91","50.85","164.07",""
"Suzon Broute","K1D","133.33","84.25","181.87",""
"Marine Schmitt","K1D","133.56","86.91","183.57",""
"Romain Guyomard","K1H","103.1","43.77","65.06",""
"Gurgen Brun","K1H","104.34","36.77","68.34",""
"Benoit Chantry","K1H","105.43","38.2","77.4",""
"Christophe Marechal","K1H","105.78","31.25","80.31",""
"Gael Prodeau","K1H","106.8","37.79","88.79",""
"Aubry Bertin","K1H","107.17","49.86","91.88",""
"James Duvernoy","K1H","107.36","36.5","93.46",""
"Pierre Marie Roussel","K1H","108.86","28.88","105.93",""
"Nicolas Baudoin","K1H","109.46","32.93","110.93",""
"Alexandre Dherbilly","K1H","217.32","31.33","1008.0",""
