"Sélectif Régional - Veigné Course 4","Veigné","Course 4","","2013-11-17","Régional","108"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laurine Naveau","C1D","132.56","135.57","467.7",""
"Kevin Marquais","C1H","90.64","60.07","165.05",""
"Yann Basille","C1H","103.21","71.2","304.32",""
"Charly Chassigneux","C1H","104.19","44.47","315.18",""
"Paul Brier","C1H","107.39","-","350.63",""
"Alexandre Paulais","C1H","107.5","95.42","351.85",""
"Nathan Rene Corail","C1H","108.44","161.6","362.26",""
"Vincent Froger","C1H","109.48","179.27","373.78",""
"Mathieu Delorme","C1H","110.84","217.11","388.85",""
"Benjamin Thouvignon","C1H","112.18","211.38","403.7",""
"Timothee Le Mort","C1H","136.06","295.92","668.27",""
"Theo Renaud","C1H","141.73","328.82","731.1",""
"Antoine Cruard","C1H","161.65","723.89","951.79",""
"Jerome Boudin","C1H","163.81","-","975.73",""
"Aurelien Daridan","C1H","167.56","-","1017.27",""
"Raphael Licoine-mercy","C1H","175.44","223.26","1104.58",""
"Theo Foucher","C1H","178.37","411.83","1137.04",""
"Gregoire Moury","C1H","205.73","-","1440.16",""
"Lucas Pagnard - Tissier","C1H","208.09","390.56","1466.32",""
"Clement Bleuet","C1H","213.12","672.77","1522.03",""
"Benjamin Thouvignon-Paul Brier","C2H","109.69","-","320.87",""
"Gaetan Drouin-Nathan Rene Corail","C2H","139.05","374.94","631.37",""
"Erwan Jonin-Nathan Dalaine","C2H","173.5","-","995.7",""
"Axel Lepenant-Paul Besnard","C2H","272.94","1437.95","2047.35",""
"Josepha Longa-Kevin Marquais","C2M","138.33","-","524.58",""
"Bertrand Avril-Chloe Gatuingt","C2M","146.04","262.87","600.59",""
"Pauline Gentilhomme","K1D","99.28","72.14","182.9",""
"Josepha Longa","K1D","100.46","27.7","195.05",""
"Suzon Broute","K1D","103.99","84.25","231.39",""
"Laurine Naveau","K1D","115.69","87.72","351.85",""
"Delhia Petiot","K1D","129.58","311.53","494.84",""
"Tiphaine Drouin","K1D","151.05","459.38","715.88",""
"Emma Puig","K1D","172.92","-","941.02",""
"Julie Dequeant","K1D","226.12","358.37","1488.7",""
"Meghan Gonzalez","K1D","234.91","1047.43","1579.2",""
"Camille Le Coq","K1D","258.01","-","1817.01",""
"Janos Peterlin","K1H","80.72","-","99.86",""
"Paul Brier","K1H","82.63","-","122.07",""
"Christophe Marechal","K1H","85.11","27.39","150.93",""
"Christophe Augu","K1H","89.46","50.42","201.53",""
"Benjamin Thouvignon","K1H","90.44","80.66","212.94",""
"Herve Busson","K1H","91.1","60.76","220.62",""
"Boris Sacre","K1H","92.77","60.69","240.05",""
"Jonas Turmeau","K1H","93.08","34.33","243.64",""
"Stephane Broute","K1H","94.07","86.22","255.16",""
"Adrien Picco","K1H","94.56","132.68","260.87",""
"Jacques Precigout","K1H","96.03","132.43","277.97",""
"Alexandre Paulais","K1H","96.41","-","282.39",""
"Pierre Audouin","K1H","97.08","82.67","290.18",""
"Gaetan Drouin","K1H","99.22","117.24","315.07",""
"Guillaume De Fierville","K1H","101.88","201.22","346.02",""
"Martin Belliot","K1H","102.29","151.96","350.79",""
"Theo Renaud","K1H","102.7","212.04","355.56",""
"Yoann Turowsky","K1H","102.78","191.58","356.49",""
"Corentin Douady","K1H","104.07","171.92","371.5",""
"Baptiste Grosjean","K1H","105.25","200.85","385.22",""
"Bertrand Avril","K1H","105.82","122.6","391.86",""
"Mathieu Cheze","K1H","107.08","154.71","406.52",""
"Kevin Chalopin","K1H","107.14","270.2","407.21",""
"Erwan Jonin","K1H","107.52","342.22","411.63",""
"Emmanuel Moreau","K1H","107.65","292.73","413.14",""
"Nathan Rene Corail","K1H","108.25","309.49","420.12",""
"Timothee Le Mort","K1H","109.03","168.84","429.2",""
"Axel Meheust","K1H","109.95","254.82","439.9",""
"Paulin Cachanado","K1H","110.34","277.21","444.44",""
"Lucas Pagnard - Tissier","K1H","111.13","302.71","453.63",""
"David Couture","K1H","112.76","278.26","472.59",""
"Jerome Boudin","K1H","112.86","-","473.75",""
"Kevin Marquais","K1H","112.93","-","474.56",""
"Pierre Dehaudt","K1H","113.55","248.61","481.78",""
"Quentin Gaule","K1H","113.94","368.7","486.31",""
"Nicolas Leconte","K1H","115.1","292.56","499.82",""
"Ludovic Couture","K1H","115.72","248.51","507.02",""
"Florian Plault","K1H","115.84","310.39","508.42",""
"Nicolas Boulesteix","K1H","116.71","258.06","518.54",""
"Paul Besnard","K1H","117.86","356.57","531.91",""
"Florian Vinet","K1H","119.41","257.14","549.95",""
"Clement Bleuet","K1H","121.14","325.37","570.08",""
"Charly Chassigneux","K1H","122.95","-","591.13",""
"Christophe Cartault","K1H","125.38","344.54","619.4",""
"Theo Lecointe","K1H","132.69","459.87","704.44",""
"Samuel Breton","K1H","133.84","445.22","717.82",""
"Pierre Louis Ferre","K1H","135.18","417.92","733.41",""
"Nathan Dalaine","K1H","135.83","351.89","740.97",""
"Nicolas Petipez","K1H","136.62","411.35","750.16",""
"Gerard Lemonnier","K1H","137.83","489.8","764.24",""
"Fabrice Barras","K1H","141.4","724.1","805.77",""
"Antoine Grillier","K1H","144.05","-","836.59",""
"Christian Belouin","K1H","145.61","432.48","854.74",""
"Mathieu Delorme","K1H","147.05","166.7","871.49",""
"Vincent Froger","K1H","149.03","95.58","894.53",""
"Olivier Mercier","K1H","149.91","-","904.76",""
"Arnaud Hery","K1H","155.02","513.69","964.21",""
"Mathieu Cruard","K1H","158.01","1206.44","999.0",""
"Nicolas Candieu","K1H","158.29","550.38","1002.25",""
"Antoine Lanet","K1H","158.8","928.47","1008.19",""
"Gregoire Moury","K1H","160.0","312.54","1022.14",""
"Emilien Senneret","K1H","162.45","545.84","1050.64",""
"Maurice Pubert","K1H","173.18","640.03","1175.47",""
"Nicolas Dequeant","K1H","180.39","923.98","1259.35",""
"Steve Bruniquel","K1H","205.25","403.99","1548.55",""
"Quentin Marie","K1H","209.01","649.24","1592.29",""
"Pierre-antoine Alain","K1H","214.68","2005.54","1658.25",""
"Bastien Daguise","K1H","221.48","1440.18","1737.35",""
"Laurent Ranucci","K1H","244.92","388.18","2010.04",""
"Richard Gouget","K1H","254.71","577.1","2123.93",""
"Benjamin Chausson","K1H","257.84","-","2160.34",""
"Bastien Hirat","K1H","275.91","1052.88","2370.55",""
