"Sélectif Régional - Bourgine (Angoulême) - 2013-11-24","Course 2","2013-11-24","Régional","228"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","126.09","109.43","227.56",""
"Justine Lorin","C1D","131.15","141.15","276.09",""
"Solene Guillet","C1D","191.73","-","857.03",""
"Apolline Cros","C1D","241.5","-","1334.3",""
"Tiphaine Drouin","C1D","Nt","-","-",""
"Emilie Chamouleau","C1D","Nt","-","-",""
"Lea Gaigeot","C1D","Nt","-","-",""
"Claire Gaigeot","C1D","Nt","-","-",""
"Edern Le Ruyet","C1H","106.04","23.19","161.19",""
"Jason Brothier","C1H","108.29","57.5","185.44",""
"Pierre Antoine Tillard","C1H","108.31","16.52","185.65",""
"Jimmy Besson","C1H","115.44","187.35","262.5",""
"Charles Dampeyrou","C1H","115.59","112.47","264.12",""
"Antoine Launay","C1H","117.37","92.93","283.3",""
"Jerome Blanchet","C1H","118.26","211.34","292.9",""
"Merwan Fliou","C1H","120.29","169.19","314.76",""
"Quentin Desouche","C1H","120.7","169.83","319.18",""
"Frederic Boob","C1H","120.95","174.12","321.87",""
"Fabrice Roy","C1H","122.13","218.76","334.59",""
"Philippe Niquet","C1H","122.26","244.37","335.99",""
"Nathan Rene Corail","C1H","123.98","161.6","354.53",""
"Nathan Hossin","C1H","124.11","118.9","355.93",""
"Faysal Ali Zazou","C1H","124.28","212.52","357.76",""
"Christian Boob","C1H","125.04","190.65","365.95",""
"Quentin Chauvin","C1H","125.62","207.13","372.2",""
"Corentin Bernard","C1H","126.12","-","377.59",""
"Sylvain Brunet","C1H","126.15","-","377.92",""
"Damien Launay","C1H","126.48","268.25","381.47",""
"Nino Louineau","C1H","129.39","287.87","412.84",""
"Tom Hibberd","C1H","129.78","354.82","417.04",""
"Mathieu Villeger","C1H","131.3","435.19","433.42",""
"David Mingasson","C1H","133.41","278.78","456.15",""
"Pierre Giudicelli","C1H","133.87","345.12","461.11",""
"Maxime Barrault","C1H","136.04","407.92","484.5",""
"Theo Desvignes","C1H","136.34","364.9","487.74",""
"Dylan Sourbe","C1H","137.19","-","496.89",""
"Clement Jouannaud","C1H","138.46","639","510.58",""
"Mathieu Minie","C1H","138.55","-","511.54",""
"Olivier Cain","C1H","138.94","-","515.75",""
"Adrien Roux","C1H","141.72","-","545.71",""
"Logan Stenton","C1H","142.37","-","552.71",""
"Pierre Le Gall","C1H","142.44","406.6","553.47",""
"Michel Daupeux","C1H","148.3","795.9","616.62",""
"Fabrice Lacoudre","C1H","148.78","-","621.79",""
"Florian Champagne","C1H","151.87","-","655.09",""
"Anthony Roux","C1H","151.93","-","655.74",""
"Cyril Launay","C1H","152.57","517.4","662.65",""
"Mathias Pannetier","C1H","156.42","-","704.13",""
"Quentin Eon","C1H","159.93","-","741.95",""
"Nicolas Lelievre","C1H","161.92","598.54","763.4",""
"Thomas Le Gall","C1H","163.93","721.09","785.06",""
"Aurelien Dupreuilh","C1H","165.39","755.67","800.79",""
"Daniel Bregazzi","C1H","175.5","743.49","909.75",""
"Julien Moreau","C1H","178.01","-","936.8",""
"Yann Maillocheau","C1H","184.03","-","1001.68",""
"ThÉo Didier","C1H","236.85","-","1570.9",""
"Gaetan Cuvillier","C1H","Nt","-","-",""
"Bertrand Maillard","C1H","Nt","-","-",""
"Thibault Lefebvre","C1H","Nt","-","-",""
"Batiste Dubois","C1H","Nt","-","-",""
"Jules Nicot","C1H","Nt","-","-",""
"Renaud Doby","C1H","Nt","-","-",""
"Claire Gaigeot-Lea Gaigeot","C2D","146.55","290.15","345.07",""
"Emma Puig-Tiphaine Drouin","C2D","Nt","-","-",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","113.83","36.12","189.39",""
"Antoine Giudicelli-Francois Giudicelli","C2H","114.22","45.12","193.39",""
"Nicolas Labat-Christophe Marechal","C2H","119.5","106.01","247.71",""
"Christian Boob-Frederic Boob","C2H","122.65","117.91","280.11",""
"Damien Launay-Antoine Launay","C2H","129.3","-","348.52",""
"Jason Brothier-Maxime Texier","C2H","129.39","-","349.45",""
"David Mingasson-Charles Dampeyrou","C2H","130.71","-","363.03",""
"Pierre Le Gall-Maxime Barrault","C2H","145.78","377.34","518.05",""
"Batiste Dubois-Benjamin Georges","C2H","148.43","-","545.31",""
"Gaetan Drouin-Nathan Rene Corail","C2H","150.12","360.06","562.7",""
"Anthony Roux-Logan Stenton","C2H","169.48","-","761.86",""
"Nicolas Lelievre-Vincent Dupuy","C2H","209.79","-","1176.51",""
"Axel Gauthard-Edouard Paul-hazard","C2H","Nt","-","-",""
"Clement Berger-Mathieu Villeger","C2H","Nt","-","-",""
"Jerome Blanchet-Gijs Zoetbrood","C2H","Nt","-","-",""
"Julien Toussaint-Olivier Cain","C2H","Nt","-","-",""
"Theo Desvignes-Thomas Le Gall","C2H","Nt","-","-",""
"Alexandre Di Nisi-Ludovic Di Nisi","C2H","Nt","-","-",""
"Emilie Chamouleau-Christophe Marechal","C2M","129.5","112.23","260.26",""
"Frederic Boob-Frederique Merle","C2M","136.87","-","330.94",""
"Nicolas Labat-Justine Lorin","C2M","140.31","258.36","363.93",""
"Jerome Blanchet-Ella Bregazzi","C2M","147.32","377.91","431.14",""
"Nino Louineau-Violaine Vennin","C2M","155.61","-","510.65",""
"Cindy Coat-Gaetan Coat","C2M","155.94","439.11","513.82",""
"1 Ouvreur","C2M","158.9","-","542.2",""
"Sophie Delage-Christian Boob","C2M","171.2","545.72","660.15",""
"Josepha Longa","K1D","112.76","27.7","147.58",""
"Maria Ferekidi","K1D","113.38","46.13","153.79",""
"Claire Gaigeot","K1D","117.88","48.45","198.87",""
"Emilie Chamouleau","K1D","123.03","102.58","250.43",""
"Marie Gaspard","K1D","124.15","-","261.63",""
"Lea Gaigeot","K1D","124.75","56.99","267.64",""
"Frederique Merle","K1D","127.38","156.9","293.99",""
"Ella Bregazzi","K1D","129.09","222.93","311.11",""
"Cindy Coat","K1D","130.49","133.06","325.13",""
"Armelle Canali","K1D","131.76","148.79","337.85",""
"Violaine Vennin","K1D","135.24","195.98","372.69",""
"Laurence Pessoni","K1D","135.76","242.76","377.91",""
"Tiphaine Drouin","K1D","135.8","347.65","378.31",""
"Amelie Perier","K1D","135.93","200.87","379.61",""
"Emma Lars","K1D","136.63","-","386.62",""
"Djemy Martin","K1D","137.54","-","395.73",""
"Justine Lorin","K1D","138.15","229.49","401.84",""
"Olivia Legrix","K1D","145.65","-","476.94",""
"Emma Puig","K1D","153.84","718.18","558.95",""
"Helene Baty","K1D","155.72","696.48","577.78",""
"Solene Guillet","K1D","158.65","560.13","607.12",""
"Fanny Valeau","K1D","180.23","-","823.22",""
"Clemence Zago","K1D","181.62","-","837.14",""
"Claire Verrons","K1D","182.62","-","847.16",""
"Charlotte Doreau","K1D","235.76","-","1379.28",""
"Eliette Labrue","K1D","Nt","-","-",""
"Camille Amis","K1D","Nt","-","-",""
"Janos Peterlin","K1H","95.57","33.56","99.86",""
"Antoine Launay","K1H","99.25","14.3","141.5",""
"Ludovic Di Nisi","K1H","99.88","8.63","148.63",""
"Damien Launay","K1H","103.41","49.46","188.58",""
"Benoit Peschier","K1H","103.55","6.72","190.15",""
"Louis-maxime Main","K1H","105.78","52.17","215.4",""
"Alexandre Dherbilly","K1H","105.96","31.33","217.43",""
"Christophe Marechal","K1H","107.65","27.39","236.55",""
"Olivier Cain","K1H","108.56","90.68","246.86",""
"Nicolas Labat","K1H","109.44","53.75","256.81",""
"Ludovic Ngo","K1H","109.76","136.13","260.43",""
"Adrien Picco","K1H","110.2","132.68","265.4",""
"Quentin Chauvin","K1H","110.84","142.75","272.65",""
"Thibault Dufour","K1H","111.46","111.19","279.66",""
"Philippe Niquet","K1H","112.7","152.26","293.7",""
"Arthur Huet","K1H","112.75","177.53","294.26",""
"Etienne Chauvin","K1H","112.89","173.71","295.84",""
"Alexandre Di Nisi","K1H","113.95","186.02","307.84",""
"Nathan Hossin","K1H","114.98","180.65","319.49",""
"Corentin Moriniaux","K1H","115.52","176.8","325.61",""
"Valentin Alliot","K1H","115.75","-","328.21",""
"Adrien Verite","K1H","115.91","155.8","330.02",""
"Olivier Nonnet","K1H","116.15","152.38","332.73",""
"David Mingasson","K1H","116.45","144.98","336.13",""
"Clement Praille","K1H","116.72","207.45","339.18",""
"Damien Gaillard","K1H","116.8","184.01","340.1",""
"Jules Reix","K1H","117.03","238.36","342.69",""
"Gaetan Coat","K1H","117.79","196.05","351.29",""
"Laurent Urvois","K1H","118.03","-","354",""
"Mathieu Minie","K1H","118.47","-","358.99",""
"Romain Gaillard","K1H","118.6","171.36","360.45",""
"Corentin Bernard","K1H","119.06","-","365.66",""
"Maxime Barrault","K1H","119.23","224.88","367.59",""
"Arthur Traquet","K1H","119.67","223.27","372.56",""
"Dylan Sourbe","K1H","119.86","271.08","374.72",""
"Theo Desvignes","K1H","119.99","243.34","376.18",""
"Thomas Megard","K1H","121.74","294.49","395.98",""
"Gaetan Drouin","K1H","122.08","117.24","399.84",""
"Thibault Lefebvre","K1H","122.19","270.35","401.08",""
"Tom Hibberd","K1H","122.58","243.08","405.5",""
"Brice Guintard","K1H","122.8","283.58","407.98",""
"David Peigne","K1H","122.98","-","410.02",""
"Kevin Sponem","K1H","123.05","243.96","410.81",""
"Jeremi Toso","K1H","123.32","-","413.87",""
"Pierre Campagne","K1H","125.06","378.5","433.56",""
"Valentin Soullard","K1H","125.86","314.45","442.61",""
"Louis Demoulin-petit","K1H","125.89","-","442.95",""
"Thomas Le Gall","K1H","127.95","326.29","466.26",""
"Romain Poirier","K1H","129.56","362.16","484.48",""
"Samuel Breton","K1H","129.69","424.23","485.95",""
"Jules Nicot","K1H","130.56","-","495.79",""
"Bertrand Maillard","K1H","131.06","-","501.45",""
"Nathan Rene Corail","K1H","131.1","306.61","501.9",""
"Daniel Bregazzi","K1H","133.88","387.95","533.36",""
"Hugo Duponteil","K1H","135.71","682.04","554.07",""
"Maxime Goursaud","K1H","136.21","-","559.73",""
"Michel Daupeux","K1H","137.17","-","570.59",""
"Wilfried Truffy","K1H","141.25","409.64","616.76",""
"Raphael Jean","K1H","141.54","561.58","620.04",""
"Jean Luc Pessoni","K1H","141.96","462.23","624.79",""
"Sergepatrick Viseur","K1H","142.29","-","628.53",""
"Jerome Muller","K1H","142.6","347.55","632.03",""
"Pierre Le Gall","K1H","143.37","-","640.74",""
"Armand Vergnault","K1H","144.44","-","652.86",""
"Quentin Eon","K1H","145.25","-","662.02",""
"Aurelien Dupreuilh","K1H","146.62","549.34","677.52",""
"Emile Laurent","K1H","147.05","-","682.39",""
"Vincent Pujau","K1H","149.32","-","708.07",""
"Romain Rageau","K1H","149.58","-","711.02",""
"Jordan Dieusaert","K1H","149.65","929.05","711.81",""
"Frederic Mary","K1H","149.87","-","714.3",""
"Kevin Richard-lubon","K1H","150.43","-","720.63",""
"Leo Aranda","K1H","150.93","943.11","726.29",""
"Thierry Le Bonniec","K1H","153.27","587.24","752.77",""
"Clement Chadutaud","K1H","153.47","-","755.04",""
"Maxime Bouvet","K1H","153.49","970.33","755.26",""
"Pierre Giudicelli","K1H","156.23","129.02","786.27",""
"Yves Nicot","K1H","156.72","556.27","791.81",""
"Julien Moreau","K1H","157.6","-","801.76",""
"Morgan Deneuvy","K1H","158.64","-","813.54",""
"Edouard Paul-hazard","K1H","158.68","-","813.99",""
"Loick Dubois","K1H","158.97","-","817.27",""
"Yann Maillocheau","K1H","159.63","-","824.73",""
"Timothee Megard","K1H","162.43","738.37","856.42",""
"Alexandre Dubrous","K1H","174.02","-","987.57",""
"Clement Bonhomme","K1H","174.15","2148.96","989.05",""
"Vincent Dupuy","K1H","175.96","-","1009.52",""
"Maxime Texier","K1H","176.15","86","1011.67",""
"Cyril Launay","K1H","181.31","277.12","1070.06",""
"Antoine Bougette","K1H","181.75","-","1075.04",""
"NaËl Rajoub","K1H","190.41","-","1173.03",""
"Enzo Rigollet","K1H","198.77","-","1267.63",""
"Etienne Bennetot","K1H","220.58","-","1514.42",""
"ThÉo Didier","K1H","222.03","-","1530.84",""
"Nour Rajoub","K1H","229.88","-","1619.66",""
"Bartek Topilko","K1H","267.36","-","2043.76",""
"Pierre Dieusaert","K1H","273.18","-","2109.63",""
"Victor Lefoulon","K1H","Nt","-","-",""
