"Sélectif Championnat Interrégional - Beaurainville - base CK - Finale - 2014-03-09","Finale","2014-03-09","Nationale 3","115"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Emilie Delahaye","C1D","124.14","388.6","453.64","Finale A"
"Adele Charlaigre","C1D","239.54","631.13","1761.86","Finale A"
"Maxime Cousin","C1H","96.07","279.41","291.01","Finale A"
"Julien Fougeron","C1H","96.94","276.46","302.28","Finale A"
"Issam Chakir","C1H","97.81","249.61","313.55","Finale A"
"Jules Bevalot","C1H","98.22","420.67","318.86","Finale A"
"Olivier Gesbert","C1H","98.83","263.52","326.77","Finale A"
"Remi Quentin","C1H","99.63","364.14","337.13","Finale A"
"Louis Vandeville","C1H","100.65","259.36","350.35","Finale A"
"Francois Durand","C1H","102.39","292.05","372.89","Finale A"
"Charles Bre","C1H","103.98","315.46","393.49","Finale A"
"Jeremy Grippon","C1H","104.43","376.04","399.32","Finale A"
"Nathan Boudaillez","C1H","108.87","493.13","456.85","Finale A"
"Nicolas Ducrocq","C1H","111.3","385.85","488.33","Finale A"
"Adam Collin","C1H","112.98","444.42","510.09","Finale A"
"Matthieu Walfard","C1H","114.75","399.88","533.03","Finale A"
"Issam Chakir-Tom Maffeis","C2H","106.72","345.6","366.14","Finale A"
"Edouard Gracias-Teddy Poulard","C2H","114.36","-","460.63","Finale A"
"Lucas Gillet-Guillaume Picavet","C2H","126.39","613.92","609.4","Finale A"
"Aymeric Dollat-Pierre Ferrand","C2H","Nt","-","-","Finale A"
"Julien Fougeron-Lea Feuillard","C2M","116.47","363.69","366.69","Finale A"
"Adam Collin -Agathe Sananikone","C2M","Nt","-","-","Finale A"
"Manon Durand","K1D","102.59","267.37","281.38","Finale A"
"Marie Vandeville","K1D","111.49","407.86","388.53","Finale A"
"Agathe Sananikone","K1D","111.58","457.53","389.61","Finale A"
"Adele Charlaigre","K1D","112.83","346.73","404.66","Finale A"
"Ilhame Siraj","K1D","112.9","465.27","405.5","Finale A"
"Natacha Giraud","K1D","117.21","372.34","457.39","Finale A"
"Eva Dauvergne","K1D","117.54","374.98","461.36","Finale A"
"Lucie Cecile","K1D","Nt","-","-","Finale A"
"David Mingasson","K1H","87.86","245.98","241.56","Finale A"
"Nathan Aubert","K1H","88.5","229.49","250.26","Finale A"
"Alexandre Perrin Mortier","K1H","89.14","236.28","258.97","Finale A"
"Ludovic Ngo","K1H","89.36","238.14","261.96","Finale A"
"Francois Durand","K1H","91.28","245.63","288.08","Finale A"
"Clement Carbonnel","K1H","91.85","312.01","295.83","Finale A"
"Laurent Dupuis","K1H","92.15","246.47","299.92","Finale A"
"Adrien Suardana","K1H","92.42","238.45","303.59","Finale A"
"Luca Dos Santos","K1H","93.11","276.75","312.98","Finale A"
"Thomas Durand","K1H","93.53","311.61","318.69","Finale A"
"Jeremy Huguenin","K1H","93.9","296.78","323.72","Finale A"
"Maxime Poupart","K1H","94.13","313.58","326.85","Finale A"
"Dylan Garin","K1H","94.14","266.71","326.99","Finale A"
"Axel Guilleret","K1H","94.67","370.24","334.2","Finale A"
"Lucas Gillet","K1H","94.9","328.68","337.33","Finale A"
"Xavier Chantry","K1H","95","281.33","338.69","Finale A"
"Matthieu Walfard","K1H","95.68","308.57","347.94","Finale A"
"Edouard Gracias","K1H","95.78","258.74","349.3","Finale A"
"Louis Vandeville","K1H","95.84","305.28","350.11","Finale A"
"Pierre Ferrand","K1H","97.4","406.29","371.34","Finale A"
"Florian Perenchio","K1H","98.23","252.84","382.63","Finale A"
"Martin Rohaut","K1H","98.93","371.2","392.15","Finale A"
"Adam Collin","K1H","99.41","357.54","398.68","Finale A"
"Aymeric Dollat","K1H","99.87","379.03","404.94","Finale A"
"Nathan Boudaillez","K1H","101.72","258.33","430.1","Finale A"
"Erwan Gautrelet","K1H","101.88","399.91","432.28","Finale A"
"Mederic Larrive","K1H","103.05","302.55","448.2","Finale A"
"Louison Laumondais","K1H","104.02","372.57","461.39","Finale A"
"Son Bui","K1H","105.06","403.16","475.54","Finale A"
"Amaury Vielliard","K1H","105.17","339.07","477.04","Finale A"
"Nicolas Ducrocq","K1H","106.11","427.41","489.82","Finale A"
"Thomas Postaire","K1H","198.76","279.11","1750.2","Finale A"
"Teddy Poulard","C1H","97.71","284.06","317.26","Finale B"
"Loic Bourgeois","C1H","105.07","358.92","412.62","Finale B"
"Adrien Suardana","C1H","109.09","435.48","464.69","Finale B"
"Guillaume Picavet","C1H","112.97","-","514.96","Finale B"
"Robin Dheilly","C1H","113.57","462.82","522.74","Finale B"
"Jacques Nardeau","C1H","118.51","442.36","586.74","Finale B"
"Bastien Moreaux","C1H","119.32","524.29","597.23","Finale B"
"Alexis Pierlot","C1H","128.77","860.32","719.66","Finale B"
"Antoine Cruard","C1H","132.88","681.17","772.91","Finale B"
"Erwan Gautrelet","C1H","149.48","550.17","987.98","Finale B"
"Maxime Poupart","C1H","Nt","-","-","Finale B"
"Benjamin Pre","C1H","Nt","-","-","Finale B"
"Axel Guilleret","C1H","Nt","-","-","Finale B"
"Manon Durand-Ilhame Siraj","C2D","146.96","-","589.18","Finale B"
"Shererazade Ayadi","K1D","124.19","674.34","546.42","Finale B"
"Marion Taviaux","K1D","133.11","617.65","653.8","Finale B"
"Sandrine Arnal","K1D","142.91","495.3","771.78","Finale B"
"Manon Borde","K1D","147.98","765.9","832.82","Finale B"
"Pauline Ferreira De Abreu","K1D","197.92","808.97","1434.02","Finale B"
"Agnes Gigan","K1D","276.93","498.29","2385.2","Finale B"
"Mallaury Bour","K1D","284.15","728.02","2472.12","Finale B"
"Francois Pech","K1H","95.67","358.12","352.8","Finale B"
"Yohan Marck","K1H","96.74","269.3","367.36","Finale B"
"Yani Ferhaoui","K1H","98.26","325.23","388.03","Finale B"
"Benjamin Pre","K1H","98.71","411.32","394.16","Finale B"
"Robin Dheilly","K1H","98.93","380.79","397.15","Finale B"
"Kevin Rancon","K1H","99.65","517.35","406.94","Finale B"
"Daniel Jasinski","K1H","100.48","524.35","418.23","Finale B"
"Samuel Lhote","K1H","101.47","451.88","431.7","Finale B"
"Theo Lecointe","K1H","102.92","506.65","451.43","Finale B"
"Theo Zilber","K1H","103.16","399.08","454.69","Finale B"
"Adrien Barlier","K1H","103.17","450.29","454.83","Finale B"
"Philippe Valeri","K1H","104.37","383.28","471.15","Finale B"
"Antoine Saul","K1H","104.44","423.5","472.11","Finale B"
"Valentin Bonnot","K1H","105.81","432.38","490.74","Finale B"
"Mathurin Garnier","K1H","106.24","413.54","496.59","Finale B"
"Gerard Lafargue","K1H","108.43","375.28","526.38","Finale B"
"Yann Castryck- -genereux","K1H","110.34","571.87","552.37","Finale B"
"Maxime Pilard","K1H","110.38","394.12","552.91","Finale B"
"Arthur Dupont","K1H","111.19","524.8","563.93","Finale B"
"Mickael Dubois","K1H","112.25","494.56","578.35","Finale B"
"Robin Jullien","K1H","114.06","661.43","602.97","Finale B"
"Mathieu Cruard","K1H","115.29","792.47","619.7","Finale B"
"Remi Blaud","K1H","123.7","766.56","734.11","Finale B"
"Axel Godard","K1H","123.82","642.77","735.74","Finale B"
"Lucas Gamain","K1H","124.94","807.38","750.98","Finale B"
"Nicolas Castagnetti","K1H","126.15","581.03","767.44","Finale B"
"Emmanuel Queven","K1H","131.81","748.92","844.44","Finale B"
"Romain Huguenin","K1H","150.84","358.65","1103.32","Finale B"
"Batiste Morin","K1H","159.5","652.13","1221.12","Finale B"
"Bastien Moreaux","K1H","163.92","461.61","1281.25","Finale B"
"Paul Beteille","K1H","Nt","-","-","Finale B"
"Jeremy Grippon","K1H","Nt","-","-","Finale B"
