"Sélectif Championnat Interrégional - Vinon sur Verdon - Qualification","Vinon sur Verdon","Qualification","qualif","2014-03-23","Nationale 3","111"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marion Delorme","C1D","151.78","398.14","548.72",""
"Sandra Forgues","C1H","111.36","254.06","310.49",""
"Theo Roisin","C1H","123.1","351.14","440.9",""
"Etienne Klatt","C1H","125.13","413.05","463.44",""
"Camille Sahuc","C1H","129.88","462.08","516.21",""
"Ugo Rolland","C1H","131.59","331.63","535.21",""
"Julien Money","C1H","136.79","386.19","592.96",""
"Johan Pucheou","C1H","136.83","415.25","593.41",""
"Hugo Andre","C1H","138.71","578.16","614.29",""
"Theo Viens","C1H","163.79","283.62","892.87",""
"Francois Mouttou","C1H","168.21","705.92","941.98",""
"Addwyn Martinez","C1H","200.66","904.26","1302.43",""
"Lucas Di Martino","C1H","393.88","525.95","3448.72",""
"Baptiste Tappero-Dimitri Durannot","C2H","122.02","435.67","367.29",""
"Theo Roisin-Hugo Crepeau","C2H","219.44","552.81","1400.24",""
"Ronan Cordier-Julie Labarelle","C2M","132.68","421.6","363.09",""
"Annaelle Meheut-Jeremy Wagner","C2M","141.16","-","445.5",""
"Thibault Gache-Clara Gache","C2M","241.29","-","1418.72",""
"Elsa Cailhol","K1D","129.04","316.92","405.4",""
"Astrid Coste","K1D","146.4","354.42","584.59",""
"Marine Izac","K1D","149.88","505.54","620.5",""
"Clara Gache","K1D","150.95","314.89","631.54",""
"Lorene Scalbert","K1D","153.18","433.68","654.57",""
"Julie Fauroux","K1D","153.35","713.63","656.32",""
"Maud Sourbes","K1D","156.1","460.89","684.71",""
"Clemence Pacher","K1D","157.93","481.04","703.59",""
"Morgane Foligne","K1D","158.97","405.97","714.32",""
"Celine De La Morinerie","K1D","163.1","703.93","756.95",""
"Manon Flores","K1D","183.9","583.58","971.64",""
"Delia Forgues","K1D","189.06","363.74","1024.9",""
"Oriane Guichet","K1D","198.8","465.49","1125.43",""
"Melanie Connes-lessard","K1D","214.5","493.77","1287.48",""
"Agathe Gewiss","K1D","265.73","502.17","1816.25",""
"Brieuc Cadic","K1H","105.2","321.24","300.49",""
"Louis Midy","K1H","105.61","295.52","305.27",""
"Dimitri Durannot","K1H","106.32","241.76","313.55",""
"Anthony Poux","K1H","108.91","241.65","343.76",""
"Yohann Biglia","K1H","109.25","303.97","347.73",""
"Pierre De La Morinerie","K1H","110.03","233.56","356.83",""
"Hugo Crepeau","K1H","110.54","336.16","362.77",""
"Ugo Guillois","K1H","110.65","342.57","364.06",""
"Robin Vandenbossche","K1H","110.93","362.23","367.32",""
"Valentin Pahon","K1H","111.25","291.24","371.05",""
"Benoit Jacquot-bertrand","K1H","112.03","283.9","380.15",""
"Pablo Guillem","K1H","112.6","319.18","386.8",""
"Denis Delaleux","K1H","112.88","313.44","390.07",""
"Antoine Marigil","K1H","113.1","373.27","392.63",""
"Theo Viens","K1H","113.42","368.56","396.36",""
"Allan Cousset","K1H","113.6","236.19","398.46",""
"Julien Money","K1H","113.71","263.65","399.75",""
"Camille Sahuc","K1H","114.43","379.77","408.14",""
"Yannick Besse","K1H","114.5","-","408.96",""
"Olivier Cail","K1H","114.85","635.13","413.04",""
"Quentin Sablayrolles","K1H","115.54","315.4","421.09",""
"Antoine Dumaye","K1H","115.78","297.67","423.89",""
"Hugo Mouffle","K1H","116.4","440.48","431.12",""
"Thomas Thieblemont","K1H","117.13","347.74","439.64",""
"Adam Wronski","K1H","117.36","714.3","442.32",""
"Gregoire Pouille","K1H","118.55","385.61","456.2",""
"Pierre-louis Saussereau","K1H","118.97","439.49","461.1",""
"Antoine Laye","K1H","119.56","439.39","467.98",""
"Ronan Cordier","K1H","120.12","338.81","474.51",""
"Paul Commenges","K1H","120.3","319.02","476.61",""
"Sebastien Riou","K1H","120.46","416.21","478.47",""
"Clement Bosc","K1H","120.51","388.48","479.06",""
"Micael Rodriguez Alves Lato","K1H","121.09","351.71","485.82",""
"Francois Giondini","K1H","121.66","374.19","492.47",""
"Quentin Duhamel","K1H","122.62","342.0","503.67",""
"Florent Iraundegui","K1H","122.85","442.59","506.35",""
"Paul Roubaud","K1H","123.11","562.6","509.38",""
"Julien Delaleux","K1H","123.12","429.82","509.5",""
"Lucas Lavit","K1H","123.34","406.49","512.07",""
"David Bernardeau","K1H","123.56","450.54","514.63",""
"Arnaud Deletraz","K1H","123.67","486.5","515.91",""
"Mahe Dersoir","K1H","123.72","540.77","516.5",""
"Cyril Audoit","K1H","124.28","437.69","523.03",""
"Tom Deconchy","K1H","125.47","394.03","536.91",""
"Stephane Marcellot","K1H","126.26","484.27","546.12",""
"Hippolyte Cail","K1H","126.65","361.66","550.67",""
"Matthieu Demarty","K1H","127.28","422.55","558.02",""
"Ludovic Smal","K1H","128.05","397.31","567.0",""
"Paul Ballery","K1H","129.46","598.53","583.45",""
"Valentin Affortit","K1H","131.56","603.67","607.94",""
"Pioerre-calixte Gaydon-ohl","K1H","132.64","496.87","620.53",""
"Edouard Lecomte","K1H","133.43","505.35","629.75",""
"Fabien Leist","K1H","133.56","448.56","631.26",""
"Marc Cailhol","K1H","134.29","494.14","639.78",""
"Ollivier Paumier","K1H","136.96","501.22","670.92",""
"Yvannick Moisan","K1H","138.79","627.81","692.26",""
"Luc Sarramea","K1H","140.06","649.42","707.08",""
"Franck Leroy","K1H","143.79","815.12","750.58",""
"Ayoub Roger","K1H","148.99","891.84","811.23",""
"Hugo Polard","K1H","152.4","-","851.0",""
"Yann Tabone","K1H","160.47","-","945.13",""
"Vincent Laulhe","K1H","165.36","399.69","1002.16",""
"Robin Plancade","K1H","166.23","838.02","1012.31",""
"Flavien San Augustin","K1H","168.54","356.99","1039.25",""
"Morgan Meffre","K1H","170.4","439.11","1060.94",""
"Yannis Brousset","K1H","171.86","363.29","1077.97",""
"Thibault Gache","K1H","171.99","348.78","1079.49",""
"Louis Foissac","K1H","174.7","673.85","1111.1",""
"Kilian Torti","K1H","177.67","1041.62","1145.74",""
"Anton Gille","K1H","182.83","-","1205.92",""
"Nicolas Saurat","K1H","183.35","773.2","1211.98",""
"Lucas Maurin","K1H","196.4","576.19","1364.19",""
"Anthony Broc","K1H","203.01","-","1441.29",""
"Lucas Ferro","K1H","209.03","-","1511.5",""
"Hugo Avril","K1H","224.61","1386.54","1693.22",""
"Mathieu Lions","K1H","249.52","343.3","1983.75",""
"Mikael Clanchin","K1H","269.17","-","2212.94",""
"Morgan Hoarau","K1H","577.0","506.97","5803.28",""
