"Sélectif Championnat Nationale 2 - Lathus - Finale - 2014-03-30","Lathus","Finale","finale","2014-03-30","Nationale 2","205"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anne-lise Moisan-ehrwein","C1D","137.55","265.92","280.12","finale a"
"Caroline Scherer","C1D","146.91","242.22","361.71","finale a"
"Manon Caveribere","C1D","208.38","253.12","897.53","finale a"
"Galaad Pereyron","C1H","107.28","153.64","149.85","finale a"
"Gael Le Noc","C1H","109.84","219.56","175.36","finale a"
"Armand Rakowski","C1H","110.01","169.85","177.05","finale a"
"Antoine Gaillard","C1H","110.36","173.52","180.54","finale a"
"Nadjib Mazar","C1H","110.9","145.23","185.92","finale a"
"Corentin Oulhen","C1H","111.62","137.25","193.09","finale a"
"Alexandre Paulais","C1H","114.54","163.43","222.18","finale a"
"Henri Despont","C1H","114.74","137.99","224.17","finale a"
"Yves Bourhis","C1H","115.14","217.59","228.16","finale a"
"Joris Santoro","C1H","115.72","183.48","233.94","finale a"
"Alexandre Dupas","C1H","116.04","205.54","237.12","finale a"
"Quentin Desouche","C1H","116.27","247.09","239.41","finale a"
"Gaetan Hamelin","C1H","117.57","196.72","252.36","finale a"
"Melenn Aubry","C1H","118.12","178.69","257.84","finale a"
"Tom Maffeis","C1H","118.9","210.06","265.61","finale a"
"Frederic Momot","C1H","122.25","254.57","298.99","finale a"
"Jules Chaumet","C1H","133.12","220.03","407.27","finale a"
"Nathan Hossin","C1H","165.82","160.43","733.03","finale a"
"Axelle Armanini-Alicia Gallot","C2D","173.91","406.23","480.45","finale a"
"Lucas Roisin-Guillaume Graille","C2H","119.75","247.47","219.86","finale a"
"Christian Boob-Frederic Boob","C2H","121.04","199.46","232.12","finale a"
"Maxime Perron-Lucas Hives - Sorin","C2H","121.6","135.46","237.44","finale a"
"Antoine Gaillard-Sebastien Nouvel","C2H","122.66","289.79","247.53","finale a"
"Emilien Kempf-Silvere Desongins","C2H","125.28","209.09","272.44","finale a"
"Cedric Forgit-Martin Braud","C2H","130.95","-","326.35","finale a"
"Martin Braud-Sarah Lyphout","C2M","132.12","255.32","232.79","finale a"
"Melenn Aubry-Estelle Hellard","C2M","133.36","272.16","243.59","finale a"
"Celia Jodar-Cedric Forgit","C2M","146.45","276.45","357.7","finale a"
"Catherine Boulan-Xavier Jourdain","C2M","240.91","330.86","1181.08","finale a"
"Solene Graille","K1D","111.88","126.54","116.77","finale a"
"Flora Bove","K1D","113.29","120.95","129.83","finale a"
"Emeline Oudet","K1D","113.38","163.64","130.66","finale a"
"Jihane Samlal","K1D","114.1","146.32","137.32","finale a"
"Joana Palermo","K1D","114.86","116.86","144.36","finale a"
"Marine Leveque","K1D","116.99","127.0","164.08","finale a"
"Marine Schmitt","K1D","117.5","146.44","168.79","finale a"
"Joey Bercon","K1D","121.07","144.97","201.85","finale a"
"Anne-sophie Biazizzo","K1D","123.89","141.49","227.95","finale a"
"Camille Fontaine","K1D","124.0","208.33","228.97","finale a"
"Lisa Mouffle","K1D","124.58","213.86","234.34","finale a"
"Juliette Legendre","K1D","125.29","182.32","240.91","finale a"
"Romane Prigent","K1D","125.9","239.79","246.55","finale a"
"Angelique Guilcher","K1D","126.37","147.8","250.91","finale a"
"Lise Denat","K1D","126.73","203.76","254.23","finale a"
"Mylene Ferry","K1D","127.92","134.91","265.26","finale a"
"Elodie Le Nechet","K1D","128.67","237.85","272.19","finale a"
"Raphaelle Hovine","K1D","129.68","203.85","281.54","finale a"
"Axelle Armanini","K1D","130.4","231.67","288.21","finale a"
"Viviana Daille","K1D","131.87","253.7","301.82","finale a"
"Sarah Lyphout","K1D","133.02","167.39","312.46","finale a"
"Agathe Chaumet","K1D","136.2","219.49","341.9","finale a"
"Camille Andrieux","K1D","137.71","162.87","355.87","finale a"
"Louise Bichet","K1D","140.42","277.23","380.96","finale a"
"Fanchon Janssen","K1D","140.97","268.03","386.05","finale a"
"Hind Jamili","K1D","175.43","287.03","705.04","finale a"
"Oceane Vienet","K1D","179.94","151.66","746.79","finale a"
"Emilie Lhomme","K1D","193.83","244.72","875.36","finale a"
"Damien Laborde","K1H","97.29","130.79","98.79","finale a"
"Clement Travert","K1H","99.49","97.53","121.81","finale a"
"Benoit Chantry","K1H","100.26","77.47","129.86","finale a"
"Pol Euzenes","K1H","100.33","113.97","130.59","finale a"
"Alan Dollo","K1H","100.53","127.65","132.69","finale a"
"Fabien Le Nechet","K1H","100.77","125.68","135.2","finale a"
"Damien Launay","K1H","100.94","105.63","136.97","finale a"
"Adrien Roussel","K1H","101.79","176.92","145.87","finale a"
"Davy Egraz","K1H","102.0","105.03","148.06","finale a"
"Maxime Foucault","K1H","102.29","156.89","151.1","finale a"
"Maxime Tilhet","K1H","102.34","116.6","151.62","finale a"
"Florian Campagnole","K1H","102.42","143.52","152.46","finale a"
"Guillaume Graille","K1H","102.44","102.61","152.66","finale a"
"Nicolas Labat","K1H","102.64","94.66","154.76","finale a"
"Vincent Ablin","K1H","102.67","149.75","155.07","finale a"
