"Championnat Régional - Tardoire - Qualification","Tardoire","Qualification","qualif","2014-04-13","Régional","140"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","106.52","165.64","165.34",""
"Justine Lorin","C1D","107.77","184.67","179.05",""
"Emilie Chamouleau","C1D","126.11","363.22","380.28",""
"Christophe Marechal","C1H","98.51","317.51","231.86",""
"Jason Brothier","C1H","98.99","123.21","237.88",""
"Nathan Hossin","C1H","102.87","160.43","286.53",""
"Frederic Boob","C1H","102.94","288.25","287.41",""
"Cedric Forgit","C1H","103.1","215.86","289.42",""
"Remi Parayre","C1H","103.15","279.62","290.04",""
"Jerome Blanchet","C1H","103.18","282.18","290.42",""
"Jimmy Besson","C1H","103.51","280.87","294.56",""
"Quentin Desouche","C1H","104.49","241.04","306.85",""
"Quentin Chauvin","C1H","105.31","289.47","317.13",""
"Philippe Niquet","C1H","106.7","336.65","334.56",""
"Damien Launay","C1H","107.3","352.62","342.08",""
"Christian Boob","C1H","107.37","292.7","342.96",""
"Nino Louineau","C1H","107.53","394.87","344.97",""
"Adrien Picco","C1H","111.07","-","389.36",""
"Corentin Bernard","C1H","112.68","432.7","409.54",""
"Anthony Roux","C1H","112.74","488.47","410.29",""
"Pierre-louis Vergnault","C1H","113.99","-","425.97",""
"Abdelkrim Ali Zazou","C1H","114.51","-","432.49",""
"Theo Desvignes","C1H","115.1","478.95","439.89",""
"Pierre Giudicelli","C1H","117.42","459.13","468.99",""
"Logan Stenton","C1H","121.99","542.93","526.29",""
"Mathieu Villeger","C1H","123.56","-","545.97",""
"Alexis Dorey","C1H","130.71","-","635.63",""
"Axel Delage","C1H","131.66","612.32","647.54",""
"Mathias Pannetier","C1H","132.36","802.21","656.32",""
"Dylan Sourbe","C1H","132.96","603.76","663.85",""
"Clement Jouannaud","C1H","133.11","517.47","665.72",""
"Cyril Launay","C1H","133.2","629.29","666.85",""
"Julien Moreau","C1H","135.55","856.5","696.32",""
"Daniel Bregazzi","C1H","142.28","898.2","780.71",""
"Gaetan Cuvillier","C1H","145.13","-","816.45",""
"Pierre Le Gall","C1H","183.46","538.22","1297.09",""
"Olivia Legrix-Djemy Martin","C2D","161.27","-","629.95",""
"Nicolas Labat-Christophe Marechal","C2H","103.97","182.66","241.07",""
"Christian Boob-Frederic Boob","C2H","104.79","207.23","250.88",""
"Cedric Forgit-Martin Braud","C2H","109.67","-","309.29",""
"Jason Brothier-Nathan Hossin","C2H","110.53","-","319.59",""
"Clement Berger-Mathieu Villeger","C2H","117.48","412.49","402.77",""
"Quentin Desouche-Quentin Chauvin","C2H","117.49","435.57","402.89",""
"Louis Bouchiat-Michael Guyon","C2H","123.01","515.9","468.96",""
"Nicolas Baudoin-Remi Parayre","C2H","126.17","528.32","506.79",""
"Pierre Le Gall-Maxime Barrault","C2H","128.15","494.55","530.49",""
"Anthony Roux-Logan Stenton","C2H","138.44","-","653.66",""
"Axel Gauthard-Edouard Paul-hazard","C2H","225.37","1348.25","1694.16",""
"Martin Braud-Sarah Lyphout","C2M","117.12","242.57","281.64",""
"Emilie Chamouleau-Christophe Marechal","C2M","121.74","173.08","332.33",""
"Frederic Boob-Frederique Merle","C2M","123.12","-","347.47",""
"Sophie Delage-Christian Boob","C2M","145.36","664.3","591.49",""
"Sarah Lyphout","K1D","105.44","181.8","225.15",""
"Emilie Chamouleau","K1D","107.67","209.39","251.14",""
"Alice Lachaudru","K1D","110.57","340.68","284.93",""
"Violaine Vennin","K1D","111.23","259.73","292.62",""
"Amelie Perier","K1D","113.17","304.96","315.22",""
"Ella Bregazzi","K1D","113.9","307.42","323.72",""
"Lucie Freyssinet","K1D","115.07","336.26","337.36",""
"Djemy Martin","K1D","118.02","419.79","371.73",""
"Emma Lars","K1D","118.38","346.83","375.93",""
"Olivia Legrix","K1D","122.7","488.49","426.26",""
"Soline Delage","K1D","136.92","667.04","591.95",""
"Helene Baty","K1D","137.55","570.76","599.29",""
"Ludovic Di Nisi","K1H","82.08","19.9","77.3",""
"James Duvernoy","K1H","86.65","81.2","137.47",""
"Gurgen Brun","K1H","88.57","73.01","162.75",""
"Nicolas Labat","K1H","90.28","94.66","185.26",""
