"Sélectif Régional - Corneville sur Risle - Finale - 2014-04-13","Finale","2014-04-13","Régional","171"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lea Gaigeot","C1D","124.87","277.38","299.39","Finale A"
"Camille Andrieux","C1D","126.16","339.63","312.78","Finale A"
"Alize Bachelot","C1D","137.42","-","429.64","Finale A"
"Chloe Gatuingt","C1D","141.65","462.9","473.54","Finale A"
"Camille Meyer","C1D","161.09","950.46","675.3","Finale A"
"Charles Dampeyrou","C1H","100.22","156.4","192.15","Finale A"
"Lorrie Delattre","C1H","103.55","284.86","231.65","Finale A"
"Martin Rohaut","C1H","103.6","262.39","232.25","Finale A"
"Benoit Letellier","C1H","105.35","249.35","253","Finale A"
"Xavier Jourdain","C1H","106.09","233.62","261.78","Finale A"
"Vincent Hannedouche","C1H","107.4","-","277.32","Finale A"
"Anthony Thuillier","C1H","108.73","262.15","293.09","Finale A"
"Teddy Poulard","C1H","108.78","284.06","293.68","Finale A"
"Romain Bertrand","C1H","108.93","268.13","295.47","Finale A"
"Mehdi Rouich","C1H","109.02","345.77","296.54","Finale A"
"Remi Quentin","C1H","109.26","349.9","299.38","Finale A"
"Benjamin Thiboust","C1H","110.23","358.13","310.88","Finale A"
"Eric Beaumont","C1H","110.5","297.04","314.08","Finale A"
"Mickael Louchard","C1H","110.52","367.6","314.32","Finale A"
"Francois Durand","C1H","110.91","288.3","318.95","Finale A"
"Thibault Bigeon","C1H","111.61","-","327.25","Finale A"
"Nicolas Ducrocq","C1H","112.13","372.59","333.41","Finale A"
"Olivier Gesbert","C1H","112.62","263.52","339.23","Finale A"
"Edouard Gracias","C1H","113.54","410.05","350.14","Finale A"
"Charles Bre","C1H","166.9","310.12","983.04","Finale A"
"Camille Fleuret","C1HM","121.29","-","-","Finale A"
"Michael Philibert","C1HM","122.09","-","-","Finale A"
"Catherine Boulan-Agnes Gigan","C2D","172.3","813.69","654.08","Finale A"
"Benjamin Soroka-Edouard Gracias","C2H","115.85","251.15","315.08","Finale A"
"Anthony Thuillier-Benjamin Thiboust","C2H","118.3","306.23","342.82","Finale A"
"Mathieu Godin-Mehdi Rouich","C2H","126.11","-","431.24","Finale A"
"Mickael Louchard-David Leroy","C2H","139.62","-","584.2","Finale A"
"Jeansebastien Simonklein-Guillaume Sellier","C2H","141.7","-","607.75","Finale A"
"Eric Beaumont-Jean Noel Degraeve","C2H","146.39","-","660.85","Finale A"
"Christophe Bachelot-Jacky Bachelot","C2H","146.83","589.31","665.83","Finale A"
"David Mingasson-Charles Dampeyrou","C2H","170.98","-","939.25","Finale A"
"Mikael Maupin-Vincent Hannedouche","C2H","Nt","-","-","Finale A"
"Gaspard Perrio-LÉo Le Moigne","C2HM","149.62","-","-","Finale A"
"Mael Badin-Pablo Ramirez","C2HM","211.87","-","-","Finale A"
"Teddy Poulard-Alize Bachelot","C2M","129.94","317.13","352.01","Finale A"
"Anthony Thuillier-Camille Andrieux","C2M","130.45","370.39","357.3","Finale A"
"Catherine Boulan-Benoit Letellier","C2M","132.14","-","374.85","Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","159.18","636.81","655.47","Finale A"
"Louise Chauvary-Nicolas Ducrocq","C2M","164.91","-","714.94","Finale A"
"Camille Andrieux","K1D","104.88","162.87","159.36","Finale A"
"Lea Gaigeot","K1D","105.48","90.65","165.97","Finale A"
"Chloe Gatuingt","K1D","120.58","322.03","332.39","Finale A"
"Alize Bachelot","K1D","128.97","363.35","424.86","Finale A"
"Catherine Boulan","K1D","130.85","479.56","445.57","Finale A"
"Camille Meyer","K1D","135.35","457.3","495.18","Finale A"
"Agnes Gigan","K1D","141.06","493.52","558.11","Finale A"
"Angelique Leleu","K1DM","142.92","-","-","Finale A"
"Leontine Dubuisson","K1DM","146.89","-","-","Finale A"
"Lea Kieffer","K1DM","179.29","-","-","Finale A"
"Clotilde Lemasle","K1DM","335.33","-","-","Finale A"
"Louis Philippe Rigal","K1H","89.09","107.98","112.98","Finale A"
"Anthony Mottais","K1H","90.71","109.69","133.15","Finale A"
"Romain Bertrand","K1H","91.96","185.32","148.72","Finale A"
"Benoit Letellier","K1H","93","113.65","161.67","Finale A"
"Xavier Jourdain","K1H","93.57","107.17","168.77","Finale A"
"Anthony Thuillier","K1H","94.56","118.83","181.1","Finale A"
"Benjamin Thiboust","K1H","94.67","90.2","182.47","Finale A"
"Vincent Hannedouche","K1H","95.21","-","189.2","Finale A"
"Remi Quentin","K1H","95.87","189.53","197.42","Finale A"
"Thomas Durand","K1H","99.26","304.87","239.63","Finale A"
"Pierre Dampeyrou","K1H","99.71","197.03","245.24","Finale A"
"Francois Durand","K1H","100.57","245.63","255.95","Finale A"
"David Mingasson","K1H","101.52","241.94","267.78","Finale A"
"Edouard Gracias","K1H","101.56","264.3","268.28","Finale A"
"Mathieu Godin","K1H","102.15","281.18","275.63","Finale A"
"Mickael Louchard","K1H","102.65","281.1","281.85","Finale A"
"Yohan Marck","K1H","103.48","269.3","292.19","Finale A"
"Nathan Aubert","K1H","103.49","229.49","292.31","Finale A"
"Michel Gombert","K1H","107.44","-","341.51","Finale A"
"Louison Laumondais","K1H","110.11","363.58","374.76","Finale A"
"Erwan Gautrelet","K1H","110.45","389.52","378.99","Finale A"
"Jeansebastien Simonklein","K1H","110.94","344.9","385.1","Finale A"
"Martin Rohaut","K1H","112.08","355.74","399.29","Finale A"
"Adam Collin","K1H","113.4","357.47","415.73","Finale A"
"Paul Besnard","K1H","118.96","440.46","484.98","Finale A"
"Romain Bouillon","K1H","120.66","548.12","506.15","Finale A"
"Olivier Dulouard","K1H","121.51","371.37","516.74","Finale A"
"Ludovic Ngo","K1H","151","238.14","884","Finale A"
"Esteban Lebrun","K1H","Nt","-","-","Finale A"
"Willem Pollet","K1H","Nt","-","-","Finale A"
"Yoann Turowsky","K1H","Nt","-","-","Finale A"
"Simon Dubosc","K1HM","112.37","-","-","Finale A"
"Clement Font-boinel","K1HM","115","-","-","Finale A"
"Bruno Hely","K1HM","116.98","-","-","Finale A"
"Marceau Decarsin","K1HM","125.87","-","-","Finale A"
"Maxime Eude","K1HM","130.58","-","-","Finale A"
"Leo Demazeau","K1HM","138.48","-","-","Finale A"
"Pablo Ramirez","K1HM","140.69","-","-","Finale A"
"Baptiste Brunet","K1HM","164.73","-","-","Finale A"
"Briac Labbe","K1HM","177.22","-","-","Finale A"
"Remi Catherine","K1HM","Nt","-","-","Finale A"
"Quentin Maillet","K1HM","Nt","-","-","Finale A"
"Jeremy Grippon","C1H","117.86","378.19","406.39","Finale B"
"Guillaume Sellier","C1H","118.92","389.68","418.95","Finale B"
"Erwan Gautrelet","C1H","120.14","501.37","433.42","Finale B"
"Adam Collin","C1H","122.11","444.42","456.79","Finale B"
"Mikael Maupin","C1H","123.44","-","472.57","Finale B"
"Antoine Cruard","C1H","123.92","535.66","478.26","Finale B"
"Antoine Martin","C1H","125.66","611.6","498.89","Finale B"
"Geoffroy Lauth","C1H","126.52","470.54","509.09","Finale B"
"Esteban Lebrun","C1H","127.26","469.61","517.87","Finale B"
"Yohan Marck","C1H","129.01","579.46","538.64","Finale B"
"Virgile Bourlet De La Vallee","C1H","130.03","898.85","550.73","Finale B"
"Romain Bouillon","C1H","132.48","714.59","579.78","Finale B"
"Samuel Bonvalet","C1H","132.91","518.81","584.89","Finale B"
"Christophe Bachelot","C1H","133.67","-","593.91","Finale B"
