"Sélectif Régional - Foix - Stade d'eau vive du Rebech - Qualification","Foix - Stade d'eau vive du Rebech","Qualification","qualif","2014-05-03","Régional","117"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","129.33","51.7","227.61",""
"Ella Bregazzi","C1D","134.0","151.74","270.06",""
"Anne-lise Moisan-ehrwein","C1D","140.25","202.99","326.87",""
"Justine Lorin","C1D","230.32","172.1","1145.57",""
"Nicolas Scianimanico","C1H","97.58","70.28","65.72",""
"Thibault Blaise","C1H","100.99","44.45","101.15",""
"Maxime Perron","C1H","102.54","56.4","117.25",""
"Simon Le Friec","C1H","103.94","30.38","131.79",""
"Mathieu Doby","C1H","104.18","216.63","134.28",""
"Lucas Hives - Sorin","C1H","104.4","111.0","136.57",""
"Jason Brothier","C1H","108.86","123.21","182.9",""
"Corentin Oulhen","C1H","109.9","132.45","193.71",""
"Lucas Roisin","C1H","112.74","128.27","223.2",""
"Joris Santoro","C1H","114.14","183.48","237.75",""
"Yves Bourhis","C1H","118.66","214.88","284.71",""
"Quentin Desouche","C1H","126.47","239.82","365.84",""
"Benoit Pacteau","C1H","127.26","245.8","374.04",""
"Ugo Rolland","C1H","155.16","331.63","663.87",""
"Gael Le Noc","C1H","162.88","179.17","744.07",""
"Yohan Wantz","C1H","186.95","299.49","994.12",""
"Addwyn Martinez","C1H","207.15","650.45","1203.96",""
"Faysal Ali Zazou","C1H","278.33","289.58","1943.39",""
"Paul Aubertin","C1H","512.75","428.7","4378.6",""
"Jimy Bercon-Marc Biazizzo","C2H","111.39","58.7","156.59",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","112.43","70.57","166.9",""
"Lucas Roisin-Guillaume Graille","C2H","114.98","169.54","192.18",""
"Maxime Perron-Lucas Hives - Sorin","C2H","120.25","135.46","244.44",""
"Pierre Hellard-Malo Quemeneur","C2H","178.85","247.9","825.52",""
"Caroline Loir","K1D","106.15","21.66","76.68",""
"Flora Bove","K1D","112.73","118.52","140.2",""
"Lea Gaigeot","K1D","115.05","90.65","162.59",""
"Solene Graille","K1D","116.21","119.89","173.79",""
"Marine Leveque","K1D","116.4","115.15","175.62",""
"Joana Palermo","K1D","122.47","119.07","234.22",""
"Agathe Chaumet","K1D","131.99","219.49","326.1",""
"Lisa Mouffle","K1D","135.54","213.86","360.38",""
"Viviana Daille","K1D","141.78","241.83","420.61",""
"Noa Bouchardon","K1D","142.41","266.63","426.7",""
"Astrid Coste","K1D","149.29","338.18","493.1",""
"Romane Prigent","K1D","173.44","237.41","726.22",""
"Morgane Foligne","K1D","177.26","405.97","763.09",""
"Lise Denat","K1D","178.7","216.59","776.99",""
"Claire Gaigeot","K1D","213.4","84.75","1111.95",""
"Elsa Cailhol","K1D","216.34","316.92","1140.32",""
"Delia Forgues","K1D","232.48","374.81","1296.12",""
"Maud Sourbes","K1D","233.24","446.57","1303.45",""
"Florine Pouyes","K1D","288.51","522.17","1836.97",""
"Oriane Guichet","K1D","299.91","465.49","1947.0",""
"Fanchon Janssen","K1D","347.41","268.03","2405.5",""
"Agathe Gewiss","K1D","478.14","487.94","3667.42",""
"Thomas Bersinger","K1H","92.68","17.28","62.96",""
"Mathieu Doby","K1H","93.13","22.9","67.87",""
"Hugo Cailhol","K1H","94.15","27.97","78.99",""
"Mathieu Desnos","K1H","94.83","33.33","86.41",""
"William Desnos","K1H","95.0","56.16","88.26",""
"Damien Laborde","K1H","98.31","118.99","124.37",""
"Pol Euzenes","K1H","98.35","114.79","124.8",""
"Guillaume Graille","K1H","100.26","95.88","145.64",""
"Titouan Dupras","K1H","100.94","139.18","153.06",""
"James Duvernoy","K1H","101.35","81.2","157.53",""
"Alexandre Dherbilly","K1H","101.52","72.96","159.38",""
"Damien Launay","K1H","102.5","110.06","170.07",""
"Malo Quemeneur","K1H","104.0","115.77","186.43",""
"Remy Cassar","K1H","104.75","175.85","194.61",""
"Theo Quenouillere","K1H","105.17","131.14","199.19",""
"Vincent Bocci","K1H","105.31","127.16","200.72",""
"Guillaume Picco","K1H","106.39","193.47","212.5",""
"Pierre Hellard","K1H","108.28","158.63","233.12",""
"Fabien Lanao","K1H","108.43","134.21","234.75",""
"Aurelien Maynadier","K1H","109.67","213.04","248.28",""
"Vincent Morabito","K1H","110.14","256.19","253.41",""
"Theo Celjo","K1H","112.0","205.34","273.69",""
"Mathieu Monier","K1H","113.12","259.34","285.91",""
