"Championnat de France Elite - Pau - Course n°1 | 1/2 Finale","Pau","Course n°1 | 1/2 Finale","demi","2014-05-14","Championnats de France","114"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","115.25","51.7","64.92",""
"Lucie Baudu","C1D","116.26","151.38","72.36",""
"Claire Jacquet","C1D","116.5","73.98","74.13",""
"Oriane Rebours","C1D","119.95","75.89","99.53",""
"Cecile Tixier","C1D","122.36","109.08","117.28",""
"Charlotte Abba","C1D","123.79","188.07","127.8",""
"Ella Bregazzi","C1D","126.58","151.74","148.34",""
"Annaelle Meheut","C1D","126.82","99.23","150.11",""
"Margaux Henry","C1D","137.41","188.21","228.09",""
"Lucie Prioux","C1D","140.29","132.54","249.3",""
"Justine Lorin","C1D","142.75","172.1","267.41",""
"Laura Ligeon","C1D","184.74","149.0","576.59",""
"Laurine Naveau","C1D","330.24","166.81","1647.95",""
"Denis Gargaud","C1H","94.05","-","7.75",""
"Jonathan Marc","C1H","96.34","49.15","27.02",""
"Thibaud Vielliard","C1H","98.32","35.05","43.68",""
"Martin Thomas","C1H","98.73","33.24","47.14",""
"Simon Le Friec","C1H","98.81","39.24","47.81",""
"Thibault Blaise","C1H","98.88","44.45","48.4",""
"Nicolas Scianimanico","C1H","98.96","74.85","49.07",""
"Kilian Foulon","C1H","99.04","50.91","49.74",""
"Maxime Perron","C1H","99.61","58.33","54.54",""
"Antoine Runet","C1H","100.25","59.06","59.93",""
"Edern Le Ruyet","C1H","100.36","59.64","60.85",""
"Erwan Marchais","C1H","102.29","80.17","77.09",""
"Pierre Antoine Tillard","C1H","102.44","49.93","78.36",""
"Cedric Joly","C1H","102.53","50.58","79.11",""
"Sebastien De Kerleau","C1H","103.2","36.68","84.75",""
"Julian Othenin-girard","C1H","105.45","102.32","103.69",""
"Jean Freri","C1H","105.7","78.52","105.79",""
"Charly Chassigneux","C1H","107.03","107.07","116.98",""
"Yann Rivallant","C1H","107.44","107.11","120.43",""
"Antoine Roux","C1H","108.02","105.85","125.31",""
"Lucas Roisin","C1H","108.16","128.27","126.49",""
"Lucas Hives - Sorin","C1H","109.84","111.0","140.63",""
"Lucas Vancon","C1H","110.11","125.93","142.9",""
"Thibaut Perroteau","C1H","111.45","105.05","154.18",""
"Jason Brothier","C1H","163.86","123.21","595.21",""
"Gauthier Klauss-Matthieu Peche","C2H","102.77","21.06","41.82",""
"Nicolas Peschier-Pierre Labarelle","C2H","103.28","15.4","45.92",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","105.1","49.01","60.54",""
"Yves Prigent-Loic Kervella","C2H","107.71","66.85","81.5",""
"Hugo Biso-Pierre Picco","C2H","107.9","37.45","83.03",""
"Hugo Cailhol-Nicolas Scianimanico","C2H","110.5","70.57","103.92",""
"Jimy Bercon-Marc Biazizzo","C2H","113.78","63.09","130.26",""
"Louis Bouclier-Martin Mottais","C2H","114.03","125.85","132.27",""
"Antoine Roux-Gurgen Brun","C2H","114.6","124.63","136.85",""
"Malo Poles-Baptiste Le Poncin","C2H","119.78","133.82","178.46",""
"Mathieu Fougere-Thomas Fougere","C2H","122.9","81.33","203.52",""
"Emilie Fer","K1D","101.57","20.92","10.52",""
"Estelle Mangin","K1D","102.01","33.64","13.96",""
"Carole Bouzidi","K1D","102.61","18.18","18.65",""
"Julie Neime","K1D","103.09","69.62","22.41",""
"Caroline Loir","K1D","103.51","21.66","25.69",""
"Nouria Newman","K1D","104.12","-","30.46",""
"Pauline Guiet","K1D","104.85","21.59","36.17",""
"Camille Prigent","K1D","107.21","53.27","54.62",""
"Lucie Baudu","K1D","107.72","59.56","58.61",""
"Berenice Kolenc","K1D","109.79","68.32","74.8",""
"Josepha Longa","K1D","111.54","64.48","88.48",""
"Clementine Geoffray","K1D","112.29","81.42","94.35",""
"Lea Wetzel","K1D","113.43","98.88","103.26",""
"Flora Huvelin","K1D","114.26","90.74","109.75",""
"Elise Pierron","K1D","114.43","111.79","111.08",""
"Claire Gaigeot","K1D","118.48","84.75","142.75",""
"Lea Gaigeot","K1D","118.87","90.65","145.8",""
"Margaux Henry","K1D","119.64","71.19","151.82",""
"Laura Combot","K1D","120.8","73.19","160.89",""
"Marie-zelia Lafont","K1D","151.17","66.34","398.37",""
"Estelle Hellard","K1D","156.94","46.18","443.48",""
"Lucie Prioux","K1D","160.17","101.38","468.73",""
"Boris Neveu","K1H","90.76","15.66","18.25",""
"Benjamin Renia","K1H","90.76","50.96","18.25",""
"Benoit Guillaume","K1H","92.02","30.48","29.39",""
"Pierre Bourliaud","K1H","92.04","30.05","29.56",""
"Vivien Colober","K1H","92.16","23.62","30.62",""
"Hugo Cailhol","K1H","92.24","34.71","31.33",""
"Benoit Peschier","K1H","92.75","23.31","35.84",""
"Ludovic Di Nisi","K1H","92.92","33.71","37.34",""
"Thomas Rosset","K1H","93.38","42.78","41.4",""
"Mathieu Biazizzo","K1H","93.54","16.28","42.82",""
"Quentin Burgi","K1H","93.76","29.18","44.76",""
"Renaud Doby","K1H","94.13","27.74","48.03",""
"Nicolas Abbal","K1H","94.27","66.61","49.27",""
"Etienne Daille","K1H","94.32","-","49.71",""
"Antoine Launay","K1H","94.65","38.7","52.63",""
"Bastien Damiens","K1H","95.52","15.38","60.31",""
"Sebastien Combot","K1H","95.75","18.94","62.35",""
"Boris Chenal","K1H","95.96","67.32","64.2",""
"Frederic Walczak","K1H","96.15","55.83","65.88",""
"Yann Le Govic","K1H","97.05","39.82","73.83",""
"Thomas Schmitt","K1H","97.14","68.27","74.63",""
"Jonathan Delagnes","K1H","97.87","94.15","81.08",""
"Mathys Huvelin","K1H","98.5","63.73","86.64",""
"Nicolas Baudoin","K1H","99.45","90.08","95.04",""
"Tom Scianimanico","K1H","100.16","60.15","101.31",""
"Bertrand Gutierrez","K1H","100.68","61.23","105.91",""
"William Desnos","K1H","101.38","58.4","112.09",""
"Christophe Marechal","K1H","101.9","73.91","116.69",""
"James Duvernoy","K1H","102.1","81.2","118.45",""
"Quentin Mignard","K1H","102.56","67.03","122.52",""
"Jonathan Chapatte","K1H","102.56","100.93","122.52",""
"Goulwen Chapelier","K1H","103.18","56.85","128.0",""
"Martin Daviet","K1H","103.83","63.09","133.74",""
"Pol Oulhen","K1H","108.59","70.67","175.8",""
"Louison Turmeau","K1H","109.87","81.87","187.11",""
"Gurgen Brun","K1H","110.13","73.01","189.41",""
"Jonas Turmeau","K1H","110.79","86.0","195.24",""
"Aubry Bertin","K1H","113.28","89.74","217.24",""
"Samuel Lhegu","K1H","150.15","74.74","543.02",""
"Kevin Schultz","K1H","152.24","55.2","561.48",""
"Mathurin Madore","K1H","155.98","74.33","594.53",""
"Alexandre Dherbilly","K1H","164.27","77.73","667.78",""
"Enrick Cunsolo","K1H","200.31","56.84","986.23",""
