"Finale du Championnat Interrégional - Sélestat - Demi","Sélestat","Demi","demi","2014-06-01","Nationale 3","182"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Fanchon Janssen","C1D","125.88","381.86","380.71","finale a"
"Athenais Reby","C1D","134.18","452.24","468.73","finale a"
"Hind Jamili","C1D","134.65","403.57","473.71","finale a"
"Marine Constant-haldric","C1D","140.37","414.95","534.37","finale a"
"Emmanuel Walczak","C1H","100.64","273.65","265.52","finale a"
"Guillaume Goury","C1H","106.76","282.77","339.69","finale a"
"Christopher Lucas","C1H","107.6","300.21","349.87","finale a"
"Yohan Wantz","C1H","108.01","301.82","354.84","finale a"
"Simon Clerc","C1H","108.48","302.91","360.53","finale a"
"Philippe Senechal","C1H","109.8","334.12","376.53","finale a"
"Nathan Robert","C1H","110.07","306.48","379.81","finale a"
"Jean Marc Trenchant","C1H","111.73","328.44","399.93","finale a"
"Olivier Urbain","C1H","112.23","351.07","405.98","finale a"
"Timothee Olla","C1H","113.43","378.44","420.53","finale a"
"Paul Aubertin","C1H","114.37","404.81","431.92","finale a"
"Francis Gaillard","C1H","114.85","355.48","437.73","finale a"
"Louis Savart","C1H","115.92","417.63","450.7","finale a"
"Thibaut Chariot","C1H","122.19","408.69","526.68","finale a"
"Anthony Ulrich","C1H","122.94","540.64","535.78","finale a"
"Sebastien Varin","C1H","129.63","475.56","616.85","finale a"
"Axel Kournwsky","C1H","131.64","350.99","641.2","finale a"
"Azenor Philip-Thais Francois","C2D","147.09","504.85","485.64","finale a"
"Marie-amelie Jullien-Hind Jamili","C2D","155.38","-","566.79","finale a"
"Philippe Thevenin-Patrick Thevenin","C2H","119.11","306.86","423.75","finale a"
"Loic Bertoia-Alexandre Marin","C2H","124.44","419.46","485.4","finale a"
"Christophe Billaud-Philippe Devillers","C2H","127.21","354.94","517.44","finale a"
"Jeremie Devillers-Charles Fernandes De Oliveira","C2H","135.64","484.81","614.96","finale a"
"Caroline Scherer-Emilien Kempf","C2M","122.25","299.06","342.22","finale a"
"Antonin Dreit-Jade Robin","C2M","151.18","629.43","648.99","finale a"
"Maeva Auriol-Loic Thielen","C2M","151.47","628.25","652.07","finale a"
"Tassia Konstantinidis","K1D","116.14","389.05","353.72","finale a"
"Athenais Reby","K1D","117.02","351.2","363.64","finale a"
"Fanny Mino-vercellio","K1D","117.64","318.93","370.61","finale a"
"Jenny Chevalier","K1D","118.4","293.94","379.17","finale a"
"Laure Camozzi","K1D","121.39","394.27","412.84","finale a"
"Laurie Bolle - Reddat","K1D","122.06","463.55","420.39","finale a"
"Natacha Delassus","K1D","122.32","307.28","423.32","finale a"
"Marie-amelie Jullien","K1D","124.2","393.48","444.49","finale a"
"Emma Maujean","K1D","125.03","433.97","453.83","finale a"
"Carla Cerrutti - Bozzola","K1D","126.11","363.64","466.0","finale a"
"Jade Robin","K1D","127.02","422.29","476.24","finale a"
"Pauline Dias Lopes","K1D","127.92","425.66","486.38","finale a"
"Camille Hurez","K1D","136.02","487.93","577.59","finale a"
"Luke Meysner","K1H","92.45","257.31","222.29","finale a"
"Florent Rambaud","K1H","95.56","246.37","261.86","finale a"
"Jeremy Boisgibault","K1H","96.18","242.85","269.75","finale a"
"Loic Bertoia","K1H","97.32","244.14","284.26","finale a"
"Louis Masson","K1H","97.5","211.39","286.55","finale a"
"Corentin Talancieux","K1H","97.99","263.77","292.78","finale a"
"Christophe Dalla-zuana","K1H","98.12","241.1","294.44","finale a"
"Emilien Kempf","K1H","98.39","344.62","297.87","finale a"
"Lucas Latimier","K1H","98.79","268.08","302.96","finale a"
"Lucas Galmiche","K1H","99.1","204.66","306.91","finale a"
"Maxime Di Lauro","K1H","99.21","315.61","308.31","finale a"
"Thomas Girard","K1H","99.42","317.54","310.98","finale a"
"Olivier Urbain","K1H","99.46","278.97","311.49","finale a"
"Julien Beltrami","K1H","99.7","250.54","314.54","finale a"
"Christophe Siffert","K1H","99.97","293.25","317.98","finale a"
"Vincent Rat","K1H","100.22","285.58","321.16","finale a"
"Anthony Ulrich","K1H","100.4","284.24","323.45","finale a"
