"Manche Coupe de France N1 - Huningue - Finale - 2014-06-21","Finale","2014-06-21","Nationale 1","75"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Annaelle Meheut","C1D","126.54","94.19","94.35","Finale A"
"Lucie Prioux","C1D","134.05","132.54","153.52","Finale A"
"Charlotte Abba","C1D","136.98","161.78","176.61","Finale A"
"Thibault Blaise","C1H","102.46","44.45","19.95","Finale A"
"Erwan Marchais","C1H","106.89","70.97","59.84","Finale A"
"Sebastien De Kerleau","C1H","107.11","36.68","61.83","Finale A"
"Liam Jegou","C1H","107.45","90.81","64.88","Finale A"
"Antoine Runet","C1H","108.21","56.43","71.73","Finale A"
"Jean Pierre Bourhis","C1H","111","88.18","96.85","Finale A"
"Emilien Kempf","C1H","112.35","97.21","109.01","Finale A"
"Mathieu Fougere-Thomas Fougere","C2H","121.27","81.33","139.69","Finale A"
"Baptiste Delaplace-Renaud Doby","C2H","125.74","96.74","178.11","Finale A"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","127.54","109.8","193.58","Finale A"
"Jonathan Chapatte-Sebastien De Kerleau","C2H","136.36","150.71","269.39","Finale A"
"Loic Brunel-Medhi Deguil","C2H","178.77","189.92","633.91","Finale A"
"Camille Prigent","K1D","114.73","50.8","57.3","Finale A"
"Clementine Geoffray","K1D","119.54","79.28","97.55","Finale A"
"Margaux Henry","K1D","121.28","71.19","112.1","Finale A"
"Julie Neime","K1D","121.55","52.21","114.36","Finale A"
"Estelle Hellard","K1D","122.11","46.18","119.05","Finale A"
"Maria Ferekidi","K1D","122.53","74.1","122.56","Finale A"
"Lea Wetzel","K1D","290.67","96.74","1529.37","Finale A"
"Benjamin Travostino","K1H","96.38","37.85","8.6","Finale A"
"Ludovic Di Nisi","K1H","97.84","31.36","22.4","Finale A"
"Renaud Doby","K1H","98.07","27.73","24.58","Finale A"
"Frederic Walczak","K1H","98.18","53.01","25.62","Finale A"
"Mathieu Biazizzo","K1H","98.92","8.46","32.61","Finale A"
"Thomas Rosset","K1H","99.11","31.72","34.41","Finale A"
"Yann Le Govic","K1H","99.12","39.82","34.5","Finale A"
"Nicolas Abbal","K1H","99.83","58.5","41.22","Finale A"
"Benoit Peschier","K1H","101.04","16.72","52.66","Finale A"
"Kevin Schultz","K1H","101.17","55.2","53.89","Finale A"
"Enrick Cunsolo","K1H","102.48","56.84","66.27","Finale A"
"Emmanuel Walczak","K1H","104.16","67.52","82.16","Finale A"
"Boris Chenal","K1H","106.3","65.76","102.39","Finale A"
"Martin Daviet","K1H","106.68","63.09","105.98","Finale A"
"Mathurin Madore","K1H","114.21","74.33","177.17","Finale A"
"Pierre Bourliaud","K1H","145.63","22.81","474.24","Finale A"
"Benoit Guillaume","K1H","145.94","18.59","477.17","Finale A"
"Mathys Huvelin","K1H","151.79","58.09","532.48","Finale A"
"Louison Turmeau","K1H","152.87","81.87","542.69","Finale A"
"Camille Prigent","C1D","129.98","166.31","126.46","Finale B"
"Margaux Henry","C1D","148.58","188.21","273","Finale B"
"Laura Ligeon","C1D","181.26","149","530.48","Finale B"
"Baptiste Delaplace","C1H","107.95","42.93","74.39","Finale B"
"Lucas Hives - Sorin","C1H","110.32","104.23","95.73","Finale B"
"Jason Brothier","C1H","115.45","113.14","141.92","Finale B"
"Lucas Vancon","C1H","117.65","123.6","161.73","Finale B"
"Yann Rivallant","C1H","118.69","107.11","171.09","Finale B"
"Thomas Rosset","C1H","Nt","-","-","Finale B"
"Caroline Bourry","K1D","118.44","81.63","93.34","Finale B"
"Lucie Prioux","K1D","121.42","101.38","118.27","Finale B"
"Claire Moal","K1D","122.17","130.81","124.55","Finale B"
"Elise Pierron","K1D","124.77","110.03","146.3","Finale B"
"Flora Huvelin","K1D","127.73","90.74","171.07","Finale B"
"Julie Labarelle","K1D","128.22","131.93","175.17","Finale B"
"Antoine Launay","K1H","100.13","38.7","49.05","Finale B"
"Thomas Schmitt","K1H","100.25","65.79","50.19","Finale B"
"Jonas Turmeau","K1H","100.69","86","54.35","Finale B"
"Andy Pajani","K1H","102.62","91.95","72.6","Finale B"
"Bertrand Gutierrez","K1H","105.54","61.23","100.2","Finale B"
"Mathieu Douillet","K1H","105.92","121.44","103.8","Finale B"
"Jonathan Delagnes","K1H","106.06","79.26","105.12","Finale B"
"Gael Prodeau","K1H","107.26","80.88","116.47","Finale B"
"Jeremy Cremonesi","K1H","107.33","136.82","117.13","Finale B"
"William Desnos","K1H","107.59","58.4","119.59","Finale B"
"Jonathan Chapatte","K1H","107.77","100.93","121.29","Finale B"
"James Duvernoy","K1H","108.15","81.2","124.88","Finale B"
"Nicolas Baudoin","K1H","109.63","89.09","138.87","Finale B"
"Valentin Brindeau","K1H","110.43","155.65","146.44","Finale B"
"Benjamin Thiboust","K1H","111.93","90.2","160.62","Finale B"
"Romain Guyomard","K1H","113","85.95","170.73","Finale B"
"Samuel Lhegu","K1H","153.06","74.74","549.48","Finale B"
"Quentin Mignard","K1H","156.25","67.03","579.64","Finale B"
"Alexandre Dherbilly","K1H","161.94","77.73","633.44","Finale B"
