"Finale Coupe de France - Metz - Demi-finale - 2014-07-25","Demi-finale","2014-07-25","Nationale 1","201"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Annaelle Meheut","C1D","106.64","91.94","120.72","Demi-finale A"
"Charlotte Abba","C1D","110.57","141.36","157.7","Demi-finale A"
"Claire Jacquet","C1D","111.99","83.04","171.06","Demi-finale A"
"Caroline Scherer","C1D","120.77","239.78","253.68","Demi-finale A"
"Cecile Tixier","C1D","121.93","113.9","264.58","Demi-finale A"
"Laura Ligeon","C1D","167.39","159.73","692.32","Demi-finale A"
"Kilian Foulon","C1H","90","50.67","85.13","Demi-finale A"
"Sebastien De Kerleau","C1H","90.54","55.07","90.94","Demi-finale A"
"Maxime Perron","C1H","90.91","55.73","94.92","Demi-finale A"
"Pierre Antoine Tillard","C1H","92.56","40.64","112.66","Demi-finale A"
"Thibaud Vielliard","C1H","93.1","36.05","118.47","Demi-finale A"
"Thomas Koechlin","C1H","93.22","78.28","119.76","Demi-finale A"
"Emilien Kempf","C1H","93.52","96.21","122.98","Demi-finale A"
"Antoine Runet","C1H","93.76","67.97","125.56","Demi-finale A"
"Renaud Doby","C1H","95.11","181.98","140.08","Demi-finale A"
"Thibault Blaise","C1H","95.36","44.83","142.77","Demi-finale A"
"Edern Le Ruyet","C1H","96.01","59.25","149.76","Demi-finale A"
"Yves Prigent","C1H","96.58","92.5","155.89","Demi-finale A"
"Erwan Marchais","C1H","98.55","75.43","177.07","Demi-finale A"
"Thomas Rosset","C1H","98.79","115.7","179.65","Demi-finale A"
"Henri Despont","C1H","98.96","148.14","181.48","Demi-finale A"
"Antoine Roux","C1H","99.73","105.38","189.76","Demi-finale A"
"Jean Freri","C1H","99.79","98.45","190.4","Demi-finale A"
"Nadjib Mazar","C1H","99.98","151.55","192.45","Demi-finale A"
"Louison Tanet","C1H","100.25","120.26","195.35","Demi-finale A"
"Lucas Vancon","C1H","103.32","123.6","228.36","Demi-finale A"
"Jonathan Delagnes","C1H","107.31","186.89","271.27","Demi-finale A"
"Lucas Hives - Sorin","C1H","107.44","103.56","272.67","Demi-finale A"
"Jason Brothier","C1H","145.79","101.64","685.05","Demi-finale A"
"Simon Le Friec","C1H","196.72","48.9","1232.7","Demi-finale A"
"Gauthier Klauss-Matthieu Peche","C2H","93.84","32.89","80.56","Demi-finale A"
"Mathieu Fougere-Thomas Fougere","C2H","96.69","77.15","109.81","Demi-finale A"
"Yves Prigent-Loic Kervella","C2H","100.68","66.86","150.76","Demi-finale A"
"Bastien Damiens-Thibaud Vielliard","C2H","102.74","120.08","171.91","Demi-finale A"
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","103","50.09","174.58","Demi-finale A"
"Maxime Perron-Lucas Hives - Sorin","C2H","105.19","122.2","197.06","Demi-finale A"
"Baptiste Delaplace-Renaud Doby","C2H","105.38","109.45","199.01","Demi-finale A"
