"Sélectif Régional - L'Argentière La Bessée - Course 2 | Finale - 2014-09-14","L'Argentière La Bessée","Course 2 | Finale","finale","2014-09-14","Régional","83"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Mana Thomas","C1D","126.08","502.64","408.11","finale a"
"Marion Delorme","C1D","129.08","378.69","441.43","finale a"
"Raphaelle Hovine","C1D","142.0","1330.73","584.92","finale a"
"Adrien Reinard","C1H","107.88","287.62","377.13","finale a"
"Camille Sahuc","C1H","110.59","411.24","411.53","finale a"
"Alexis Mercoirol","C1H","111.28","443.01","420.29","finale a"
"Theo Viens","C1H","124.81","277.72","592.04","finale a"
"Theo Viens-Dimitri Durannot","C2H","114.93","-","400.31","finale a"
"Raphaelle Hovine-Matthieu Basset","C2M","134.62","392.14","502.95","finale a"
"Raphaelle Hovine","K1D","110.1","261.9","306.37","finale a"
"Viviana Daille","K1D","110.88","237.75","315.57","finale a"
"Marion Delorme","K1D","111.15","307.74","318.75","finale a"
"Mana Thomas","K1D","117.33","326.24","391.65","finale a"
"Julie Fauroux","K1D","118.14","522.94","401.2","finale a"
"Elise Escourrou","K1D","118.88","-","409.93","finale a"
"Aliona Baudy","K1DM","170.6","-","1019.96","finale a"
"Maxime Bottex","K1H","89.06","109.86","194.76","finale a"
"Romain Guyomard","K1H","89.46","92.49","200.09","finale a"
"Baptiste Granger","K1H","90.57","215.41","214.89","finale a"
"Alexis Cordier","K1H","93.11","221.29","248.74","finale a"
"Luc Doye","K1H","93.38","-","252.34","finale a"
"Dimitri Durannot","K1H","94.34","251.48","265.13","finale a"
"Matthieu Basset","K1H","96.47","180.93","293.52","finale a"
"Mathieu Monier","K1H","98.38","225.79","318.98","finale a"
"Louis Masson","K1H","98.4","199.97","319.25","finale a"
"Daniel Geay","K1H","98.84","293.39","325.11","finale a"
"Camille Sahuc","K1H","98.85","372.63","325.25","finale a"
"Thomas Denais","K1H","99.57","275.67","334.84","finale a"
"Olivier Bourgey","K1H","99.96","306.48","340.04","finale a"
"Alexandre Bordas","K1H","100.47","321.54","346.84","finale a"
"Theo Viens","K1H","102.1","359.29","368.56","finale a"
"Fabien Leist","K1H","103.95","417.67","393.22","finale a"
"Adrien Kaiser","K1H","105.38","379.62","412.28","finale a"
"Maxime Lignereux","K1H","105.5","283.4","413.88","finale a"
"Hugo Andre","K1H","105.92","441.84","419.48","finale a"
"Adrian Lauer","K1H","106.25","413.58","423.88","finale a"
"Mahe Dersoir","K1H","106.75","433.23","430.54","finale a"
"Pacome Ricciardi","K1H","107.58","532.23","441.6","finale a"
"Thibaut Semiond","K1H","109.96","538.93","473.32","finale a"
"Vincent Gerdeaux","K1H","146.2","197.8","956.34","finale a"
"Lucien Goulet","K1H","160.24","-","1143.47","finale a"
"Victorien Lombard","K1H","162.06","411.65","1167.73","finale a"
"Kawan Thomas","K1HM","102.93","-","379.63","finale a"
"Valentin Parasme","K1HM","112.9","-","512.51","finale a"
"Jules Cresp","K1HM","118.65","-","589.15","finale a"
"Hugo Andre","C1H","112.13","469.16","436.07","finale b"
"Cyril Audoit","C1H","117.1","572.89","499.17","finale b"
"Boris Rostaing","C1H","129.49","608.76","656.44","finale b"
"Julie Labarelle","K1D","100.09","128.35","193.3","finale b"
"Lorene Scalbert","K1D","126.6","497.09","505.98","finale b"
"Lucie Adisson","K1D","129.23","604.03","537.01","finale b"
"Stephanie Bourdin","K1D","129.59","552.1","541.25","finale b"
"Christelle Channac","K1D","135.42","669.36","610.02","finale b"
"Marie Boyer","K1D","182.5","647.08","1165.32","finale b"
"Mathieu Lions","K1H","100.33","346.19","349.97","finale b"
"Alexis Mercoirol","K1H","103.35","-","390.22","finale b"
"Sebastien Riou","K1H","103.73","390.91","395.29","finale b"
"Cyril Audoit","K1H","104.75","424.23","408.88","finale b"
"Wolfgang Schulz","K1H","107.55","525.36","446.2","finale b"
"Boris Rostaing","K1H","107.83","407.57","449.93","finale b"
"Yannick Grizaud","K1H","108.53","330.92","459.26","finale b"
"Yann Tabone","K1H","109.46","732.18","471.66","finale b"
"Fabrice Magueur","K1H","111.8","-","502.85","finale b"
"Pierre Louis Debuigne","K1H","112.71","465.72","514.98","finale b"
"Ollivier Paumier","K1H","112.88","480.45","517.24","finale b"
"Marc Scognamiglio","K1H","113.56","589.6","526.31","finale b"
"Baptiste Clerc","K1H","114.01","-","532.3","finale b"
"Alan Bellot","K1H","115.19","557.2","548.03","finale b"
"Morgan Hoarau","K1H","117.88","516.06","583.88","finale b"
"Raphael Warot","K1H","122.23","-","641.86","finale b"
"Alexandre Rozand","K1H","124.76","621.42","675.58","finale b"
"Lucas Ferro","K1H","129.49","779.0","738.63","finale b"
"Mikael Clanchin","K1H","130.36","786.98","750.22","finale b"
"Paul Badache","K1H","135.03","-","812.47","finale b"
"Hugo Avril","K1H","143.15","871.8","920.69","finale b"
"Julien Lambert","K1H","143.28","689.85","922.42","finale b"
"Pierre Courtois","K1H","146.18","2122.83","961.08","finale b"
"Sebastien Chilard","K1H","159.12","2194.63","1133.55","finale b"
"Romain Berthon","K1H","168.52","1347.27","1258.83","finale b"
"Ayoub Roger","K1H","171.57","631.09","1299.48","finale b"
"Paul Roubaud","K1H","174.22","450.94","1334.8","finale b"
"Nayl Tazi-sidqui","K1HM","118.32","-","589.75","finale b"
"Thomas Courtois","K1HM","127.88","-","717.17","finale b"
