"Sélectif Régional - Voray sur l'Ognon - Finale - 2014-10-19","Voray sur l'Ognon","Finale","finale","2014-10-19","Régional","72"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Louise Bichet","C1D","154.66","-","564.08","finale a"
"Sarah Rothenbuhler","C1D","162.2","612.89","638.79","finale a"
"Tifenn Primet","C1DM","184.08","756.72","855.56","finale a"
"Zoe Bruchon","C1DM","204.46","-","1057.47","finale a"
"Meryl Steinmann","C1DM","207.6","-","1088.58","finale a"
"Sebastien De Kerleau","C1H","100.63","55.07","171.22","finale a"
"Philippe Thevenin","C1H","109.6","217.6","272.78","finale a"
"Mathieu Fougere","C1H","111.44","-","293.61","finale a"
"Olivier Urbain","C1H","132.72","356.24","534.56","finale a"
"Simon Clerc","C1H","135.12","298.0","561.74","finale a"
"Jules Bernardet","C1HM","149.57","566.87","725.35","finale a"
"Mathieu Fougere-Thomas Fougere","C2H","105.29","77.15","169.79","finale a"
"Claude Menissier-Gerard Menissier","C2H","125.13","366.17","384.23","finale a"
"Philippe Thevenin-Patrick Thevenin","C2H","128.39","339.19","419.46","finale a"
"Stassy Legendre-Antoine Esseric","C2M","141.46","657.31","433.31","finale a"
"Maeva Auriol-Loic Thielen","C2M","172.69","526.7","742.71","finale a"
"Sandra Carisey-Alexis Caspar","C2M","213.41","-","1146.15","finale a"
"Anneline Triomphe","K1D","107.78","128.79","165.78","finale a"
"Elodie Delavelle","K1D","114.38","211.64","235.21","finale a"
"Pauline Dias Lopes","K1D","118.31","335.48","276.56","finale a"
"Louise Bichet","K1D","124.94","246.21","346.32","finale a"
"Jenny Chevalier","K1D","126.13","301.23","358.83","finale a"
"Brigitte Marechal","K1D","133.14","373.93","432.59","finale a"
"Laure Camozzi","K1D","134.83","391.62","450.38","finale a"
"Zoe Bruchon","K1DM","126.47","442.94","362.41","finale a"
"Meryl Steinmann","K1DM","133.86","440.71","440.17","finale a"
"Tifenn Primet","K1DM","147.05","563.37","578.94","finale a"
"Clotilde Lecoester","K1DM","182.88","-","955.91","finale a"
"Mathieu Douillet","K1H","94.94","106.04","160.54","finale a"
"Xavier Marie","K1H","99.03","212.87","209.17","finale a"
"Benoit Lecoester","K1H","103.13","271.15","257.91","finale a"
"Alexis Caspar","K1H","104.17","243.12","270.27","finale a"
"Patrice Campioni","K1H","106.81","286.8","301.66","finale a"
"Sebastien De Kerleau","K1H","107.34","-","307.96","finale a"
"Emmanuel Triomphe","K1H","108.34","357.19","319.85","finale a"
"Olivier Urbain","K1H","109.37","285.22","332.1","finale a"
"Yann Zaepffel","K1H","109.77","288.31","336.85","finale a"
"Fabien Hantz","K1H","110.57","345.48","346.36","finale a"
"Loic Thielen","K1H","110.79","330.21","348.98","finale a"
"Philippe Devillers","K1H","110.95","350.84","350.88","finale a"
"Charles Vallet","K1H","113.18","278.21","377.39","finale a"
"Eddy Cassard","K1H","114.94","372.53","398.32","finale a"
"Charles Fernandes De Oliveira","K1H","154.06","250.45","863.41","finale a"
"Dyclan Plessis","K1HM","120.52","476.83","464.66","finale a"
"Oscar Lombardot","K1HM","139.0","-","684.36","finale a"
"Jules Bernardet","K1HM","166.51","375.23","1011.42","finale a"
"Benoit Lecoester","C1H","122.87","-","428.03","finale b"
"Antoine Esseric","C1H","151.21","709.04","748.92","finale b"
"Benoit Lambour","C1H","156.94","-","813.8","finale b"
"Philippe Devillers","C1H","169.82","491.81","959.63","finale b"
"Marlene Dumoulin","K1D","135.39","396.93","461.26","finale b"
"Stassy Legendre","K1D","142.48","494.81","535.85","finale b"
"Lucie Bichet","K1D","147.14","-","584.88","finale b"
"Caroline Dias-lopes","K1D","148.95","573.74","603.93","finale b"
"Maeva Auriol","K1D","169.64","464.99","821.61","finale b"
"Manon Louis","K1D","234.91","1128.76","1508.32","finale b"
"Jocelyn Racape","K1H","115.64","342.21","411.64","finale b"
"Antoine Esseric","K1H","115.65","372.25","411.76","finale b"
"Benjamin Dodane","K1H","116.24","363.52","418.77","finale b"
"Jean Guyot","K1H","121.59","404.99","482.38","finale b"
"Julien Petit-maire","K1H","124.47","407.35","516.62","finale b"
"Patrick Thevenin","K1H","130.99","547.85","594.13","finale b"
"Luka Simeant Esprit","K1H","137.49","583.96","671.41","finale b"
"Antoine Luchier","K1H","146.13","466.66","774.13","finale b"
"Hugo Thiery","K1H","146.47","543.39","778.17","finale b"
"Alexandre Lambert","K1H","147.76","571.31","793.51","finale b"
"Come Champurney","K1H","159.6","638.75","934.27","finale b"
"Yanis Delacour","K1H","170.81","548.64","1067.54","finale b"
"Christophe Harding","K1H","171.13","343.68","1071.35","finale b"
"Augustin Jaujay","K1H","188.67","635.8","1279.88","finale b"
"Kevin Vienny","K1HM","143.6","-","744.05","finale b"
"Alexis Pacholak","K1HM","150.32","768.02","823.94","finale b"
