"COUPE AUTOMINE - CESSON SEVIGNE - Qualification","CESSON SEVIGNE","Qualification","qualif","2014-11-08","Régional","144"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Baudu","C1D","107.29","102.88","83.46",""
"Oriane Rebours","C1D","114.91","80.66","162.23",""
"Charlotte Abba","C1D","117.2","137.75","185.9",""
"Camille Prigent","C1D","117.97","147.51","193.86",""
"Margaux Henry","C1D","118.76","217.99","202.03",""
"Ella Bregazzi","C1D","119.82","137.86","212.99",""
"Laurine Naveau","C1D","123.08","160.22","246.69",""
"Justine Lorin","C1D","123.86","172.1","254.76",""
"Fanchon Janssen","C1D","127.16","246.68","288.87",""
"Azenor Philip","C1D","130.68","245.4","325.25",""
"Marjorie Delassus","C1D","131.55","318.39","334.25",""
"Manon Durand","C1D","131.71","282.46","335.9",""
"Lisa Robin","C1D","136.43","276.18","384.7",""
"Marine Schmitt","C1D","137.94","348.34","400.3",""
"Maxime Perron","C1H","95.32","57.8","100.49",""
"Sebastien De Kerleau","C1H","96.83","62.27","118.33",""
"Simon Le Friec","C1H","97.45","48.89","125.65",""
"Jason Brothier","C1H","98.17","101.64","134.16",""
"Jean Pierre Bourhis","C1H","98.89","97.44","142.67",""
"Lucas Roisin","C1H","99.92","132.35","154.83",""
"Emilien Kempf","C1H","100.56","100.29","162.39",""
"Erwan Marchais","C1H","100.69","75.43","163.93",""
"Liam Jegou","C1H","100.7","63.21","164.05",""
"Gireg Hamoniaux","C1H","102.91","-","190.16",""
"Lucas Hives - Sorin","C1H","103.12","103.56","192.64",""
"Antoine Gaillard","C1H","103.42","165.54","196.18",""
"Corentin Oulhen","C1H","103.68","151.1","199.25",""
"Thibaut Perroteau","C1H","103.82","140.59","200.91",""
"Lucas Vancon","C1H","104.22","137.21","205.63",""
"Antoine Roux","C1H","104.45","111.76","208.35",""
"Alexandre Cierocki","C1H","104.93","209.22","214.02",""
"Tom Maffeis","C1H","105.49","180.76","220.64",""
"Thomas Launay","C1H","105.53","255.78","221.11",""
"Baptiste Le Poncin","C1H","106.35","193.43","230.8",""
"Guillaume Le Bourdonnec","C1H","106.95","163.09","237.88",""
"Yves Bourhis","C1H","107.04","183.79","238.95",""
"Gael Le Noc","C1H","107.55","164.01","244.98",""
"Theo Roisin","C1H","108.0","255.59","250.29",""
"Charles Dampeyrou","C1H","108.71","179.56","258.68",""
"Quentin Desouche","C1H","109.25","241.07","265.06",""
"Malo Quemeneur","C1H","109.56","255.88","268.72",""
"Malo Poles","C1H","109.79","200.21","271.44",""
"Issam Chakir","C1H","110.69","240.92","282.07",""
"Faysal Ali Zazou","C1H","110.85","254.61","283.96",""
"Nathan Hossin","C1H","110.92","200.6","284.79",""
"Gaetan Le Henaff","C1H","111.7","166.57","294.0",""
"Nathan Rene Corail","C1H","112.95","200.7","308.77",""
"Yves Prigent-Loic Kervella","C2H","103.61","66.86","142.79",""
"Louis Bouclier-Martin Mottais","C2H","106.04","124.16","170.19",""
"Lucas Roisin-Guillaume Graille","C2H","107.49","150.88","186.54",""
"Malo Poles-Baptiste Le Poncin","C2H","110.52","138.89","220.72",""
"Nicolas Coudert-Yann Le Govic","C2H","113.24","161.76","251.38",""
"Pierre Hellard-Malo Quemeneur","C2H","113.59","258.49","255.34",""
"Loic Brunel-Medhi Deguil","C2H","114.71","189.92","267.97",""
"Theo Roisin-Hugo Crepeau","C2H","121.4","328.77","343.41",""
"Theo Desvignes-Arthur Traquet","C2H","124.01","469.8","372.84",""
"Vincent Morabito-Yohan Wantz","C2H","127.85","455.37","416.14",""
"Youn Aubry-Alan Mahe","C2H","129.64","413.77","436.34",""
"Estelle Hellard","K1D","102.02","48.35","94.31",""
"Camille Prigent","K1D","102.34","49.34","97.83",""
"Margaux Henry","K1D","102.49","90.48","99.47",""
"Lucie Baudu","K1D","102.67","56.01","101.45",""
"Estelle Mangin","K1D","104.58","23.45","122.42",""
"Lea Wetzel","K1D","105.37","94.64","131.09",""
"Marine Leveque","K1D","106.36","107.58","141.96",""
"Claire Gaigeot","K1D","106.8","103.94","146.79",""
"Laura Combot","K1D","107.36","92.42","152.93",""
"Clementine Geoffray","K1D","107.73","79.58","157.0",""
"Elise Pierron","K1D","107.94","117.95","159.3",""
"Lea Turmeau","K1D","107.96","136.85","159.52",""
"Claire Moal","K1D","109.6","124.77","177.52",""
"Flora Huvelin","K1D","110.26","110.32","184.77",""
"Romane Prigent","K1D","110.4","129.07","186.31",""
"Fanchon Janssen","K1D","110.76","203.71","190.26",""
"Marjorie Delassus","K1D","110.87","195.65","191.47",""
"Joana Palermo","K1D","111.03","145.73","193.22",""
"Joey Bercon","K1D","112.3","136.93","207.16",""
"Camille Fontaine","K1D","113.42","198.77","219.46",""
"Marine Schmitt","K1D","113.56","137.94","221.0",""
"Lea Gaigeot","K1D","113.63","110.06","221.77",""
"Louise Bichet","K1D","114.73","241.69","233.84",""
