"Championnat Régional - Vinon sur Verdon - Course 2 | Qualification - 2014-11-16","Vinon sur Verdon","Course 2 | Qualification","qualif","2014-11-16","Régional","127"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Annaelle Meheut","C1D","107.69","90.83","148.38",""
"Laura Ligeon","C1D","114.91","159.73","223.17",""
"Joey Bercon","C1D","125.57","394.12","333.59",""
"Marion Delorme","C1D","129.15","394.94","370.67",""
"Mana Thomas","C1D","132.14","416.67","401.64",""
"Angele Hug","C1DM","127.54","339.45","353.99",""
"Denis Gargaud","C1H","98.75","15.53","201.9",""
"Baptiste Tappero","C1H","104.26","236.4","267.13",""
"Thomas Levert","C1H","104.54","296.95","270.45",""
"Ronan Cordier","C1H","108.9","312.83","322.06",""
"Timothee Olla","C1H","109.95","328.33","334.49",""
"Theo Viens","C1H","111.07","272.21","347.75",""
"Lucas Di Martino","C1H","112.65","473.57","366.46",""
"Nicolas Eymaron","C1H","112.79","313.22","368.11",""
"Bryan Seiler","C1H","113.26","325.96","373.68",""
"Frank Adisson","C1H","114.76","358.6","391.43",""
"Adrien Reinard","C1H","118.3","280.6","433.34",""
"Alexis Mercoirol","C1H","121.21","400.29","467.78",""
"Hugo Andre","C1H","121.69","406.57","473.46",""
"Cyril Audoit","C1H","145.17","515.77","751.42",""
"Mathieu Lions","C1H","187.45","619.99","1251.94",""
"Pablo Guillem","C1H","331.85","-","2961.35",""
"Kawan Thomas","C1HM","134.24","-","622.04",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","118.37","261.85","370.47",""
"Paul Cornut-chauvinc-Romain Gayral","C2H","135.85","428.82","567.99",""
"Stephane Breton-Remi Passerat De Silans","C2H","358.76","-","3086.85",""
"Ronan Cordier-Julie Labarelle","C2M","126.71","272.68","345.4",""
"Coline Bertin-Jules Silvin","C2M","229.85","-","1413.75",""
"Annaelle Meheut","K1D","105.95","125.64","198.34",""
"Joey Bercon","K1D","106.19","136.93","200.98",""
"Marion Delorme","K1D","117.13","310.5","321.32",""
"Mana Thomas","K1D","117.89","321.82","329.68",""
"Julie Fauroux","K1D","126.05","429.77","419.44",""
"Marine Izac","K1D","128.14","356.02","442.43",""
"Lucie Adisson","K1D","129.22","448.79","454.31",""
"Coline Bertin","K1D","132.56","399.76","491.05",""
"Helene Merlet","K1D","145.61","1610.35","634.59",""
"Melanie Connes-lessard","K1D","150.5","579.33","688.39",""
"Julie Labarelle","K1D","154.24","130.18","729.53",""
"Christelle Channac","K1D","183.68","592.38","1053.37",""
"Lorene Scalbert","K1D","190.49","489.73","1128.27",""
"Stephanie Bourdin","K1D","190.72","507.86","1130.81",""
"Juliette Rousset","K1D","212.59","555.46","1371.38",""
"Angele Hug","K1DM","155.3","299.86","741.19",""
"Laura Guillem","K1DM","169.48","580.48","897.16",""
"Anais Boucher","K1DM","171.9","348.8","923.79",""
"Aliona Baudy","K1DM","236.74","738.97","1637.02",""
"Leo Fournier","K1H","98.25","197.75","254.14",""
