"Sélectif Régional - Strasbourg ascpa - Finale","Strasbourg ascpa","Finale","finale","2014-11-23","Régional","60"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Azenor Philip","C1D","123.9","234.86","256.19","finale a"
"Anna Wider","C1D","125.07","237.13","267.95","finale a"
"Andrea Gratwohl","C1D","136.09","-","378.68","finale a"
"Auregane Philip","C1DM","148.47","532.77","503.1","finale a"
"Celia Grandadam","C1DM","153.63","663.04","554.95","finale a"
"Simon Werro","C1H","108.1","215.09","252.6","finale a"
"Medhi Deguil","C1H","112.67","191.24","305.09","finale a"
"Gilles Schweitzer","C1H","118.11","322.14","367.57","finale a"
"Jean Marc Trenchant","C1H","122.02","353.27","412.47","finale a"
"Charlie Barbier","C1H","123.66","-","431.3","finale a"
"Joris Schaffner","C1HM","127.84","483.42","479.3","finale a"
"Auregane Philip-Thais Francois","C2D","157.84","-","475.24","finale a"
"Lukas Werro-Simon Werro","C2H","109.55","-","212.07","finale a"
"Gilles Schweitzer-Jean Marc Trenchant","C2H","126.45","-","397.34","finale a"
"Nathan Barbier-Otello Willmann Rosso","C2H","128.96","-","424.85","finale a"
"Simon Hene-Benjamin Hene","C2H","146.2","764.44","613.84","finale a"
"Leo Peter-Eli Haug","C2HM","146.5","697.95","617.14","finale a"
"Simon Werro-Anna Wider","C2M","121.68","-","233.88","finale a"
"Andrea Gratwohl-Lukas Werro","C2M","123.27","-","249.86","finale a"
"Caroline Bianco-Patrick Henry","C2M","179.2","-","811.9","finale a"
"Azenor Philip","K1D","116.58","210.81","255.2","finale a"
"Andrea Gratwohl","K1D","116.67","218.62","256.17","finale a"
"Tassia Konstantinidis","K1D","120.94","374.25","301.74","finale a"
"Anna Wider","K1D","124.04","-","334.81","finale a"
"Camille Zumstein","K1D","130.36","512.43","402.26","finale a"
"Auregane Philip","K1DM","126.59","427.43","362.03","finale a"
"Celia Grandadam","K1DM","129.37","403.11","391.7","finale a"
"Emmanuel Walczak","K1H","92.56","70.78","127.28","finale a"
"Lukas Werro","K1H","96.57","-","175.64","finale a"
"Charlie Barbier","K1H","100.71","179.78","225.56","finale a"
"Laurent Starck","K1H","103.3","188.46","256.79","finale a"
"Otello Willmann Rosso","K1H","104.62","231.76","272.71","finale a"
"Simon Hene","K1H","113.48","409.64","379.55","finale a"
"Paul Frommer","K1H","113.52","342.12","380.04","finale a"
"Jorg Blees","K1H","121.0","299.88","470.24","finale a"
"Marc Jegou","K1H","121.32","-","474.09","finale a"
"Joris Schaffner","K1HM","111.07","361.02","350.49","finale a"
"Eli Haug","K1HM","120.16","513.51","460.11","finale a"
"Jules Gastaud","K1HM","124.97","-","518.11","finale a"
"Jean- Nicolas Veigel","K1HM","126.84","-","540.66","finale a"
"Thais Francois","C1D","146.72","-","490.51","finale b"
"Anais Mouhoub","C1D","170.18","-","726.27","finale b"
"Julie Munch","C1D","196.06","-","986.33","finale b"
"Otello Willmann Rosso","C1H","124.85","-","449.97","finale b"
"Laurent Starck","C1H","128.62","501.63","493.26","finale b"
"Marc Jegou","C1H","134.88","-","565.16","finale b"
"Kyle Gelb","C1H","143.7","679.72","666.45","finale b"
"Thais Francois","K1D","129.35","438.71","396.48","finale b"
"Anais Mouhoub","K1D","138.03","475.02","489.1","finale b"
"Julie Munch","K1D","150.16","692.37","618.56","finale b"
"Caroline Bianco","K1D","150.96","-","627.09","finale b"
"Rafael Pawlus","K1H","121.38","468.2","479.82","finale b"
"Kyle Gelb","K1H","122.17","465.17","489.34","finale b"
"Johan Floquet","K1H","122.89","525.68","498.03","finale b"
"Sacha Mutschler","K1H","125.46","598.33","529.02","finale b"
"Benjamin Hene","K1H","126.19","541.44","537.82","finale b"
"William Pawlus","K1H","129.82","538.06","581.59","finale b"
"Patrick Henry","K1H","132.71","-","616.44","finale b"
"Lucas Wietrich","K1H","140.93","-","715.57","finale b"
"Leo Peter","K1HM","125.92","573.96","534.57","finale b"
