"Compétition Régionale de Slalom - Sablé-sur-sarthe - Finale","Sablé-sur-sarthe","Finale","finale","2015-02-01","Régional","104"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lea Turmeau","C1D","129.94","358.0","336.9","finale a"
"Lea Grison","C1D","141.84","364.66","457.13","finale a"
"Manon Chaumont","C1D","187.18","-","915.19","finale a"
"Maxime Perron","C1H","99.76","57.8","175.98","finale a"
"Alexandre Cierocki","C1H","100.89","203.7","189.02","finale a"
"Thibaut Perroteau","C1H","101.54","140.59","196.53","finale a"
"Gaetan Hamelin","C1H","105.45","211.85","241.68","finale a"
"Nicolas Rebours","C1H","107.26","249.25","262.57","finale a"
"Alexandre Dupas","C1H","108.51","207.26","277.01","finale a"
"Samuel Lhegu","C1H","109.36","286.34","286.81","finale a"
"Aurelien Ballandras","C1H","111.99","270.69","317.18","finale a"
"Lucas Pagnard - Tissier","C1H","119.27","392.76","401.24","finale a"
"Yoann Bizot","C1H","119.83","344.71","407.71","finale a"
"Theo Foucher","C1H","121.9","357.77","431.61","finale a"
"Lea Turmeau-Lea Grison","C2D","144.11","-","368.07","finale a"
"Zoe Renaud-Mathilde Nouaille-degorce","C2D","165.41","-","566.7","finale a"
"Josephine Farges-Aziliz Quintin","C2D","169.06","886.03","600.74","finale a"
"Garance Dalaine-Amandine Marceix","C2D","363.02","-","2409.56","finale a"
"Maxime Perron-Lucas Hives - Sorin","C2H","109.61","137.28","232.18","finale a"
"Nicolas Rebours-Theo Lecomte","C2H","120.62","375.73","353.53","finale a"
"Louison Turmeau-Thibaut Perroteau","C2H","123.55","-","385.81","finale a"
"Nicolas Rouleaud-Alexandre Dupas","C2H","125.51","436.67","407.42","finale a"
"Lucas Hives - Sorin-Lou Renaud","C2M","121.25","-","249.11","finale a"
"Lea Turmeau","K1D","108.42","116.49","187.34","finale a"
"Lou Renaud","K1D","120.89","320.8","321.12","finale a"
"Zoe Renaud","K1D","127.45","428.34","391.51","finale a"
"Coralie Belnoue","K1D","128.79","431.76","405.88","finale a"
"Aziliz Quintin","K1D","131.84","416.84","438.61","finale a"
"Manon Chaumont","K1D","156.74","603.65","705.75","finale a"
"Josephine Farges","K1D","158.17","655.13","721.09","finale a"
"Louison Turmeau","K1H","93.38","83.36","156.22","finale a"
"Nicolas Rouleaud","K1H","95.72","164.61","184.59","finale a"
"Matthieu Chauvel","K1H","95.9","186.28","186.77","finale a"
"Pierre Audouin","K1H","96.58","213.6","195.02","finale a"
"Theo Lecomte","K1H","97.94","229.48","211.5","finale a"
"Aurelien Ballandras","K1H","102.88","258.55","271.39","finale a"
"Timothee Le Mort","K1H","103.06","277.67","273.58","finale a"
