"Sélectif Championnat National 2 Slalom - St Pierre De Boeuf - Finale","St Pierre De Boeuf","Finale","finale","2015-02-22","Nationale 2","180"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Anna Wider","C1D","117.9","216.67","177.77","finale a"
"Claire Landrin","C1D","127.74","173.39","269.9","finale a"
"Elise Pierron","C1D","143.41","353.93","416.61","finale a"
"Emilie Delahaye","C1D","156.17","364.65","536.08","finale a"
"Angele Hug","C1D","174.55","339.45","708.16","finale a"
"Yann Basille","C1H","105.91","167.98","207.17","finale a"
"Martin Daviet","C1H","106.3","240.96","211.34","finale a"
"Issam Chakir","C1H","107.68","247.53","226.1","finale a"
"Nadjib Mazar","C1H","107.83","171.08","227.71","finale a"
"Alexandre Dupas","C1H","108.05","207.26","230.07","finale a"
"Benoit Chantry","C1H","108.38","229.57","233.6","finale a"
"Galaad Pereyron","C1H","109.74","163.72","248.15","finale a"
"Medhi Deguil","C1H","110.31","191.24","254.25","finale a"
"Paul Tallet Pinet","C1H","111.1","207.85","262.71","finale a"
"Joris Santoro","C1H","112.59","216.91","278.65","finale a"
"Theo Roisin","C1H","112.94","248.76","282.39","finale a"
"Frederic Momot","C1H","116.76","273.8","323.27","finale a"
"Jonathan Delagnes","C1H","117.76","184.14","333.96","finale a"
"Christopher Lucas","C1H","119.49","268.26","352.48","finale a"
"Stephane Abadie","C1H","120.26","210.15","360.71","finale a"
"Lukas Werro-Simon Werro","C2H","108.16","165.09","178.64","finale a"
"Frank Adisson-Sandra Forgues","C2H","112.53","176.19","223.27","finale a"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","130.63","261.85","408.15","finale a"
"Frederic Momot-Jean Philippe Winiarski","C2H","135.4","273.05","456.86","finale a"
"Ronan Cordier-Julie Labarelle","C2M","140.78","289.87","391.99","finale a"
"Emeline Oudet","K1D","107.98","134.2","147.52","finale a"
"Marine Schmitt","K1D","109.75","137.94","165.12","finale a"
"Marjorie Delassus","K1D","111.59","176.92","183.41","finale a"
"Joey Bercon","K1D","113.35","136.93","200.92","finale a"
"Joana Palermo","K1D","113.62","145.73","203.6","finale a"
"Lisa Mouffle","K1D","113.81","179.83","205.49","finale a"
"Julie Labarelle","K1D","114.41","130.18","211.45","finale a"
"Fanchon Janssen","K1D","115.63","184.97","223.58","finale a"
"Nelly Tornare","K1D","115.83","162.97","225.57","finale a"
"Camille Fontaine","K1D","116.5","198.42","232.23","finale a"
"Viviana Daille","K1D","116.67","210.34","233.92","finale a"
"Angelique Guilcher","K1D","117.06","156.24","237.8","finale a"
"Candice Brondel","K1D","117.11","274.12","238.29","finale a"
"Emilie Lhomme","K1D","117.48","185.87","241.98","finale a"
"Elise Pierron","K1D","118.12","117.95","248.34","finale a"
"Natacha Delassus","K1D","121.01","223.15","277.07","finale a"
"Marie Borlet","K1D","121.14","-","278.37","finale a"
"Suzon Broute","K1D","121.72","147.07","284.13","finale a"
"Zelie Wendling","K1D","124.91","282.18","315.85","finale a"
"Tiphaine Drouin","K1D","126.05","285.53","327.19","finale a"
"Alexane Galmiche","K1D","126.27","308.41","329.37","finale a"
"Marie-amelie Jullien","K1D","126.86","331.03","335.23","finale a"
"Raphaelle Hovine","K1D","129.0","262.4","356.51","finale a"
"Emilie Delahaye","K1D","129.76","255.01","364.07","finale a"
"Alicia Gallot","K1D","131.73","286.31","383.65","finale a"
"Eva Dauvergne","K1D","132.26","291.36","388.92","finale a"
"Fanny Mino-vercellio","K1D","134.79","270.85","414.08","finale a"
"Elodie Delavelle","K1D","142.54","210.59","491.14","finale a"
"Adele Charlaigre","K1D","146.42","309.4","529.71","finale a"
"Lukas Werro","K1H","92.03","121.09","107.89","finale a"
"Kendaor Le Huitou","K1H","93.02","125.17","119.01","finale a"
"Benjamin Jacon","K1H","93.24","125.14","121.48","finale a"
"Antoine Roux","K1H","93.6","121.43","125.53","finale a"
"Julien Haberland","K1H","95.79","136.97","150.13","finale a"
"Fabien Tournadre","K1H","96.07","127.64","153.28","finale a"
"Christophe Augu","K1H","97.14","122.46","165.3","finale a"
"Paul Cornut-chauvinc","K1H","97.17","179.53","165.64","finale a"
"Pierre Marie Roussel","K1H","97.87","112.86","173.5","finale a"
"Jerome Olhagaray","K1H","97.99","173.38","174.85","finale a"
"Nicolas Caussanel","K1H","98.22","163.36","177.43","finale a"
"Antoine Gaillard","K1H","98.23","155.2","177.55","finale a"
"Benoit Chantry","K1H","98.44","125.53","179.91","finale a"
"Laurent Starck","K1H","98.46","188.46","180.13","finale a"
