"Séletif National 3 Slalom Nord - Saint Laurent Blangy - Finale - 2015-03-08","Saint Laurent Blangy","Finale","finale","2015-03-08","Nationale 3","154"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Adele Charlaigre","C1D","140.44","538.21","632.02","finale a"
"Camille Meyer","C1D","173.96","594.87","1009.64","finale a"
"Ilhame Siraj","C1D","175.26","569.15","1024.28","finale a"
"Nicolas Ducrocq","C1H","96.04","301.16","286.41","finale a"
"Charles Bre","C1H","98.73","280.15","321.05","finale a"
"Francois Durand","C1H","100.85","308.23","348.34","finale a"
"Louis Vandeville","C1H","101.75","311.88","359.93","finale a"
"Eric Beaumont","C1H","102.93","307.9","375.12","finale a"
"Maxime Cousin","C1H","103.54","307.51","382.97","finale a"
"Teddy Poulard","C1H","103.93","302.11","387.99","finale a"
"Tom Barthelemy","C1H","105.04","312.59","402.28","finale a"
"Julien Fougeron","C1H","105.79","299.22","411.93","finale a"
"Louis Savart","C1H","107.87","411.33","438.71","finale a"
"Alexandre Ghirardi","C1H","108.01","414.61","440.53","finale a"
"Camille Fleuret","C1H","108.61","448.31","448.24","finale a"
"Lancelot Meillier","C1H","108.78","366.49","450.43","finale a"
"Olivier Gesbert","C1H","110.37","290.96","470.9","finale a"
"Hugo Lecomte","C1H","110.89","470.62","477.61","finale a"
"Mathis Perreau","C1H","114.03","441.27","518.03","finale a"
"Quentin Mannier","C1H","158.74","365.14","1093.64","finale a"
"Mikael Maupin-Vincent Hannedouche","C2H","100.43","354.11","284.16","finale a"
"Guillaume Doutreix-Teddy Poulard","C2H","113.05","418.82","439.25","finale a"
"Bertrand Avril-Nicolas Dupres","C2H","117.09","373.36","488.89","finale a"
"Julien Fougeron-Edouard Gracias","C2H","131.27","345.09","663.16","finale a"
"Gaspard Perrio-LÉo Le Moigne","C2H","160.99","475.55","1028.4","finale a"
"Catherine Boulan-Xavier Jourdain","C2M","123.32","373.66","439.17","finale a"
"Florence Marchal-Jacques Nardeau","C2M","174.6","-","1016.85","finale a"
"Laurence Pessoni","K1D","113.04","360.94","402.24","finale a"
"Leontine Dubuisson","K1D","114.13","486.3","415.29","finale a"
"Ilhame Siraj","K1D","114.96","401.01","425.22","finale a"
"Lucie Robin","K1D","119.32","439.71","477.38","finale a"
"Natacha Giraud","K1D","122.97","376.17","521.04","finale a"
"Manon Borde","K1D","136.96","471.71","688.41","finale a"
"Florence Marchal","K1D","139.19","605.28","715.08","finale a"
"Catherine Boulan","K1D","175.24","456.25","1146.35","finale a"
"Sandrine Arnal","K1D","243.74","416.75","1965.81","finale a"
"Quentin Mannier","K1H","89.14","312.85","254.96","finale a"
"Julien Antide","K1H","91.63","254.08","288.62","finale a"
"Vincent Delahaye","K1H","91.66","298.03","289.03","finale a"
"Xavier Chantry","K1H","92.92","306.64","306.06","finale a"
"Louis Vandeville","K1H","93.64","316.78","315.79","finale a"
"Arnaud Delattre","K1H","94.39","283.19","325.93","finale a"
"Yani Ferhaoui","K1H","95.27","261.04","337.83","finale a"
"Martin Rohaut","K1H","95.63","344.57","342.69","finale a"
"Matthieu Walfard","K1H","96.24","336.88","350.94","finale a"
"Edouard Gracias","K1H","96.37","265.22","352.7","finale a"
"Lucas Gillet","K1H","96.75","317.34","357.84","finale a"
