"Séletif National 3 Slalom Nord - Saint Laurent Blangy - Qualification","Saint Laurent Blangy","Qualification","qualif","2015-03-08","Nationale 3","156"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ilhame Siraj","C1D","144.95","569.15","603.79",""
"Camille Meyer","C1D","158.31","594.87","747.44",""
"Adele Charlaigre","C1D","162.52","538.21","792.7",""
"Charles Bre","C1H","97.55","300.52","243.96",""
"Francois Durand","C1H","104.98","308.23","335.27",""
"Maxime Cousin","C1H","107.26","307.51","363.28",""
"Lancelot Meillier","C1H","107.47","386.45","365.86",""
"Nicolas Ducrocq","C1H","108.03","301.16","372.75",""
"Julien Fougeron","C1H","108.36","299.22","376.8",""
"Olivier Gesbert","C1H","108.36","290.96","376.8",""
"Eric Beaumont","C1H","109.26","307.9","387.86",""
"Hugo Lecomte","C1H","109.28","507.26","388.11",""
"Quentin Mannier","C1H","109.62","372.36","392.29",""
"Teddy Poulard","C1H","109.97","302.11","396.58",""
"Alexandre Ghirardi","C1H","110.81","424.54","406.91",""
"Tom Barthelemy","C1H","111.65","312.59","417.23",""
"Louis Savart","C1H","115.27","411.33","461.72",""
"Camille Fleuret","C1H","116.41","448.31","475.73",""
"Mathis Perreau","C1H","116.66","441.27","478.8",""
"Louis Vandeville","C1H","117.43","311.88","488.26",""
"Matthieu Walfard","C1H","117.77","452.14","492.44",""
"Virgile Bourlet De La Vallee","C1H","120.04","470.34","520.33",""
"Loic Bourgeois","C1H","120.87","355.79","530.53",""
"Guillaume Picavet","C1H","125.02","405.26","581.53",""
"Jacques Nardeau","C1H","126.78","479.39","603.16",""
"Antoine Martin","C1H","132.96","517.5","679.11",""
"Alexis Pierlot","C1H","135.96","481.13","715.97",""
"Antoine Cruard","C1H","140.64","448.3","773.48",""
"Adam Collin","C1H","141.57","448.93","784.91",""
"Martin Rich","C1H","175.06","736.21","1196.45",""
"Baptiste Nanet","C1H","195.15","602.23","1443.32",""
"Jean Noel Degraeve","C1H","210.75","715.93","1635.02",""
"Theo Galet","C1H","231.01","757.35","1883.99",""
"Michael Philibert","C1H","252.97","346.88","2153.84",""
"Guillaume Doutreix-Teddy Poulard","C2H","110.56","606.02","342.08",""
"Bertrand Avril-Nicolas Dupres","C2H","112.04","385.94","359.45",""
"Julien Fougeron-Edouard Gracias","C2H","112.62","345.09","366.25",""
"Gaspard Perrio-LÉo Le Moigne","C2H","114.17","514.82","384.43",""
"Mikael Maupin-Vincent Hannedouche","C2H","115.89","354.11","404.61",""
"Nicolas Ducrocq-Michael Philibert","C2H","119.85","462.59","451.06",""
"Vincent Delahaye-Mathis Perreau","C2H","134.34","844.81","621.02",""
"Eric Beaumont-Jean Noel Degraeve","C2H","136.97","567.27","651.87",""
"Martin Rich-Virgile Bourlet De La Vallee","C2H","143.5","640.74","728.47",""
"Thomas Descotes-Baptiste Nanet","C2H","308.33","-","2661.91",""
"Catherine Boulan-Xavier Jourdain","C2M","128.7","379.8","429.06",""
"Florence Marchal-Jacques Nardeau","C2M","138.85","-","538.19",""
"Laurence Pessoni","K1D","118.46","360.94","397.86",""
"Manon Borde","K1D","127.05","476.72","495.95",""
"Leontine Dubuisson","K1D","127.44","494.02","500.4",""
"Ilhame Siraj","K1D","127.9","401.01","505.65",""
"Lucie Robin","K1D","132.23","439.71","555.1",""
"Sandrine Arnal","K1D","146.76","416.75","721.0",""
"Catherine Boulan","K1D","153.15","456.25","793.97",""
"Florence Marchal","K1D","179.74","605.28","1097.59",""
"Natacha Giraud","K1D","187.5","376.17","1186.19",""
"Sophie Dupas","K1D","187.82","495.89","1189.84",""
"Camille Meyer","K1D","193.01","351.91","1249.1",""
"Alina Rassel","K1D","220.79","380.5","1566.31",""
"Mallaury Bour","K1D","235.14","434.77","1730.18",""
