"Sélectif Régional de slalom - Clisson - Moulin De Plessard - Finale - 2015-03-29","Finale","2015-03-29","Régional","109"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lea Grison","C1D","142.75","364.63","501.3","Finale A"
"Alexandre Cierocki","C1H","106.23","189.13","284.73","Finale A"
"Gaetan Hamelin","C1H","108.7","185.39","313.38","Finale A"
"Aurelien Ballandras","C1H","110.58","264.25","335.17","Finale A"
"Alexis Bobon","C1H","113.39","315.54","367.75","Finale A"
"Yoann Bizot","C1H","120.64","349.83","451.83","Finale A"
"Theo Foucher","C1H","125.46","357.77","507.73","Finale A"
"Nicolas Rouleaud","C1H","134.53","439.77","612.9","Finale A"
"Theo Renaud","C1H","143.32","442.72","714.83","Finale A"
"Elliot David","C1HM","136.49","-","-","Finale A"
"Romain Branjauneau","C1HM","152.62","-","-","Finale A"
"Romain Bruneau","C1HM","159.23","-","-","Finale A"
"Samuel Vallienne","C1HM","164.08","-","-","Finale A"
"Nicolas Rouleaud-Alexandre Dupas","C2H","118.19","390.93","361.12","Finale A"
"Basile Desclos-Victor Desclos-le Peley","C2H","119.9","240.4","380.05","Finale A"
"Louison Turmeau-Thibaut Perroteau","C2H","125.96","298.36","447.13","Finale A"
"Florian Busson-Alex Louveau","C2HM","167.58","-","-","Finale A"
"Lea Turmeau","K1D","109.56","116.49","233.4","Finale A"
"Valerie Sibioude","K1D","113.04","209.42","270.89","Finale A"
"Lea Grison","K1D","116.5","232.95","308.18","Finale A"
"Laura Rocher","K1D","122.86","189.95","376.72","Finale A"
"Zoe Renaud","K1D","128.6","403.86","438.56","Finale A"
"Aziliz Quintin","K1D","134.39","402.04","500.95","Finale A"
"Romane Bronchet","K1DM","158.72","-","-","Finale A"
"Louison Turmeau","K1H","90.13","84.43","150.29","Finale A"
"Cedric Jegouzo","K1H","93.5","150.78","191.33","Finale A"
"Theo Lecomte","K1H","94.09","217.95","198.51","Finale A"
