"Compétition Régionale de Slalom - La Harelle - Finale - 2015-03-29","Finale","2015-03-29","Régional","74"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Camille Prigent","C1D","114.92","140.61","225.2","Finale A"
"Anais Pignet","C1D","129.47","420.44","379.73","Finale A"
"Alice Azam","C1D","135.2","-","440.58","Finale A"
"Marie-francoise Prigent","C1D","137.72","-","467.34","Finale A"
"Thiphaine Ruellan","C1D","146.68","-","562.49","Finale A"
"Florian Joly","C1H","102.73","159.08","251.6","Finale A"
"Hugo Robin","C1H","108.92","283.66","326.73","Finale A"
"Jeanmichel Regnier","C1H","112.17","388.82","366.18","Finale A"
"Johann Loiseau","C1H","116.04","418.95","413.14","Finale A"
"Hugo Regnier","C1H","Abs","-","-","Finale A"
"Hugo Regnier-Arthur Mizzi","C2H","125.39","523.5","457.45","Finale A"
"Simon Seuru-Ludovic Le Cointre","C2H","126","522.62","464.51","Finale A"
"Anthony Drouhin-Hugo Robin","C2H","127.83","-","485.72","Finale A"
"Mathis Busnel-Samuel Le Dean","C2H","164.96","-","915.9","Finale A"
"Camille Prigent","K1D","100.07","40.63","133.33","Finale A"
"Sarah Despres","K1D","104.65","159.38","184.98","Finale A"
"Alice Azam","K1D","111.75","307.67","265.05","Finale A"
"Anais Pignet","K1D","119.84","414.88","356.29","Finale A"
"Mathys Huvelin","K1H","85.12","52.05","89.52","Finale A"
"Cedric Joly","K1H","87.86","-","124.44","Finale A"
"Samuel Lhegu","K1H","88.32","84.48","130.3","Finale A"
"Mathurin Madore","K1H","89.85","82.37","149.8","Finale A"
"Theo Quenouillere","K1H","91.22","141.17","167.26","Finale A"
"Johann Loiseau","K1H","94.4","179.4","207.79","Finale A"
"Anthony Drouhin","K1H","94.53","218.83","209.44","Finale A"
"Quentin Lejeune","K1H","96.79","327.2","238.24","Finale A"
"Melaine Pichard","K1H","97.11","224.84","242.32","Finale A"
"Frederic Castryck","K1H","97.69","266.42","249.71","Finale A"
"Guillaume De Fierville","K1H","99.94","267.46","278.39","Finale A"
"Simon Seuru","K1H","100.4","284.54","284.25","Finale A"
"Ludovic Le Cointre","K1H","100.97","342.85","291.51","Finale A"
"Jeanmichel Regnier","K1H","101.72","246.55","301.07","Finale A"
"Julien Dosse","K1H","104.06","248.31","330.89","Finale A"
"Paul Guegan","K1H","105.7","533.47","351.79","Finale A"
"Arthur Chaumet","K1H","105.9","270.84","354.34","Finale A"
"Stephane Debliquy","K1H","106.13","340.82","357.27","Finale A"
"Hugo Regnier","K1H","107.59","292.84","375.88","Finale A"
"Samuel Le Dean","K1H","109.88","514.9","405.06","Finale A"
"Samuel Flament","K1H","109.89","368.39","405.19","Finale A"
"Arthur Mizzi","K1H","109.96","388.07","406.08","Finale A"
"Stephane Debliquy","C1H","121.88","-","489.03","Finale B"
"Simon Seuru","C1H","123.12","-","504.08","Finale B"
"Thomas Salch","C1H","126.63","726.26","546.68","Finale B"
"Youenn Peloil","C1H","127.12","-","552.63","Finale B"
"Nathanael Pedron","C1H","139.08","-","697.79","Finale B"
"Arthur Mizzi","C1H","Abs","-","-","Finale B"
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","130.85","360.03","399.38","Finale B"
"Camille Grasland-Nathan Leretrif","C2M","142.96","585.27","527.98","Finale B"
"Alice Azam-Nathanael Pedron","C2M","144.06","-","539.67","Finale B"
"Marie-francoise Prigent","K1D","120.38","353.89","367.38","Finale B"
"Thiphaine Ruellan","K1D","121.08","382.04","375.27","Finale B"
"Camille Grasland","K1D","128.75","444.26","461.78","Finale B"
"Maxime Jean","K1H","102.32","350.82","313.72","Finale B"
"Leri Muller","K1H","106.16","-","362.66","Finale B"
"Brice Merienne","K1H","108.58","-","393.5","Finale B"
"Matthieu Le Bris","K1H","110.41","-","416.82","Finale B"
"Thibault Gautherot","K1H","110.43","407.22","417.07","Finale B"
"Nathan Leretrif","K1H","111.68","444.55","433","Finale B"
"Nathanael Pedron","K1H","112.27","572.39","440.52","Finale B"
"Denis Voisin","K1H","115.7","-","484.23","Finale B"
"Fabien Dulyse","K1H","116.92","-","499.78","Finale B"
"Leo Paillat","K1H","117.01","540.26","500.93","Finale B"
"Yannick Faguet","K1H","117.59","521.87","508.32","Finale B"
"Charles Temple","K1H","118.96","656.07","525.78","Finale B"
"Pierre-amaury Duclau","K1H","119.74","-","535.72","Finale B"
"Youenn Peloil","K1H","119.96","1088.04","538.52","Finale B"
"Aubin Davaic","K1H","120.13","606.25","540.69","Finale B"
"Mathis Busnel","K1H","122.9","543.31","575.99","Finale B"
"Gaston Canevet","K1H","123.61","-","585.04","Finale B"
"Loan Queffelec","K1H","124.09","-","591.16","Finale B"
"Fabiano Roma","K1H","142.44","-","825.01","Finale B"
"Ewen Ferey","K1H","153.82","-","970.04","Finale B"
"Cyrille Lacroix","K1H","163.73","-","1096.33","Finale B"
"Geoffrey Lebret","K1H","Abs","-","-","Finale B"
