"Championnat de France Slalom par Equipe de Clubs - Stade D'eau Vive De L'argentière La Bessée - Championnat de France Slalom par Equipe de Clubs - 2015-07-12","Championnat de France Slalom par Equipe de Clubs","2015-07-12","Championnats de France","127"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alexandre Paulais-Kilian Foulon-Henri Despont","EC1","102.76","-","3000",""
"Thomas Levert-Denis Gargaud-Pierre Labarelle","EC1","106.84","-","2853",""
"Baptiste Le Poncin-Simon Le Friec-Jonathan Marc","EC1","107.01","-","2706",""
"Jean Freri-Erwan Marchais-Nicolas Scianimanico","EC1","108.27","-","2559",""
"Julian Othenin-girard-Antoine Runet-Marc Biazizzo","EC1","110.69","-","2412",""
"Thibaud Vielliard-Bastien Damiens-Martin Rohaut","EC1","113.47","-","2265",""
"Medhi Deguil-Liam Jegou-Simon Werro","EC1","114.85","-","2118",""
"Fabien Tournadre-Charly Chassigneux-Paul Tallet Pinet","EC1","115.65","-","1971",""
"Mathieu Fougere-Stephane Abadie-Sebastien De Kerleau","EC1","117.68","-","1824",""
"Hugo Latimier-Paul Aubertin-Eludes Houillon","EC1","120.21","-","500",""
"Camille Prigent-Jules Chaumet-Johann Loiseau","EC1","121.44","-","1529",""
"ISSAM CHAKIR-THEO LEFETEY-TOM MAFFEIS","EC1","121.69","-","1382",""
"David Besancon-Philippe Thevenin-Simon Clerc","EC1","127.57","-","1235",""
"Lorin Dumont-Lucas Hives - Sorin-Ludovic Roye","EC1","128.12","-","1088",""
"CHRISTIAN BOOB-FREDERIC BOOB-PHILIPPE NIQUET","EC1","133.94","-","941",""
"Arthur Mizzi-Nicolas Bernardy-Hugo Robin","EC1","135.98","-","500",""
"Teddy Poulard-Guillaume Doutreix-Jeremy Bretteville","EC1","150.02","-","647",""
"Nicolas Gallais-Antonin Dreit-Loric Bertrand Delorme","EC1","765.23","-","500",""
"Claude Menissier-Frederic Momot-Jean Philippe Winiarski","EC2","128.4","-","3000",""
"Alexis Collin-Vincent Ganthier-Damien Ganthier","EC2","140.01","-","2167",""
"Alexandre Dupas-Benjamin Thouvignon-Nathan Rene Corail","EC2","145.43","-","1333",""
"Patrick Gass-Martin Daviet-Guillaume Goury","EC2","219.85","-","500",""
"Flora Huvelin-Carole Bouzidi-Pauline Guiet","EKD","114.96","-","3000",""
"Marianne Agulhon-Solene Graille-Caroline Loir","EKD","117.88","-","500",""
"Laurine Naveau-Claire Landrin-Josepha Longa","EKD","119.48","-","2722",""
"Elise Pierron-Claire Gaigeot-Lea Gaigeot","EKD","119.89","-","2583",""
"Alixe Degremont-Romane Prigent-Natacha Delassus","EKD","121.46","-","500",""
"Oceane Vienet-Jihane Samlal-Emilie Lhomme","EKD","121.8","-","2306",""
"Sabine Olla-Viviana Daille-Clementine Geoffray","EKD","128.32","-","2167",""
"Heloise Geffray-Estelle Hellard-Marine Leveque","EKD","128.85","-","2028",""
"Laura Rocher-Nouria Newman-Tiphanie Borlet","EKD","129.95","-","1889",""
"Astrid Coste-Lisa Mouffle-Marjorie Delassus","EKD","130.8","-","500",""
"Lisa Robin-Lucie Cecile-Eva Dauvergne","EKD","131.05","-","1611",""
"CAROLINE BOURRY-EMELINE OUDET-RAPHAELLE HOVINE","EKD","134.86","-","1472",""
"Mana Thomas-Julie Labarelle-Clara Gache","EKD","135.57","-","1333",""
"Maela Le Corre-Zoe Huet-Enora Bronsard","EKD","135.61","-","1194",""
"Auregane Philip-Thais Francois-Julie Munch","EKD","136.27","-","1056",""
"AXELLE ARMANINI-ALICIA GALLOT-ATHENAIS REBY","EKD","139.33","-","917",""
"EMILIE CHAMOULEAU-JUSTINE LORIN-AMELIE PERIER","EKD","141.92","-","778",""
"Eva Pietracha-Flora Bove-Elena Hugues","EKD","143.95","-","639",""
"Axelle Degremont-Oriane Guichet-Maud Sourbes","EKD","174.47","-","500",""
"Christophe Marechal-Janos Peterlin-Benjamin Buys","EKH","97.54","-","3000",""
"Titouan Dupras-Maxime Bottex-Etienne Daille","EKH","98.53","-","2971",""
"Pierre Bourliaud-Thomas Rosset-Benjamin Travostino","EKH","98.58","-","2941",""
"Enrick Cunsolo-Mathieu Doby-Emmanuel Walczak","EKH","99.64","-","2912",""
"Mathurin Madore-Vincent Ablin-Benoit Chantry","EKH","99.91","-","2882",""
"Pol Euzenes-Valentin Brindeau-Pol Oulhen","EKH","101.35","-","2853",""
"Mathieu Desnos-Thomas Bersinger-Tom Scianimanico","EKH","101.52","-","2824",""
"Benjamin Jacon-Nicolas Baudoin-Gurgen Brun","EKH","101.54","-","2794",""
"Antoine Launay-Pierre Giudicelli-Nicolas Labat","EKH","101.57","-","2765",""
"Romain Guyomard-Benoit Guillaume-Alan Dollo","EKH","101.73","-","2735",""
"Louison Turmeau-Thibault Marchand-Jonas Turmeau","EKH","101.92","-","2706",""
"Pierre Marie Roussel-Charlie Barbier-Quentin Burgi","EKH","102.83","-","2676",""
"Eric Lamour-Jules Bevalot-Benjamin Thiboust","EKH","103.84","-","2647",""
"Edgar Prigent-Guillaume Graille-Alexandre Lucas","EKH","103.94","-","500",""
"Charles Fernandes De Oliveira-Jonathan Chapatte-Kevin Schultz","EKH","104.86","-","500",""
"Martin Mottais-Goulwen Chapelier-Anthony Mottais","EKH","105.47","-","2559",""
"Sylvain Dandel-Renaud Doby-Alexandre Lismonde","EKH","106.16","-","2529",""
"Laurent Starck-Lukas Werro-Jeremias Schlaefli","EKH","106.3","-","2500",""
"Emilien Kempf-Silvere Desongins-Jerome Olhagaray","EKH","106.43","-","2471",""
"MALO QUEMENEUR-PIERRE HELLARD-MATHEO LEBAINDRE","EKH","106.7","-","2441",""
"LUCA DOS SANTOS-YANI FERHAOUI-ANTOINE SAUL","EKH","107.4","-","2412",""
"Manuel Savels-Morgan Le Friec-Nicolas Mignon","EKH","108.71","-","2382",""
"Sami Rocher-Nathan Flageul-Jeremy Lecollinet","EKH","109.11","-","2353",""
"Lucas Latimier-Lucas Galmiche-Erwan Rouch","EKH","109.21","-","2324",""
"Baptiste Tappero-Luc Doye-Benjamin Renia","EKH","109.31","-","2294",""
"Louis Philippe Rigal-Tom Barthelemy-Vincent Reiter","EKH","109.5","-","2265",""
"Allan Cousset-Edouard Lecomte-Antoine Dumaye","EKH","109.68","-","500",""
"Anthony Drouhin-Pierre Audouin-Julien Dosse","EKH","110.12","-","2206",""
"Armand Rakowski-Matthieu Le Gall-Valentin Vibert","EKH","110.31","-","2176",""
"Valentin Serrurier-Hugo Simon-Robin Pottelette","EKH","110.6","-","2147",""
"Lea Wetzel-Aubry Bertin-Thomas Schmitt","EKH","110.7","-","2118",""
"Sebastien Nouvel-Joey Bercon-Antoine Gaillard","EKH","112.48","-","500",""
"Denis Guilmard-Matthieu Chauvel-Gaetan Hamelin","EKH","112.48","-","2088",""
"Romain Lecrenais-perrel-Yves Prigent-Samuel Lhegu","EKH","113.74","-","500",""
"Alexandre Marin-Loic Bertoia-Candice Brondel","EKH","114.89","-","2029",""
"Maxence Merpillat-Raphael Lassechere-Alexis Dorey","EKH","114.89","-","500",""
"Leo Tasset-Youn Aubry-Alan Mahe","EKH","115.45","-","500",""
"Mathis Daniel-Dorian Ollivier-Alan Olivo","EKH","116.06","-","500",""
"Nicolas Mangeolle-Johan De Mareuil-Felix Jeanningros","EKH","116.81","-","1941",""
"Malo Poles-Ewen Legrand-Maxime Lignereux","EKH","117.44","-","500",""
"Hugo Regnier-Anais Bernardy-Agathe Chaumet","EKH","117.67","-","500",""
"Nicolas Caussanel-Hippolyte Cail-Olivier Cail","EKH","118.5","-","1853",""
"Lorenzo Py-Hugo Mouffle-Florent Iraundegui","EKH","118.65","-","500",""
"Melenn Aubry-Gwenael Marquer-Hugo Guilleray","EKH","118.78","-","500",""
"Remi Parayre-Manon Prioux-Antoine Roux","EKH","119.45","-","500",""
"Rozenn Le Page-Yves Bourhis-Ronan Gouzien","EKH","119.78","-","1735",""
"Theo Renaud-Herve Busson-Christophe Gergaud","EKH","120.12","-","1706",""
"Maxime Pilard-Robin Pilard-Matthieu Walfard","EKH","120.45","-","500",""
"Leo Peter-Simon Hene-Joris Schaffner","EKH","120.46","-","500",""
"Samuel Flament-Vivien Colober-Simon Seuru","EKH","121.12","-","1618",""
"Nicolas Dupres-Bertrand Avril-Quentin Mannier","EKH","121.45","-","1588",""
"Hugo Crepeau-Elsa Cailhol-Vincent Ardonceau","EKH","122.61","-","1559",""
"Yann Le Bourser-Nicolas Coudert-Yann Le Govic","EKH","122.85","-","1529",""
"Gael Prodeau-Aurelien Ballandras-Thibaut Perroteau","EKH","122.99","-","1500",""
"Jeremy Grippon-Nathan Aubert-Xavier Jourdain","EKH","123.51","-","1471",""
"Arthur Guillot-le Goff-Fabien De Almeida-Camille Fontaine","EKH","125.3","-","500",""
"Quentin Robin-Emeric Bussonnais-Benjamin Harreau","EKH","126.04","-","500",""
"Matteo Licoine-Coline Bertin-Thomas Girard","EKH","126.18","-","500",""
"Yann Becker-Arthur Favennec-Camille Hurez","EKH","127.86","-","500",""
"Nayl Tazi-sidqui-Kawan Thomas-Yann Tabone","EKH","127.88","-","1324",""
"Theo Rose-Hugo Philippe-Marion Grangeon","EKH","127.91","-","500",""
"Arthur Lagleyze-Julien Paulais-Tom Genest","EKH","128.41","-","500",""
"Sylviane Quemerais-Franck Delachair-Laurent Le Touze","EKH","128.85","-","500",""
"Jeanchristophe Laroque-Vincent Hannedouche-Mikael Maupin","EKH","128.97","-","500",""
"Thomas Descotes-Lucas Gillet-Guillaume Picavet","EKH","129.06","-","500",""
"Yohan Wantz-Vincent Morabito-Zelie Wendling","EKH","129.63","-","500",""
"Niels Beaumont-Nicolas Candieu-Simon Dubosc","EKH","130.22","-","500",""
"Pierre Guilchet-Lucie Bercon-Paul Gestin","EKH","130.82","-","1088",""
"Maxime Gaillard-Samuel Bonella-Paul Gaillard","EKH","131.4","-","1059",""
"Hugo Martin -laemle-Sebastien Routhier-Teo Bouvier","EKH","132.37","-","500",""
"Morgane Quemerais-Jean Malo Bailleul-Malo Legrand","EKH","133.24","-","500",""
"Gaetan Coat-Olivier Cain-Cindy Coat","EKH","134","-","971",""
"Theo Zilber-Emilie Delahaye-Adele Charlaigre","EKH","134.59","-","941",""
"Coline Charel-Angele Hug-Jean Philippe Roche","EKH","135.61","-","912",""
"Anthony Roux-Mathieu Minie-Yanis Rainaud","EKH","137.64","-","882",""
"Mathieu Lions-Marion Delorme-Cyril Audoit","EKH","138.64","-","853",""
"Lucie Robin-Andreas Dupuy-Aaron Penning","EKH","138.95","-","500",""
"Romain Gayral-Paul Cornut-chauvinc-Nicolas Eymaron","EKH","141.61","-","500",""
"Dyclan Plessis-Maeva Auriol-Loic Thielen","EKH","142.44","-","765",""
"Louis Prezeau-Lucas Jacob-Benoit Guernic","EKH","151.33","-","500",""
"Tom Suteau-Loann Le Guyader-Vincent Laclide","EKH","186.15","-","706",""
"Enzo Briffa-Hugo Andre-Julie Fauroux","EKH","194.63","-","500",""
"Philippe Rocher-Loic Augereau-Erwan Desbordes","EKH","203.12","-","500",""
"Nathanael Pedron-Alice Azam-Gaston Canevet","EKH","222.92","-","500",""
"Benoit Letellier-Catherine Boulan-Mehdi Rouich","EKH","282.05","-","588",""
"Florent Dubois-Ilhame Siraj-Baptiste Nanet","EKH","365.82","-","500",""
