"Sélectif Régional de slalom - Sev L'argentiere La Bessee - Course n°2 | Finale","Sev L'argentiere La Bessee","Course n°2 | Finale","finale","2015-09-20","Régional","126"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Annaelle Meheut","C1D","92.96","131.11","165.11","finale a"
"Laura Ligeon","C1D","94.37","208.33","182.45","finale a"
"Angele Hug","C1D","111.08","319.17","388.04","finale a"
"Marion Delorme","C1D","158.59","344.4","972.56","finale a"
"Elena Hugues","C1DM","113.66","-","419.78","finale a"
"Eloi Seemann","C1H","85.17","-","218.96","finale a"
"Yann Rivallant","C1H","86.02","162.15","230.91","finale a"
"Armand Rakowski","C1H","87.01","223.49","244.83","finale a"
"Thomas Levert","C1H","90.32","231.79","291.37","finale a"
"Baptiste Tappero","C1H","91.99","239.15","314.85","finale a"
"Baptiste Granger","C1H","94.21","-","346.07","finale a"
"Etienne Klatt","C1H","99.16","335.86","415.67","finale a"
"Hugo Andre","C1H","101.09","340.09","442.81","finale a"
"Maxime Kabir","C1HM","98.85","-","411.31","finale a"
"Adrien Fischer","C1HM","101.52","-","448.85","finale a"
"Enzo Guillarme","C1HM","120.77","-","719.53","finale a"
"Simon Del Negro","C1HM","145.32","-","1064.72","finale a"
"Antonin Dustou","C1HM","192.07","-","1722.07","finale a"
"Marie Juquelier-Lea Ferraris","C2DM","196.42","-","1252.1","finale a"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","92.99","284.03","269.48","finale a"
"Baptiste Tappero-Dimitri Durannot","C2H","101.82","365.84","388.0","finale a"
"Simon Del Negro-Enzo Guillarme","C2HM","130.75","-","776.29","finale a"
"Ronan Cordier-Julie Labarelle","C2M","106.0","275.04","325.54","finale a"
"Valentin Vibert-Laura Rocher","C2M","113.21","-","414.25","finale a"
"Annaelle Meheut","K1D","87.73","145.74","167.62","finale a"
"Julie Labarelle","K1D","89.14","131.87","186.05","finale a"
"Laura Rocher","K1D","95.32","201.91","266.79","finale a"
"Angele Hug","K1D","95.66","269.65","271.23","finale a"
"Marion Delorme","K1D","96.05","291.97","276.33","finale a"
"Meryl Steinmann","K1D","97.54","381.05","295.8","finale a"
"Charlotte Issagarre","K1D","98.62","318.24","309.91","finale a"
"Lou Lombard","K1D","113.21","-","500.53","finale a"
"Elena Hugues","K1DM","98.25","-","305.07","finale a"
"Eva Pietracha","K1DM","99.65","-","323.36","finale a"
"Lea Ferraris","K1DM","105.1","-","394.57","finale a"
"Marie Juquelier","K1DM","108.81","-","443.04","finale a"
"Marion Pasquali","K1DM","110.37","-","463.42","finale a"
"Loic Bertoia","K1H","80.86","165.25","215.21","finale a"
"Alexandre Lismonde","K1H","83.9","230.61","260.09","finale a"
"Bertrand Bercon","K1H","84.44","241.87","268.06","finale a"
"Baptiste Granger","K1H","84.5","209.09","268.95","finale a"
"Baptiste Tappero","K1H","84.72","322.36","272.19","finale a"
"Valentin Vibert","K1H","85.1","246.32","277.8","finale a"
"Armand Rakowski","K1H","85.24","293.19","279.87","finale a"
"Emeric Vibert","K1H","86.38","271.28","296.7","finale a"
"Pierre Grapotte","K1H","86.59","326.47","299.8","finale a"
"Jules Cresp","K1H","86.68","313.26","301.13","finale a"
"Kawan Thomas","K1H","86.75","308.5","302.16","finale a"
"Laurent Poncelet","K1H","88.23","-","324.02","finale a"
"Hugo Andre","K1H","88.77","330.04","331.99","finale a"
"Mahe Dersoir","K1H","89.01","344.11","335.53","finale a"
"Teo Bouvier","K1H","89.05","390.56","336.12","finale a"
"Matteo Licoine","K1H","90.05","384.08","350.89","finale a"
"Sebastien Routhier","K1H","90.26","341.85","353.99","finale a"
"Quentin Duhamel","K1H","90.68","373.13","360.19","finale a"
"Jules Silvin","K1H","90.86","304.52","362.84","finale a"
"Ronan Cordier","K1H","91.65","350.58","374.51","finale a"
"Jean Baptiste Lismonde","K1H","92.33","420.76","384.55","finale a"
"Francis Gaillard","K1H","92.57","-","388.09","finale a"
"Paul Roubaud","K1H","93.11","433.67","396.06","finale a"
"Pierre Louis Debuigne","K1H","93.2","460.25","397.39","finale a"
"Yann Tabone","K1H","93.56","414.38","402.71","finale a"
"Thomas Courtois","K1H","94.77","457.9","420.57","finale a"
"Thomas Thieblemont","K1H","139.52","312.94","1081.26","finale a"
"Mathieu Lions","K1H","140.0","324.23","1088.34","finale a"
"Adrien Fischer","K1HM","90.94","-","364.03","finale a"
"Gael Adisson","K1HM","91.14","419.18","366.98","finale a"
"Gawaine Chikh","K1HM","91.5","-","372.29","finale a"
"Alexandre Goujon","K1HM","98.33","-","473.13","finale a"
"Maxime Melmont","K1HM","102.56","-","535.58","finale a"
"Francis Gaillard","C1H","98.93","454.79","417.44","finale b"
"Jules Silvin","C1H","101.6","514.08","454.98","finale b"
"Lucas Di Martino","C1H","103.0","369.79","474.66","finale b"
"Thomas Thieblemont","C1H","105.46","452.45","509.25","finale b"
"Kawan Thomas","C1H","108.13","520.4","546.8","finale b"
"Paul Gaillard","C1H","119.92","530.61","712.58","finale b"
"Alexis Mercoirol","C1H","212.54","398.24","2014.89","finale b"
"Teo Bouvier-Hugo Martin -laemle","C2H","116.91","-","595.53","finale b"
"Pierre Courtois-Enzo Briffa","C2H","133.31","1189.43","815.65","finale b"
"Julie Fauroux","K1D","101.3","342.22","349.92","finale b"
"Lucie Adisson","K1D","105.83","388.86","409.11","finale b"
"Tiphanie Le Gall","K1D","106.2","451.54","413.94","finale b"
"Lorene Scalbert","K1D","119.99","430.79","594.12","finale b"
"Emma Vieira Coelha","K1D","121.01","429.82","607.43","finale b"
"Laurine Grandadam","K1D","123.19","-","635.93","finale b"
"Juliette Ribault","K1D","123.34","568.03","637.88","finale b"
"Amandine CrÉgut","K1D","184.33","1157.2","1434.74","finale b"
"Louane Chenal","K1DM","102.57","-","366.51","finale b"
"Camille Berson","K1DM","118.61","-","576.09","finale b"
"Mila Vikroff","K1DM","199.9","-","1638.17","finale b"
"Elke Saragas","K1DM","212.73","-","1805.8","finale b"
"Clara Jannic","K1DM","319.71","-","3203.53","finale b"
"Dimitri Durannot","K1H","85.97","237.03","295.65","finale b"
"Nayl Tazi-sidqui","K1H","91.29","416.57","374.19","finale b"
"Cyril Audoit","K1H","91.96","368.66","384.08","finale b"
"Aurelien Fualdes","K1H","92.04","-","385.27","finale b"
"Mikael Clanchin","K1H","92.31","412.66","389.25","finale b"
"Hugo Polard","K1H","96.94","505.64","457.61","finale b"
"Antoni Zaki","K1H","100.37","406.51","508.25","finale b"
