"Sélectif Régional de slalom - Bassin Epinal - Course n°2 | Qualification - 2015-09-27","Course n°2 | Qualification","2015-09-27","Régional","228"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Fanchon Janssen","C1D","108.95","185.19","185.99",""
"Anne-lise Moisan-ehrwein","C1D","109.45","170.79","191.23",""
"Claire Gaigeot","C1D","119.32","413.28","294.6",""
"Lea Gaigeot","C1D","121","368.81","312.2",""
"Julia Budzinski","C1D","121.56","343.79","318.07",""
"Tifenn Primet","C1D","123.67","434.33","340.16",""
"Elise Pierron","C1D","124.87","378.32","352.73",""
"Athenais Reby","C1D","126.34","392.43","368.13",""
"Viviana Daille","C1D","137.3","455","482.93",""
"Marine Constant-haldric","C1D","138.73","691.43","497.9",""
"Emma Vaubourg","C1D","142.03","-","532.46",""
"Sophie Staudt","C1D","144.46","-","557.91",""
"Julie Rufet","C1D","157.24","836.59","691.77",""
"Sarah Rothenbuhler","C1D","183.41","671.04","965.88",""
"Justine Clerc","C1D","196.62","-","1104.24",""
"Alexane Galmiche","C1D","Abs","-","-",""
"Margot Perrin","C1DM","192.95","-","1065.8",""
"Jeanne Bernard","C1DM","Des","-","-",""
"Mathieu Doby","C1H","101.23","-","256.6",""
"Julian Othenin-girard","C1H","101.61","181","261.15",""
"Thibault Blaise","C1H","102.14","85.14","267.49",""
"Antoine Runet","C1H","102.42","69.88","270.84",""
"Martin Daviet","C1H","104.65","215.15","297.54",""
"Christophe Despres","C1H","104.73","311.95","298.5",""
"Eludes Houillon","C1H","106.46","319.3","319.2",""
"Guillaume Goury","C1H","106.93","335.91","324.83",""
"Philippe Thevenin","C1H","107.21","265.41","328.18",""
"Christopher Lucas","C1H","108.63","249.89","345.18",""
"Hugo Latimier","C1H","108.94","304.64","348.88",""
"Jan Pischek","C1H","108.98","277.39","349.36",""
"Marcantoine Hacquart","C1H","110.37","265.23","366",""
"Emmanuel Walczak","C1H","110.82","313.69","371.39",""
"Julien Gaspard","C1H","110.87","-","371.99",""
"Alexis Collin","C1H","111.09","356.33","374.62",""
"Paul Aubertin","C1H","111.26","369.51","376.66",""
"Vincent Ganthier","C1H","111.36","342.05","377.86",""
"Antonin Dreit","C1H","111.77","425.28","382.77",""
"Guillaume Picavet","C1H","112.27","352.8","388.75",""
"David Besancon","C1H","112.84","384.57","395.58",""
"Jimmy Besson","C1H","114.54","417.25","415.93",""
"Clement Travert","C1H","114.65","-","417.23",""
"Jules Bernardet","C1H","115.44","320.29","426.7",""
"Silvere Desongins","C1H","119.81","329.62","479.01",""
"Yann Becker","C1H","120.57","633.66","488.11",""
"Bastien Caillet","C1H","122.54","561.95","511.69",""
"Lucas Galmiche","C1H","122.93","-","516.35",""
"Anthony Giurlando","C1H","125.22","565.52","543.76",""
"Erwan Rouch","C1H","126.5","716.9","559.08",""
"Victor Hennin","C1H","126.8","609.4","562.68",""
"Baptiste Nanet","C1H","128.13","575.9","578.6",""
"Loric Bertrand Delorme","C1H","131.05","678.03","613.56",""
"Vincent Idriss Achaoui","C1H","133.07","-","637.73",""
"Hugo Simon","C1H","133.12","611.96","638.33",""
"Alexis Pacholak","C1H","134.56","-","655.56",""
"Nicolas Gallais","C1H","137.84","804.58","694.83",""
"Anthony Rouhier","C1H","140.42","861.79","725.71",""
"Felix Jeanningros","C1H","140.5","-","726.67",""
"Jules Andrien","C1H","151.29","1794.33","855.83",""
"Pierre Biagui","C1H","152.55","-","870.91",""
"Herve Chevrier","C1H","Abs","-","-",""
"Gauthier Klauss","C1H","Abs","-","-",""
"Charles Fernandes De Oliveira","C1H","Abs","-","-",""
"Arthur Favennec","C1H","Des","-","-",""
"Valentin Serrurier","C1H","Abs","-","-",""
"Thomas Denais","C1H","Abs","-","-",""
"Yohan Wantz","C1H","Abs","-","-",""
"Marc Biazizzo","C1H","Abs","-","-",""
"Thomas L'huillier","C1HM","111.01","-","373.67",""
"Marvin Tulpin","C1HM","127.41","-","569.98",""
"Jules Vonderscher","C1HM","128.25","-","580.04",""
"Guerlain Robin","C1HM","133.74","-","645.74",""
"Camille Hurez-Marine Constant-haldric","C2D","146.94","-","465.51",""
"Yoan Del Rey-Arthur Grandemange","C2H","108.27","-","281.96",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","110.25","299.98","304.58",""
"Lucas Latimier-Robin Pottelette","C2H","111.17","-","315.1",""
"Alexis Collin-Alexandre Mathis","C2H","114.34","356.49","351.31",""
"Philippe Thevenin-Olivier Urbain","C2H","115.14","410.82","360.46",""
"Hugo Latimier-Eludes Houillon","C2H","115.21","439.15","361.25",""
"Thomas Descotes-Baptiste Nanet","C2H","131.45","1395.2","546.82",""
"Yann Becker-Vincent Idriss Achaoui","C2H","131.53","-","547.73",""
"Arthur Favennec-Felix Jeanningros","C2H","136.22","-","601.31",""
"Nicolas Gallais-Loric Bertrand Delorme","C2H","147.64","826.87","731.8",""
"Vincent Ganthier-Damien Ganthier","C2H","Abs","-","-",""
"Thomas L'huillier-Bastien Caillet","C2H","Des","-","-",""
"Valentin Serrurier-Hugo Simon","C2H","Abs","-","-",""
"Vincent Morabito-Yohan Wantz","C2H","Abs","-","-",""
"Thibault Blaise-Charlotte Lubineau","C2M","114.79","290.89","247.16",""
"Manon Durand-Emmanuel Walczak","C2M","120.55","-","307.48",""
"Sophie Colbus-Johann Thevenin","C2M","124.6","446.81","349.9",""
"Christine Poix-Emmanuel Del Rey","C2M","127.38","424.26","379.02",""
"Matthieu Walfard-Gaelle Delaborde","C2M","133.64","-","444.59",""
"Jade Robin-Robin Pottelette","C2M","138.03","-","490.57",""
"Julien Gaspard-Nathalie Latimier Ragot","C2M","145.63","-","570.17",""
"Gaelle Aumer-Olivier Urbain","C2M","156.71","-","686.23",""
"Matthieu Peche-Angelique Guilcher","C2M","Abs","-","-",""
"Marc Biazizzo-Anne-lise Moisan-ehrwein","C2M","Abs","-","-",""
"Anneline Triomphe","K1D","104.15","135.27","203.29",""
"Angelique Guilcher","K1D","106.37","197.48","227.98",""
"Manon Durand","K1D","108.21","218.5","248.45",""
"Claire Gaigeot","K1D","109.15","114.4","258.9",""
"Fanchon Janssen","K1D","110.09","176.25","269.36",""
"Elise Pierron","K1D","111.06","134.8","280.15",""
"Viviana Daille","K1D","111.14","217.25","281.04",""
"Lea Gaigeot","K1D","111.69","139.45","287.16",""
"Axelle Armanini","K1D","114.61","214.97","319.64",""
