"Sélectif Régional de slalom - Itxassou - Club Urtipula - Barage Edf - Finale","Itxassou - Club Urtipula - Barage Edf","Finale","finale","2015-10-11","Régional","117"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Cecile Tixier","C1D","120.66","105.59","183.01","finale a"
"Maud Sourbes","C1D","146.33","428.84","441.23","finale a"
"Oriane Guichet","C1D","150.16","611.34","479.75","finale a"
"Julie Paris","C1D","152.3","486.71","501.29","finale a"
"Yann Le Pennec","C1H","108.47","202.58","216.27","finale a"
"Addwyn Martinez","C1H","111.73","293.41","253.75","finale a"
"Dominik Gosset","C1H","113.79","314.72","277.42","finale a"
"Pierre Gelle","C1H","115.11","226.53","292.6","finale a"
"Mathias Rodrigues","C1H","115.16","329.73","293.17","finale a"
"Alexandre Lucas","C1H","117.98","329.95","325.59","finale a"
"Valentin Courtiade","C1HM","127.95","-","440.21","finale a"
"Anatole Delassus","C1HM","128.87","-","450.78","finale a"
"Marc Sarramea","C1HM","141.26","-","593.22","finale a"
"Gauthier Beyneix","C1HM","194.28","-","1202.75","finale a"
"Clarisse Hoogland-Jeanne Pecot","C2D","216.89","-","983.17","finale a"
"Louis Midy-Hippolyte Cail","C2H","132.41","-","422.29","finale a"
"Paul Pradalie-Alice Pradalie","C2M","264.0","-","1624.89","finale a"
"Arthur Accini-Solene Lafitte","C2MM","186.58","-","846.1","finale a"
"Simon Metra-Elorri Erdois","C2MM","245.38","-","1437.58","finale a"
"Cecile Tixier","K1D","110.31","146.2","147.64","finale a"
"Lisa Mouffle","K1D","110.89","112.45","153.83","finale a"
"Alixe Degremont","K1D","117.1","230.06","220.17","finale a"
"Marianne Agulhon","K1D","119.96","-","250.72","finale a"
"Marine Izac","K1D","120.54","318.22","256.92","finale a"
"Maud Sourbes","K1D","123.8","301.31","291.75","finale a"
"Oriane Guichet","K1D","124.76","329.63","302.0","finale a"
"Julie Paris","K1D","137.42","392.63","437.24","finale a"
"Axelle Degremont","K1D","142.37","411.54","490.11","finale a"
"Elorri Erdois","K1DM","127.86","-","335.11","finale a"
"Emma Angladette","K1DM","148.22","-","552.6","finale a"
"Lea Baldoni","K1DM","255.47","-","1698.28","finale a"
"Maxime Tilhet","K1H","97.22","146.26","142.82","finale a"
"Quentin Mignard","K1H","99.35","96.1","168.53","finale a"
"Jonas Turmeau","K1H","100.55","78.3","183.01","finale a"
"Alexandre Lucas","K1H","101.59","119.25","195.57","finale a"
"Pierre-louis Saussereau","K1H","101.89","236.24","199.19","finale a"
"Florian Campagnole","K1H","102.2","157.77","202.93","finale a"
"Theo Celjo","K1H","103.12","178.74","214.03","finale a"
"Allan Cousset","K1H","103.85","227.76","222.85","finale a"
"Paul Commenges","K1H","104.63","228.21","232.26","finale a"
"Edouard Lecomte","K1H","104.76","223.14","233.83","finale a"
"Bertrand Gourrat","K1H","106.75","191.78","257.85","finale a"
"Yann Le Pennec","K1H","106.87","231.77","259.3","finale a"
"Julien Dekarczyk","K1H","107.97","165.46","272.58","finale a"
"Hugo Mouffle","K1H","108.97","259.63","284.65","finale a"
"Hugo Crepeau","K1H","111.8","203.94","318.81","finale a"
"Luc Sarramea","K1H","112.39","335.27","325.93","finale a"
"Sebastien Martel","K1H","112.39","345.52","325.93","finale a"
"Paul Pradalie","K1H","113.38","315.02","337.88","finale a"
"Raoul Colin","K1H","113.82","-","343.19","finale a"
"Sebastien Mouyen Bie","K1H","113.94","-","344.64","finale a"
"Marc Cordier","K1H","114.74","339.15","354.3","finale a"
"Nicolas Corbin","K1H","115.03","323.97","357.8","finale a"
"Jean Christophe Erdois","K1H","115.59","309.04","364.56","finale a"
"Bastien Daniel","K1H","117.58","353.09","388.58","finale a"
"Marc Lalande","K1H","118.07","417.52","394.5","finale a"
