"Sélectif Régional de slalom - Villersexel - Finale - 2015-10-11","Finale","2015-10-11","Régional","76"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Elodie Delavelle","C1D","116.69","477.92","353.36","Finale A"
"Celia Grandadam","C1D","129.66","525.34","498.92","Finale A"
"Clotilde Lecoester","C1D","137.81","-","590.39","Finale A"
"Sarah Rothenbuhler","C1D","153.73","722.25","769.04","Finale A"
"Philippe Thevenin","C1H","103.08","265.41","365.88","Finale A"
"Olivier Urbain","C1H","104.92","389.85","389.48","Finale A"
"Claude Menissier","C1H","109.84","-","452.59","Finale A"
"Benoit Lecoester","C1H","114.18","460.38","508.25","Finale A"
"Dyclan Plessis","C1H","116.04","720.39","532.1","Finale A"
"Irenee Jaujay","C1HM","125.44","-","652.67","Finale A"
"Titouan Auriol","C1HM","127.42","-","678.06","Finale A"
"Manon Bucher-Manon Louis","C2D","185.36","-","964","Finale A"
"Philippe Thevenin-Patrick Thevenin","C2H","109.31","370.25","382.06","Finale A"
"Claude Menissier-Gerard Menissier","C2H","112.19","360.23","417.32","Finale A"
"Pierre Carisey-Julien Carisey","C2H","128.77","-","620.31","Finale A"
"Charles Billon-Dyclan Plessis","C2H","130.26","-","638.55","Finale A"
"Christophe Billaud-Elodie Delavelle","C2M","116.23","381.42","348.2","Finale A"
"Brigitte Marechal-Philippe Thevenin","C2M","122.91","-","423.17","Finale A"
"Gaelle Aumer-Olivier Urbain","C2M","156.54","707.93","800.58","Finale A"
"Elodie Delavelle","K1D","105.56","263.81","301.84","Finale A"
"Mylene Renaud","K1D","106.25","-","310.07","Finale A"
"Floriane Carisey","K1D","108.55","-","337.48","Finale A"
"Brigitte Marechal","K1D","114.88","386.04","412.92","Finale A"
"Clotilde Lecoester","K1D","118.8","521.31","459.64","Finale A"
"Estelle Mayer","K1D","137.16","601.43","678.45","Finale A"
"Jeanne Gaschler","K1DM","143.35","-","-","Finale A"
"Benoit Lecoester","K1H","92.64","253.56","291.39","Finale A"
"Olivier Urbain","K1H","93.63","305.97","304.73","Finale A"
"Patrice Campioni","K1H","94.3","296.9","313.75","Finale A"
"Simon Hene","K1H","94.96","261.1","322.64","Finale A"
"Romain Viry","K1H","95.84","289.88","334.49","Finale A"
"Christophe Dalla-zuana","K1H","97.62","280.57","358.46","Finale A"
"Christophe Billaud","K1H","99.09","333.24","378.26","Finale A"
"Hugo Gondeaux","K1H","101.25","513.18","407.34","Finale A"
"Dyclan Plessis","K1H","102.13","398.18","419.19","Finale A"
"Jean Guyot","K1H","102.94","498.84","430.1","Finale A"
"Augustin Jaujay","K1H","103.13","494.61","432.66","Finale A"
"Eddy Cassard","K1H","103.22","355.2","433.87","Finale A"
"Alexis Pacholak","K1H","103.73","397.78","440.74","Finale A"
"Yael Leleu","K1H","103.8","-","441.68","Finale A"
"Julien Carisey","K1H","104.76","-","454.61","Finale A"
"Pierre Carisey","K1H","106.78","-","481.82","Finale A"
"Titouan Auriol","K1HM","106.57","502.69","478.99","Finale A"
"Irenee Jaujay","K1HM","114.08","-","580.13","Finale A"
"Matthew Vuillard","K1HM","125.9","-","-","Finale A"
"Luc Primet","K1HM","132.3","-","-","Finale A"
"Jonathan Ferreira","K1HM","134.42","-","-","Finale A"
"CÉlestin Vernier","K1HM","141.82","-","-","Finale A"
"Gustave Wuhrlin","K1HM","142.78","-","-","Finale A"
"Luca Gabelli","K1HM","Abs","-","-","Finale A"
"Christophe Billaud","C1H","115.25","668.1","526.98","Finale B"
"Alexis Pacholak","C1H","122.31","625.83","617.53","Finale B"
"Simon Hene","C1H","124.56","-","646.39","Finale B"
"Eddy Cassard","C1H","127.16","-","679.73","Finale B"
"Celia Grandadam","K1D","106.75","335.15","321.02","Finale B"
"Maeva Auriol","K1D","119.97","542.39","478.57","Finale B"
"Orlane Gauchet","K1D","123.76","576.36","523.74","Finale B"
"Sarah Rothenbuhler","K1D","127.28","552.49","565.69","Finale B"
"Manon Bucher","K1D","132.63","-","629.46","Finale B"
"Manon Louis","K1D","156.05","1537.09","908.56","Finale B"
"Frederic Caillet","K1H","109.05","541.89","517.39","Finale B"
"Patrick Thevenin","K1H","111.17","541.26","545.94","Finale B"
"Gerard Menissier","K1H","114.18","-","586.47","Finale B"
"Come Champurney","K1H","115.71","663.22","607.08","Finale B"
"Nicolas Dinquer","K1H","117.71","-","634.01","Finale B"
"Alexandre Lambert","K1H","117.73","674.28","634.28","Finale B"
"Anthony Ferreira","K1H","122.51","-","698.65","Finale B"
"Clement Paviet","K1H","123.8","-","716.02","Finale B"
"Paul Leviste","K1H","125.36","-","737.03","Finale B"
"Simon Vernier","K1H","127.32","-","763.43","Finale B"
"Kevin Vienny","K1H","131.92","775.22","825.38","Finale B"
"Lucas Madoz","K1H","132.8","-","837.23","Finale B"
"Charles Billon","K1H","134.54","-","860.66","Finale B"
"Ludovic Mazimann","K1H","143.31","1356.06","978.77","Finale B"
"Martin Liger","K1HM","173.79","-","-","Finale B"
"Luca Gabelli","K1HM","Abs","-","-","Finale B"
