"Compétition Régionale de Slalom - Parc Des Eaux Vives De Huningue - Course n°1 | Qualification - 2015-11-21","Course n°1 | Qualification","2015-11-21","Régional","234"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Azenor Philip","C1D","106.66","173.41","233.3",""
"Anna Wider","C1D","107.11","226.87","238.21",""
"Julia Budzinski","C1D","119.01","319.25","367.96",""
"Auregane Philip","C1D","128.28","408.76","469.04",""
"Thais Francois","C1D","134.74","464.48","539.47",""
"Anais Mouhoub","C1D","164.71","701.61","866.25",""
"Tifenn Primet","C1D","Abs","-","-",""
"Lolita Seguy","C1DM","140.51","-","-",""
"Eva Klipfel","C1DM","Abd","-","-",""
"Liam Jegou","C1H","91.01","100.54","204.43",""
"Alain Schirmann","C1H","97.34","-","283.31",""
"Philippe Thevenin","C1H","100.92","273.89","327.92",""
"Medhi Deguil","C1H","101.24","292.77","331.9",""
"Manuel Munsch","C1H","101.68","-","337.39",""
"Jules Bernardet","C1H","103.87","294.99","364.68",""
"Gilles Schweitzer","C1H","104.74","355.15","375.52",""
"David Besancon","C1H","114.95","354.1","502.74",""
"Simon Clerc","C1H","114.99","410.05","503.24",""
"Laurent Starck","C1H","116.01","-","515.96",""
"Antonin Dreit","C1H","120.73","396.95","574.77",""
"Jean-baptiste Wolff","C1H","125.43","-","633.34",""
"Vincent Idriss Achaoui","C1H","126.01","611.82","640.57",""
"Anthony Ulrich","C1H","133.54","-","734.4",""
"Loric Bertrand Delorme","C1H","142.77","636.54","849.41",""
"Guilhem Douillet","C1H","143.08","-","853.28",""
"Nicolas Gallais","C1H","148.47","713.27","920.45",""
"Antoine Esseric","C1H","148.93","750.15","926.18",""
"Jean Marc Trenchant","C1H","159.24","372.53","1054.65",""
"Nikolas Stanik","C1H","165.64","-","1134.4",""
"Alexis Pacholak","C1H","180.08","614.09","1314.35",""
"Maxime Bottex","C1H","Abs","-","-",""
"Kyle Gelb","C1H","Abd","-","-",""
"Gaetan Gaudissard","C1H","Abs","-","-",""
"Alexis Caspar","C1H","Abs","-","-",""
"Benjamin Hene","C1H","Abs","-","-",""
"Eliot Wendling","C1H","Abs","-","-",""
"Patrice Campioni","C1H","Abs","-","-",""
"Olivier Urbain","C1H","Abs","-","-",""
"Leo Thomas","C1H","Abs","-","-",""
"Jerome Daille","C1H","Abs","-","-",""
"Paul Aubertin","C1H","Abs","-","-",""
"Jeancharles Reby","C1H","Abs","-","-",""
"Herve Chevrier","C1H","Abs","-","-",""
"Marcantoine Hacquart","C1H","Abs","-","-",""
"Thomas L'huillier","C1HM","110.69","360.22","449.66",""
"Loic Trenchant","C1HM","126.01","-","-",""
"Marvin Tulpin","C1HM","126.65","569.02","648.54",""
"Titouan Auriol","C1HM","152.02","-","964.68",""
"Bairaun Catteau","C1HM","177.98","-","1288.18",""
"Jean Charles Hacquart","C1HM","184.07","-","-",""
"Victor Henry","C1HM","261.54","-","2329.44",""
"Jules Vonderscher","C1HM","Abs","-","-",""
"Pierre-louis Gstalter","C1HM","Abd","-","-",""
"Axelle Armanini-Alicia Gallot","C2D","145.85","748.37","538.28",""
"Azenor Philip-Thais Francois","C2D","197.75","-","1060.64",""
"Julia Budzinski-Maude Dominique","C2D","330.15","-","2393.23",""
"Liam Jegou-Laurent Starck","C2H","111.74","-","399.46",""
"Gilles Schweitzer-Jean Marc Trenchant","C2H","117.87","395.93","472.38",""
"Philippe Thevenin-Olivier Urbain","C2H","122","394.22","521.49",""
"Alexis Collin-Alexandre Mathis","C2H","124.07","345.75","546.12",""
"Jean-baptiste Wolff-Charlie Barbier","C2H","131.33","-","632.47",""
"GÉrÔme Martin-Nicolas Vuille","C2H","149.74","-","851.45",""
"Yann Becker-Vincent Idriss Achaoui","C2H","156.17","951.07","927.94",""
"Pierre Carisey-Julien Carisey","C2H","313.35","-","2797.56",""
"Philippe Thevenin-Patrick Thevenin","C2H","Abs","-","-",""
"Nathan Barbier-Maxime Di Lauro","C2H","Abs","-","-",""
"Charles Billon-Dyclan Plessis","C2H","Abd","-","-",""
"Valentin Serrurier-Hugo Simon","C2H","Abs","-","-",""
"Marvin Tulpin-Guerlain Robin","C2HM","155.39","-","918.67",""
"Simon Munch-Lars Bingert","C2HM","180.28","-","1214.72",""
"Bairaun Catteau-Louis Gasser","C2HM","Abd","-","-",""
"Arthur Zanco-Lois Pignon","C2HM","Abs","-","-",""
"Jean Charles Hacquart-Antoine Paumier","C2HM","Abs","-","-",""
"Maxime Aubertin-Jules Vonderscher","C2HM","Abs","-","-",""
"Vincent Idriss Achaoui-Camille Hurez","C2M","135.48","-","547.54",""
"Christophe Billaud-Elodie Delavelle","C2M","149.08","367.01","695.83",""
"Yann Becker-Marine Constant-haldric","C2M","Abs","-","-",""
"Anneline Triomphe","K1D","100.7","128.95","236.34",""
