"Championnat des Côtes d'Armor - Pont Querra - Finale - 2016-01-17","Finale","2016-01-17","Régional","109"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Margaux Henry","C1D","117.73","143.47","180.47","Finale A"
"Marine Leveque","C1D","127.08","219.54","274.45","Finale A"
"Morgane Quemerais","C1D","142.83","-","432.74","Finale A"
"Marion Grangeon","C1D","147.23","473.04","476.97","Finale A"
"Sylviane Quemerais","C1D","151.3","-","517.87","Finale A"
"Clara Grangeon","C1DM","162.76","-","633.05","Finale A"
"Baptiste Le Poncin","C1H","105.28","149.35","206.51","Finale A"
"Ewen Legrand","C1H","108.23","258.02","240.39","Finale A"
"Philippe Quemerais","C1H","110.14","203.37","262.32","Finale A"
"Luc Hellard","C1H","112.07","246.98","284.49","Finale A"
"Melenn Aubry","C1H","112.47","245.34","289.09","Finale A"
"Jean Malo Bailleul","C1H","114.65","301.49","314.13","Finale A"
"Ewen Berrest","C1HM","140.13","-","606.8","Finale A"
"Thomas Ollivo","C1HM","142.3","-","631.73","Finale A"
"Odran Reis","C1HM","153.79","-","763.71","Finale A"
"Elouan Le Fournis","C1HM","168.59","-","933.71","Finale A"
"Alan Mahe-Matheo Lebaindre","C2H","116.89","322.33","278.84","Finale A"
"Melenn Aubry-Alan Dollo","C2H","117.19","248.82","282.12","Finale A"
"Jean Malo Bailleul-Malo Legrand","C2H","124.84","360.65","366","Finale A"
"Nathan Flageul-Sami Rocher","C2H","133.49","440.23","460.84","Finale A"
"Estelle Hellard","K1D","105.42","72.05","122.38","Finale A"
"Marine Leveque","K1D","108.86","86.88","159.1","Finale A"
"Marion Grangeon","K1D","118.7","267.25","264.12","Finale A"
"Morgane Quemerais","K1D","120.57","245.09","284.08","Finale A"
"Christine Le Gall","K1D","127.74","324.76","360.61","Finale A"
"Emma Jacob","K1D","129.05","336.47","374.6","Finale A"
"Sylviane Quemerais","K1D","129.07","307.36","374.8","Finale A"
"Clara Grangeon","K1DM","142.62","-","519.42","Finale A"
"Alan Dollo","K1H","92.26","106.8","109.94","Finale A"
"Sami Rocher","K1H","93.68","80.35","127.06","Finale A"
"Jeremy Lecollinet","K1H","97.24","215.15","170","Finale A"
"Maxime Foucault","K1H","97.31","175.4","170.84","Finale A"
"Luc Hellard","K1H","97.66","154.03","175.07","Finale A"
"Ewen Legrand","K1H","98.25","98.6","182.18","Finale A"
"Pierre Hellard","K1H","98.82","83.14","189.06","Finale A"
"Matheo Lebaindre","K1H","98.92","199.35","190.26","Finale A"
"Alan Mahe","K1H","100.62","196.35","210.77","Finale A"
"Nathan Flageul","K1H","102.12","229.48","228.86","Finale A"
"Quentin Le Duc","K1H","102.65","232.75","235.25","Finale A"
"Youn Aubry","K1H","103.73","236.44","248.27","Finale A"
"Malo Legrand","K1H","104.06","265.62","252.25","Finale A"
"Clement Le Collinet","K1H","104.52","217.67","257.8","Finale A"
"Franck Delachair","K1H","107.42","237.83","292.78","Finale A"
"Lionel Tinevez","K1H","107.73","234.17","296.52","Finale A"
"Steven Henry","K1H","107.82","-","297.6","Finale A"
"Dorian Ollivier","K1H","108.33","266.96","303.75","Finale A"
"Christophe Le Mercier","K1H","110.35","-","328.12","Finale A"
"Regis Cabel","K1H","110.6","319.82","331.13","Finale A"
"Gwenael Marquer","K1H","110.6","251.58","331.13","Finale A"
"Leo Tasset","K1H","116.86","289.18","406.63","Finale A"
"Ewen Berrest","K1HM","121.39","-","461.27","Finale A"
"Simon Rolland","K1HM","130.07","-","565.95","Finale A"
"Gurvan Huet","K1HM","130.6","-","572.34","Finale A"
"Elouan Le Fournis","K1HM","131.21","-","579.7","Finale A"
"Daneric Ollivier","K1HM","131.97","-","588.87","Finale A"
"Yannis Houze","K1HM","131.99","-","589.11","Finale A"
"Louis Brocard","K1HM","135.77","-","634.7","Finale A"
"Thomas Ollivo","K1HM","138.51","-","667.74","Finale A"
"Kireg Le Pape","K1HM","139.48","-","679.44","Finale A"
"Odran Reis","K1HM","141.85","-","708.03","Finale A"
"Luck Thomas","K1HM","146.43","-","763.26","Finale A"
"Cesar Le Berder","K1HM","158.56","-","909.56","Finale A"
"Gwenole Noyalet","K1HM","187.07","-","1253.41","Finale A"
"Mael Monjaret","K1HM","190.26","-","1291.88","Finale A"
"Eva Maher","C1D","169.55","-","706.3","Finale B"
"Youn Aubry","C1H","117.9","371.02","356.46","Finale B"
"Regis Cabel","C1H","118.7","323.98","365.66","Finale B"
"Alan Mahe","C1H","120.5","-","386.33","Finale B"
"Steven Henry","C1H","123.55","-","421.36","Finale B"
"Gwenael Coadou","C1H","125.42","431.42","442.84","Finale B"
"Simon Rolland","C1HM","149.31","-","717.25","Finale B"
"Gurvan Huet","C1HM","157.03","-","805.92","Finale B"
"Yannis Houze","C1HM","216.48","-","1488.78","Finale B"
"Julien Caillarec-Luc Hellard","C2H","136.12","-","494.67","Finale B"
"Alan Olivo-Mathis Daniel","C2H","139.66","480.98","533.49","Finale B"
"Malo Querre-Thomas Floch","C2H","217.46","-","1386.51","Finale B"
"Eva Maher","K1D","135.39","452.21","447.26","Finale B"
"Anna Dubois","K1D","142.67","545.89","524.96","Finale B"
"Deborah Larsonneur","K1D","143.04","544.35","528.91","Finale B"
"Taelle Cardin","K1D","150.68","618.73","610.45","Finale B"
"Mathilde Le Verge","K1D","160.79","571.61","718.36","Finale B"
"Bleuenn Le Foll","K1D","Des","-","-","Finale B"
"Mathis Daniel","K1H","107.98","356.6","304.53","Finale B"
"Brieuc Richard","K1H","110.52","365.54","335.17","Finale B"
"Yoann Le Guyader","K1H","112.31","354.66","356.75","Finale B"
"Alan Olivo","K1H","112.32","317.4","356.87","Finale B"
"Stephane Gallerne","K1H","112.37","-","357.48","Finale B"
"Julien Caillarec","K1H","114.59","324.07","384.25","Finale B"
"Erwann Le Jeune","K1H","115.76","424.59","398.36","Finale B"
"Theo Rose","K1H","117.3","411.84","416.94","Finale B"
"Melenn Aubry","K1H","118.26","-","428.52","Finale B"
"Lilian Bald","K1H","118.36","474.39","429.72","Finale B"
"Brice Derrien","K1H","123.75","449.48","494.73","Finale B"
"Nathan Chaumier","K1H","124.11","-","499.07","Finale B"
"Valentino Le Guesclou","K1H","126.11","468.67","523.19","Finale B"
"Come Le Gal","K1H","126.49","498.19","527.77","Finale B"
"Thibaud Le Berre","K1H","128.1","472.01","547.19","Finale B"
"Aurelien Le Duc","K1H","128.59","503.82","553.1","Finale B"
"Thomas Floch","K1H","130.35","517.94","574.33","Finale B"
"Malo Querre","K1H","134.24","610.68","621.24","Finale B"
"Liam Esteffe","K1H","139.74","-","687.58","Finale B"
"Hugo Robert","K1H","143.4","623.35","731.72","Finale B"
"Mathias Dubois","K1H","151.09","-","824.47","Finale B"
"Baptiste Bernard","K1HM","150.09","-","812.41","Finale B"
"Pierre Le Gallo","K1HM","154.29","-","863.06","Finale B"
"Noe Dubois","K1HM","156.74","-","892.61","Finale B"
"Enzo Lemaitre","K1HM","171","-","1064.59","Finale B"
