"Sélectif Régional de Slalom - Carhaix - L'hyères - Finale - 2016-01-17","Carhaix - L'hyères","Finale","finale","2016-01-17","Régional","32"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Nicolas Gestin","C1H","116.11","161.67","180.49","finale a"
"Corentin Oulhen","C1H","118.34","152.91","202.46","finale a"
"Valentin Feroc","C1H","156.41","424.75","577.45","finale a"
"Jean Pierre Bourhis-Yves Bourhis","C2H","155.99","-","503.47","finale a"
"Pol Oulhen-Pol Euzenes","C2H","191.71","-","839.32","finale a"
"Agathe Chaumet","K1D","123.75","146.16","169.44","finale a"
"Marianne Bercon","K1D","140.55","284.5","323.22","finale a"
"Lucie Bercon","K1D","150.59","351.47","415.1","finale a"
"Pol Euzenes","K1H","103.11","143.51","103.22","finale a"
"Pol Oulhen","K1H","103.24","52.49","104.56","finale a"
"Samuel Lhegu","K1H","106.57","85.18","139.0","finale a"
"Valentin Brindeau","K1H","108.85","146.43","162.59","finale a"
"Nicolas Mevel","K1H","109.05","203.13","164.65","finale a"
"Guillaume Blin","K1H","117.24","593.92","249.36","finale a"
"Paul Gestin","K1H","118.75","242.92","264.98","finale a"
"Malo Marquet","K1HM","139.96","-","484.35","finale a"
"Tom Seguillon","K1HM","147.59","-","563.26","finale a"
"Oscar Donval","K1HM","152.28","-","611.77","finale a"
"Mathieu Le Gall","K1HM","158.67","-","677.86","finale a"
"Marie Duval","K1D","155.34","-","463.58","finale b"
"Eliette Caroff","K1D","159.14","-","498.36","finale b"
"Gwendoline Hall","K1D","285.11","790.94","1651.34","finale b"
"Morgan L'helguen","K1H","135.27","-","440.84","finale b"
"Jerome Saliou","K1H","136.38","470.7","452.32","finale b"
"Didier Rouet","K1H","139.8","470.8","487.69","finale b"
"Yoann Donval","K1H","142.18","532.0","512.31","finale b"
"Sylvain Premel","K1H","175.45","568.94","856.4","finale b"
"Francois Bonthonnou","K1H","278.26","564.93","1919.73","finale b"
"Julien Buors","K1H","285.09","-","1990.37","finale b"
"Marius Benard","K1HM","162.04","-","717.71","finale b"
"Sylvain Notari","K1HM","227.75","-","1397.32","finale b"
"Gaetan Le Jeune","K1HM","350.03","-","2662.02","finale b"
