"Sélectif National 3 Slalom Sud-Est - Bassin De Slalom De Lavancia - Finale","Bassin De Slalom De Lavancia","Finale","finale","2016-04-24","Nationale 3","137"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Viviana Daille","C1D","133.54","386.44","399.93","finale a"
"Julie Fauroux","C1D","157.52","563.56","649.28","finale a"
"Alice Evlachev","C1D","603.43","723.29","5285.71","finale a"
"Maxime Bottex","C1H","110.73","302.82","327.24","finale a"
"Titouan Dupras","C1H","111.62","431.59","337.82","finale a"
"Olivier Barriere","C1H","113.3","303.54","357.78","finale a"
"Guillaume Carbon","C1H","115.79","327.34","387.37","finale a"
"Maxime Vallin","C1H","118.77","329.83","422.78","finale a"
"Paul Gaillard","C1H","119.17","460.32","427.53","finale a"
"Raphael Olla","C1H","121.86","419.0","459.5","finale a"
"Etienne Wiche","C1H","127.17","529.27","522.59","finale a"
"Maxime Kabir","C1H","129.55","423.78","550.88","finale a"
"Cedric Mace","C1H","132.83","613.32","589.86","finale a"
"Maxime Bottex-Titouan Dupras","C2H","116.4","-","331.74","finale a"
"Guillaume Carbon-Maxime Vallin","C2H","133.07","410.71","520.84","finale a"
"Mathieu Lions-Cyril Audoit","C2H","133.32","477.77","523.67","finale a"
"Teo Bouvier-Hugo Martin -laemle","C2H","139.03","603.19","588.44","finale a"
"Pierre Courtois-Enzo Briffa","C2H","245.27","773.69","1793.52","finale a"
"Valentin Vibert-Laura Rocher","C2M","132.87","503.37","392.97","finale a"
"Thomas Courtois-Eva Pietracha","C2M","141.53","592.41","483.02","finale a"
"Julie Fauroux","K1D","119.21","320.98","327.72","finale a"
"Coline Charel","K1D","122.47","325.26","363.72","finale a"
"Solene Grenier","K1D","123.98","422.63","380.39","finale a"
"Marion Pasquali","K1D","127.27","381.26","416.71","finale a"
"Amelie Perier","K1D","127.41","383.82","418.26","finale a"
"Estelle Friconneau","K1D","131.04","433.51","458.35","finale a"
"Marie Juquelier","K1D","131.78","436.66","466.51","finale a"
"Emma Miton","K1D","133.95","542.27","490.48","finale a"
"Juliette Rousset","K1D","136.2","406.65","515.32","finale a"
"Louane Chenal","K1D","138.49","382.68","540.61","finale a"
"Emma Vieira Coelha","K1D","140.17","601.34","559.15","finale a"
"Tiphanie Le Gall","K1D","142.54","378.68","585.33","finale a"
"Jeremy Wagner","K1H","98.66","286.37","242.43","finale a"
"Thomas Monier","K1H","99.2","326.98","249.17","finale a"
"Alexandre Marin","K1H","101.0","269.43","271.63","finale a"
"Antonin Barraud","K1H","101.47","291.13","277.49","finale a"
"Jules Silvin","K1H","102.86","267.63","294.83","finale a"
"Maxime Gaillard","K1H","102.9","268.44","295.33","finale a"
"Valentin Vibert","K1H","103.02","283.89","296.83","finale a"
"William Gettliffe","K1H","103.33","293.83","300.7","finale a"
"Axel Kournwsky","K1H","104.4","265.21","314.05","finale a"
"Henri Bergognon","K1H","104.43","268.9","314.42","finale a"
"Teo Bouvier","K1H","105.06","337.35","322.28","finale a"
"Sebastien Lepaulard","K1H","105.29","273.97","325.15","finale a"
"Nicolas Detheve","K1H","105.4","307.79","326.53","finale a"
"Gael Adisson","K1H","105.79","329.32","331.39","finale a"
"Alexandre Bordas","K1H","105.83","306.57","331.89","finale a"
"Jules Cresp","K1H","105.9","264.33","332.77","finale a"
"Nayl Tazi-sidqui","K1H","106.27","386.22","337.38","finale a"
"Raphael Olla","K1H","106.47","279.84","339.88","finale a"
"Olivier Hardonniere","K1H","106.65","316.5","342.12","finale a"
"Bertrand Dubiez","K1H","106.73","340.49","343.12","finale a"
"Olivier Barriere","K1H","107.73","339.41","355.6","finale a"
"Adrien Fischer","K1H","108.22","352.32","361.71","finale a"
"Lucien Goulet","K1H","108.49","341.56","365.08","finale a"
"Alexandre Goujon","K1H","108.66","404.26","367.2","finale a"
"Romain Gayral","K1H","108.71","414.75","367.83","finale a"
"Jean Philippe Roche","K1H","108.9","264.14","370.2","finale a"
"Julien Saguet","K1H","108.98","295.92","371.2","finale a"
"Mathieu Lions","K1H","109.19","313.31","373.82","finale a"
"Cyril Audoit","K1H","110.24","349.45","386.92","finale a"
"Gawaine Chikh","K1H","111.8","378.37","406.38","finale a"
"Sebastien Riou","K1H","113.0","457.04","421.35","finale a"
"Maxime Melmont","K1H","113.38","446.46","426.1","finale a"
"Fabien Leist","K1H","114.48","375.97","439.82","finale a"
"Cedric Mace","K1H","114.5","303.08","440.07","finale a"
"Victorien Lombard","K1H","114.52","426.0","440.32","finale a"
"Matteo Licoine","K1H","114.87","360.42","444.69","finale a"
"Tom Benini","K1H","115.0","324.2","446.31","finale a"
"Paul Gaillard","K1H","116.97","371.76","470.89","finale a"
"Antonin Dustou","K1H","118.5","529.29","489.98","finale a"
"Gabin Siau","K1H","120.54","567.03","515.43","finale a"
"Luca Barone","K1H","123.79","480.91","555.98","finale a"
"Alain Ferry","K1H","124.95","422.82","570.46","finale a"
"Sebastien Routhier","K1H","152.36","306.3","912.46","finale a"
"Adrien Fischer","C1H","115.48","384.52","388.69","finale b"
"Alexis Mercoirol","C1H","116.82","407.27","404.61","finale b"
"Antonin Dustou","C1H","126.39","744.06","518.32","finale b"
"Gabin Siau","C1H","143.06","626.16","716.43","finale b"
"Simon Del Negro","C1H","145.94","638.44","750.64","finale b"
"Mathieu Lions","C1H","154.6","727.4","853.55","finale b"
"Quentin Laplace","C1H","157.8","902.93","891.58","finale b"
"Arthur Viallard","C1H","207.05","783.26","1476.81","finale b"
"Guillaume Belet","C1H","210.95","920.29","1523.17","finale b"
"Alice Evlachev","K1D","115.24","330.99","288.88","finale b"
"Lucie Adisson","K1D","134.61","396.3","502.76","finale b"
"Solen Friconneau","K1D","141.72","571.41","581.27","finale b"
"Camille Berson","K1D","141.91","511.87","583.37","finale b"
"Lucie Fromentoux","K1D","142.78","592.18","592.98","finale b"
"Lea Ferraris","K1D","147.76","433.66","647.96","finale b"
"Lise Ducruet","K1D","149.92","699.21","671.82","finale b"
"Lorene Scalbert","K1D","157.49","443.79","755.4","finale b"
"Chloe Faverjon","K1D","159.03","499.33","772.41","finale b"
"Elise Carbon","K1D","161.25","739.11","796.92","finale b"
"Valentine Russic","K1D","203.64","564.4","1264.98","finale b"
"Mikael Clanchin","K1H","105.49","322.35","332.65","finale b"
"Yann Leruste","K1H","109.79","474.1","386.3","finale b"
"Djendy Simeant","K1H","110.16","491.45","390.92","finale b"
"Thomas Denais","K1H","110.92","305.61","400.4","finale b"
"Hugo Polard","K1H","111.43","458.09","406.76","finale b"
"Hugo Martin -laemle","K1H","113.61","461.86","433.97","finale b"
"Etienne Wiche","K1H","114.17","413.13","440.95","finale b"
"Antoni Zaki","K1H","114.57","513.81","445.94","finale b"
"Thomas Courtois","K1H","115.77","430.03","460.92","finale b"
"Alexis Mercoirol","K1H","115.97","421.0","463.41","finale b"
"Arthur Viallard","K1H","117.63","644.65","484.12","finale b"
"Loic Bouvier","K1H","118.4","493.3","493.73","finale b"
"Gregoire Michel","K1H","120.92","536.5","525.17","finale b"
"Matthieu Rousseau","K1H","120.96","601.21","525.67","finale b"
"Nino Chailan","K1H","121.63","453.05","534.03","finale b"
"Guillaume Belet","K1H","122.94","494.11","550.38","finale b"
"Yves Masson","K1H","123.9","509.29","562.36","finale b"
"Quentin Laplace","K1H","124.14","612.52","565.35","finale b"
"Alexei Evlachev","K1H","125.18","600.82","578.33","finale b"
"Marc Jungling","K1H","125.93","571.71","587.68","finale b"
