"Sélectif National 3 Slalom Sud-Ouest - Sélectif N3 Slalom Sud Ouest - Qualification - 2016-04-24","Sélectif N3 Slalom Sud Ouest","Qualification","qualif","2016-04-24","Nationale 3","167"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Doriane Delassus","C1D","129.99","518.57","466.27",""
"Marine Izac","C1D","147.62","535.97","660.06",""
"Fanny Margot","C1D","156.17","495.3","754.04",""
"Margot Beziat","C1D","185.71","461.89","1078.72",""
"Dominik Gosset","C1H","99.82","262.41","291.39",""
"Raphael Lassechere","C1H","108.73","403.82","403.31",""
"Luc Sarramea","C1H","116.29","274.99","498.28",""
"Adrien Picco","C1H","123.15","338.79","584.46",""
"Ugo Rolland","C1H","123.69","379.97","591.24",""
"Arthur Perez","C1H","123.99","466.79","595.02",""
"Karl Bouthegourd","C1H","124.4","556.73","600.16",""
"Leo Vuitton","C1H","125.24","424.76","610.71",""
"Leo Dujourd'hui","C1H","127.47","412.02","638.73",""
"Tom Bouchardon","C1H","134.48","450.93","726.79",""
"Marc Sarramea","C1H","134.71","512.51","729.67",""
"Arthur Cousty","C1H","135.17","580.22","735.45",""
"Vincent Sophian","C1H","145.92","660.96","870.49",""
"Francois Mouttou","C1H","153.75","568.06","968.86",""
"Martin Jouves","C1H","164.45","397.19","1103.27",""
"Etienne Chauvin","C1H","170.82","445.55","1183.29",""
"Tomy Dandonneau","C1H","172.77","630.37","1207.79",""
"Felix Sperandio","C1H","182.67","640.39","1332.14",""
"Clarisse Hoogland-Jeanne Pecot","C2D","308.44","980.17","2166.96",""
"Adrien Picco-Etienne Chauvin","C2H","115.34","463.24","420.5",""
"Maxence Merpillat-Raphael Lassechere","C2H","124.61","395.01","531.65",""
"Flavien San Augustin-Swann Collin","C2H","136.12","510.09","669.66",""
"Jeremie Palazy-Tom Zanfini","C2H","143.27","539.79","755.39",""
"Tomy Dandonneau-Gedeon Cothias-faure","C2H","145.77","902.01","785.38",""
"Tino Forgues-Vincent Sophian","C2H","193.22","719.24","1354.36",""
"Elian Giondini-Clemence Lartigue","C2M","160.97","658.23","806.8",""
"Doriane Delassus","K1D","108.1","298.2","299.26",""
"Clemence Lartigue","K1D","116.07","339.6","392.3",""
