"Séletif National 3 Slalom Sud-Ouest - Angouleme - Finale - 2016-05-08","Finale","2016-05-08","Nationale 3","189"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Manon Prioux","C1D","129.95","321.92","328.87","Finale A"
"Doriane Delassus","C1D","133.22","422.12","362.3","Finale A"
"Oceane Baylacq","C1D","137.58","485.02","406.86","Finale A"
"Emilie Chamouleau","C1D","138.18","380.91","413","Finale A"
"Perrine Joubert","C1D","154.36","523.53","578.38","Finale A"
"Luc Sarramea","C1H","110.67","272.39","293.4","Finale A"
"Maxime Texier","C1H","110.95","338.38","296.68","Finale A"
"Henri Chenu","C1H","111.12","327.34","298.66","Finale A"
"Theo Desvignes","C1H","111.18","304.63","299.36","Finale A"
"Isaac Dufrene","C1H","111.32","302.86","300.99","Finale A"
"Quentin Chauvin","C1H","111.33","342.76","301.12","Finale A"
"Gurgen Brun","C1H","111.74","302.65","305.9","Finale A"
"Julien Pajaud","C1H","112.42","326.62","313.85","Finale A"
"Frederic Boob","C1H","113.37","303.41","324.94","Finale A"
"Cedric Forgit","C1H","113.81","296.94","330.08","Finale A"
"Olivier Cain","C1H","116.07","323.12","356.49","Finale A"
"Romain Caillon","C1H","116.57","416.63","362.32","Finale A"
"Thibault Dufour","C1H","117.75","485.27","376.11","Finale A"
"Philippe Niquet","C1H","118.01","300.68","379.14","Finale A"
"Raphael Lassechere","C1H","120.8","392.23","411.74","Finale A"
"Etienne Chauvin","C1H","122.44","445.55","430.9","Finale A"
"Valentin Courtiade","C1H","129.09","400.49","508.58","Finale A"
"Clement Jouannaud","C1H","177.56","401.75","1074.81","Finale A"
"Marc Brossard","C1H","Dsq","-","-","Finale A"
"Chloe Crachet-Charline Berger Martin","C2D","147.15","379.29","388.98","Finale A"
"Olivier Cain-Gaetan Coat","C2H","122.59","382.34","367.55","Finale A"
"Theo Desvignes-Zeph Scamps","C2H","127.09","693.8","417.73","Finale A"
"Matheo Gillaizeau-Julien Pajaud","C2H","130.32","473.7","453.76","Finale A"
"Maxence Merpillat-Raphael Lassechere","C2H","131.43","395.01","466.13","Finale A"
"Louis Midy-Hippolyte Cail","C2H","135.86","362.19","515.53","Finale A"
"Anthony Roux-Mathieu Minie","C2H","147.3","405.18","643.09","Finale A"
"Manon Prioux-Antoine Roux","C2M","120.44","253.64","231.67","Finale A"
"Frederic Boob-Frederique Merle","C2M","124.67","294.65","274.9","Finale A"
"Cedric Forgit-Marie Charbonneau","C2M","137.25","347.02","403.49","Finale A"
"Doriane Delassus","K1D","118","281.1","281.44","Finale A"
"Emma Lars","K1D","119.49","280.17","297.61","Finale A"
"Clemence Lartigue","K1D","123.03","339.6","336.04","Finale A"
"Carla Lacroix","K1D","124.38","389.94","350.7","Finale A"
"Alexia Bechu","K1D","124.73","328.8","354.5","Finale A"
"Marie Charbonneau","K1D","127.43","384.4","383.8","Finale A"
"Margot Beziat","K1D","128.16","374.7","391.73","Finale A"
"Maeva Bachelot","K1D","128.98","434.29","400.63","Finale A"
"Camille Santa Cruz","K1D","130.06","435.03","412.35","Finale A"
"Perrine Joubert","K1D","130.25","478.43","414.41","Finale A"
"Armelle Canali","K1D","131.9","351.52","432.33","Finale A"
"Oceane Baylacq","K1D","134.94","409.94","465.32","Finale A"
"Jocelyne Roupioz","K1D","136.31","526.7","480.19","Finale A"
"Dylan Sourbe","K1H","102.01","249.18","251.82","Finale A"
"Florentin Saumon","K1H","103.84","299.8","274.27","Finale A"
"Zeph Scamps","K1H","105.69","272.85","296.96","Finale A"
"Nathan Hossin","K1H","105.74","232.02","297.57","Finale A"
"Matheo Gillaizeau","K1H","106.35","340.33","305.05","Finale A"
"Guillaume Fletcher","K1H","106.48","324.92","306.65","Finale A"
"Pierre Campagne","K1H","106.67","277.96","308.98","Finale A"
"Antoine Laye","K1H","106.77","310.23","310.21","Finale A"
"Natan Brule","K1H","107.32","298.29","316.95","Finale A"
"Valentin Courtiade","K1H","107.44","287.68","318.42","Finale A"
"Etienne Chauvin","K1H","108.11","334.25","326.64","Finale A"
"Mathieu Minie","K1H","108.31","282.48","329.1","Finale A"
"Herve Clerc","K1H","108.45","337.87","330.81","Finale A"
"Marc Cordier","K1H","108.96","348.59","337.07","Finale A"
"Mathias Pannetier","K1H","108.99","497.07","337.44","Finale A"
"Pierre Dehaudt","K1H","109.24","348.85","340.5","Finale A"
"Marc Brossard","K1H","109.33","321.12","341.61","Finale A"
"Philippe Babin","K1H","109.47","337.48","343.32","Finale A"
"Maxence Merpillat","K1H","109.52","282.45","343.94","Finale A"
"Luc Sarramea","K1H","109.66","284.2","345.65","Finale A"
"Paul Pradalie","K1H","109.83","296.94","347.74","Finale A"
"Nicolas Saurat","K1H","110.03","358.98","350.19","Finale A"
"Tanguy Zaninotto","K1H","110.43","364.29","355.1","Finale A"
"NaËl Rajoub","K1H","110.89","423.4","360.74","Finale A"
"Jack Nattrass","K1H","111.58","372.14","369.21","Finale A"
"Thomas Riviere","K1H","111.8","430.66","371.9","Finale A"
"Antonin Maystre","K1H","111.82","418.17","372.15","Finale A"
"Clement Caillard","K1H","112.02","349.4","374.6","Finale A"
"Paul Luquet","K1H","112.09","363.82","375.46","Finale A"
"Leo Vuitton","K1H","112.45","330.32","379.88","Finale A"
"Cedric Forgit","K1H","112.52","374.6","380.74","Finale A"
"Patrick Clerc","K1H","112.62","357.05","381.96","Finale A"
"Guilhem Viguier","K1H","112.79","479.36","384.05","Finale A"
"Valentin Cesbron","K1H","112.85","302.31","384.78","Finale A"
"Mathieu Cheze","K1H","113.23","288.03","389.44","Finale A"
"Jeanmichel Bibes","K1H","113.25","308.21","389.69","Finale A"
"Sylvain Decombe","K1H","113.27","459.1","389.93","Finale A"
"Thibault Clerc","K1H","113.72","464.66","395.45","Finale A"
"Guillaume Viguier","K1H","114.55","392.75","405.64","Finale A"
"Arthur Cousty","K1H","114.87","378.27","409.56","Finale A"
"Sam Traquet","K1H","115.43","415.75","416.43","Finale A"
"Thibault Alcaras","K1H","115.59","434.4","418.39","Finale A"
"Tom Babin","K1H","115.91","477.9","422.32","Finale A"
"Arnaud Verrons","K1H","115.94","480.51","422.69","Finale A"
"Clement Ravoteur","K1H","116.3","376.96","427.1","Finale A"
"Cyril Launay","K1H","118.62","459.54","455.56","Finale A"
"Raphael Jean","K1H","119.35","472.46","464.51","Finale A"
"Frederic Debons","K1H","121.83","426.63","494.93","Finale A"
