"Séletif National 3 Slalom Ouest - Parc Des Eaux Vives D'inzinzac-lochrist Rivière Blavet - Qualification - 2016-05-08","Qualification","2016-05-08","Nationale 3","211"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lisa Marechal","C1D","142.83","396.28","394.14",""
"Agathe Chaumet","C1D","146.98","372.9","433.2",""
"Estelle Hellard","C1D","147.85","283","441.39",""
"Morgane Quemerais","C1D","151.62","404.76","476.88",""
"Marion Grangeon","C1D","152.19","429.15","482.24",""
"Sarah Despres","C1D","153.25","387.16","492.22",""
"Nolwenn Le Mehaute","C1D","165.2","441.29","604.7",""
"Garance Dalaine","C1D","Des","-","-",""
"Julie Dequeant","C1D","Abs","-","-",""
"Jann Le Corre","C1D","Abs","-","-",""
"Emeric Bertrand","C1H","113.89","193.28","274.89",""
"Jean Malo Bailleul","C1H","121.05","297.54","351.91",""
"Theo Foucher","C1H","121.58","344.93","357.6",""
"Nicolas Mevel","C1H","122.3","347.19","365.35",""
"Steven Henry","C1H","124.69","398.86","391.06",""
"Lubin Huet","C1H","125.46","375.07","399.35",""
"Ludovic Roye","C1H","126.65","372.1","412.15",""
"Hugo Regnier","C1H","127.41","517.74","420.32",""
"Jeremie Gouello","C1H","127.5","368.74","421.29",""
"Julien Paulais","C1H","127.97","303.29","426.34",""
"Julien Rocaboy","C1H","128.35","410.3","430.43",""
"Jeanmichel Regnier","C1H","129.02","355.63","437.64",""
"Yoann Bizot","C1H","129.19","363.83","439.47",""
"Timothee Cornu","C1H","130.18","476.07","450.12",""
"Herve Busson","C1H","132.56","418.73","475.72",""
"Florian Sauvage","C1H","132.64","717.39","476.58",""
"Samuel Vallienne","C1H","134.23","489.69","493.68",""
"Cedric Collet","C1H","134.4","463.45","495.51",""
"Lucas Augu","C1H","134.68","617.37","498.53",""
"Gwenael Coadou","C1H","136.44","424.42","517.46",""
"Romain Bruneau","C1H","141.53","593.27","572.21",""
"Hugo Eouzan-chaffotec","C1H","143.35","511.67","591.79",""
"Romain Branjauneau","C1H","143.44","536.63","592.76",""
"Quentin Robin","C1H","149.16","625.32","654.29",""
"Awen Le Paih","C1H","149.83","490.85","661.49",""
"Yannick Courtay","C1H","151.68","604.88","681.39",""
"Thomas Ollivo","C1H","156.26","657.39","730.66",""
"Glen Le Meur","C1H","161.04","700.4","782.08",""
"Loan Queffelec","C1H","Des","-","-",""
"Elliot David","C1H","Abs","-","-",""
"Lucas Hives - Sorin-Lorin Dumont","C2H","121.43","-","296.62",""
"Emeric Bertrand-Benoit Ricard","C2H","138.73","321.75","474.26",""
"Yann Le Bourser-Keliann Le Breton","C2H","147.32","446.94","562.46",""
"Florian Busson-Alex Louveau","C2H","151.89","467.23","609.39",""
"Paul Tallet Pinet-Benoit Lecluse","C2H","152.74","584.62","618.12",""
"Julien Paulais-Quentin Robin","C2H","169.84","741.25","793.7",""
"Malo Querre-Thomas Floch","C2H","183.1","1277.92","929.86",""
"Emeric Bertrand-Deborah Larsonneur","C2M","151.2","372.81","472.92",""
"Zoe Huet-Keliann Le Breton","C2M","180.75","737.45","751.06",""
"Thomas Brochard-Pauline Guenery","C2M","220.3","604.73","1123.32",""
"Pauline Richard-Benoit Ricard","C2M","Des","-","-",""
"Martin Braud-Sarah Lyphout","C2M","Abs","-","-",""
"Lisa Marechal","K1D","131.08","377.44","359.97",""
"Coline Bertin","K1D","134.86","295.21","397.76",""
"Frederique Piton","K1D","136.36","392.96","412.76",""
"Jann Le Corre","K1D","136.58","374.44","414.95",""
"Lucie Bercon","K1D","140.85","351.52","457.63",""
"Coralie Belnoue","K1D","141","697.32","459.13",""
"Christine Le Gall","K1D","142.96","325.22","478.72",""
"Aziliz Quintin","K1D","143.45","341.48","483.62",""
"Pauline Richard","K1D","144.61","416.25","495.21",""
"Marie Duval","K1D","145.42","422.72","503.31",""
"Veronique Vourch","K1D","145.7","445.25","506.11",""
"Julie Dequeant","K1D","159.07","479.66","639.75",""
"Mathilde Le Verge","K1D","159.44","571.61","643.44",""
"Enora Bronsard","K1D","162.58","379.79","674.83",""
"Romane Bronchet","K1D","164.16","532.19","690.62",""
"Taelle Cardin","K1D","167.96","580.76","728.61",""
"Garance Dalaine","K1D","173.5","547.83","783.99",""
"Pauline Guenery","K1D","185.54","501.64","904.33",""
"Anais Robineau","K1D","219.24","739.55","1241.18",""
"Caroline Froissard","K1D","237.47","714.91","1423.39",""
"Bleuenn Le Foll","K1D","Des","-","-",""
"Gwendoline Hall","K1D","Des","-","-",""
"Mathis Soudi","K1H","103.42","241.64","217.88",""
"Yves Bourhis","K1H","104.96","254.5","235.28",""
"Thibaud Lacour","K1H","105.98","236.22","246.8",""
"Arthur Mizzi","K1H","106.69","252.77","254.82",""
"Julien Dosse","K1H","108.36","272.27","273.68",""
"Pierre Bourdet","K1H","108.87","266.72","279.44",""
"Lorin Dumont","K1H","109.39","261.22","285.31",""
"Alex Louveau","K1H","109.61","293.87","287.8",""
"Dorian Ollivier","K1H","110.49","276.79","297.74",""
"Nathanael Pedron","K1H","110.7","350.63","300.11",""
"Emeric Bussonnais","K1H","111.49","261.96","309.03",""
"Quentin Robin","K1H","111.95","329.01","314.23",""
"Florian Busson","K1H","112.45","271.63","319.88",""
"Leo Tasset","K1H","112.74","284.3","323.15",""
"Gregory Metayer","K1H","112.87","345.26","324.62",""
"Lucas Soudi","K1H","113.04","327.8","326.54",""
"Paul Cazee","K1H","113.3","389.71","329.48",""
"Guillaume Blin","K1H","113.35","310.01","330.04",""
"Jules Heurtin","K1H","113.41","395.53","330.72",""
"Johann Lorcy","K1H","113.45","390.39","331.17",""
