"Championnat Régional de Slalom - Bassin De Brioude - Finale - 2016-06-19","Bassin De Brioude","Finale","finale","2016-06-19","Régional","22"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Valentine Russic","C1D","186.76","-","1065.43","finale a"
"Charles Edouard Dherment","C1H","114.3","331.88","474.59","finale a"
"Jeremy Tabourin","C1H","129.99","574.33","663.34","finale a"
"Antonin Barraud","C1H","135.2","-","726.02","finale a"
"Emile Verdier","C1HM","134.45","-","717.0","finale a"
"Charles Edouard Dherment-Antonin Barraud","C2H","144.44","-","758.19","finale a"
"Amelie Perier","K1D","124.39","400.63","490.04","finale a"
"Valentine Russic","K1D","148.96","623.66","764.68","finale a"
"Melizande Jehin","K1D","231.42","-","1686.43","finale a"
"Charles Edouard Dherment","K1H","97.89","209.51","336.06","finale a"
"Quentin Sablayrolles","K1H","104.03","305.59","413.62","finale a"
"Antonin Barraud","K1H","108.0","279.73","463.76","finale a"
"Gauthier Vanden  Abeele","K1H","111.43","377.76","507.09","finale a"
"Jeremy Tabourin","K1H","114.64","404.27","547.63","finale a"
"Sander Duvillard","K1H","120.85","544.32","626.08","finale a"
"Thijs Duvillard","K1H","126.03","441.54","691.51","finale a"
"Florent Dohet","K1H","128.95","-","728.39","finale a"
"Claude Flouret","K1H","129.84","584.04","739.63","finale a"
"Antoine Martin","K1H","132.1","-","768.18","finale a"
"Stephane Verdier","K1H","133.76","-","789.15","finale a"
"Marius Samson","K1H","134.35","-","796.6","finale a"
"Emile Verdier","K1HM","134.9","-","803.55","finale a"
