"SÈlectif RÈgional de slalom - Ruelle - Qualification - 2016-06-26","Ruelle","Qualification","qualif","2016-06-26","RÈgional","164"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","110.85","127.43","270.55",""
"Justine Lorin","C1D","117.58","219.69","346.41",""
"Charline Berger Martin","C1D","119.4","343.74","366.93",""
"Marie Charbonneau","C1D","135.86","482.73","552.48",""
"Maeva Conchon","C1D","142.79","559.64","630.59",""
"Sophielaure B…n…teau","C1D","163.17","-","860.32",""
"Perrine Joubert","C1DM","131.68","521.88","505.35",""
"Elise Doreau","C1DM","149.85","-","710.17",""
"Jason Brothier","C1H","93.36","114.44","223.74",""
"Nathan Hossin","C1H","93.93","192.1","231.08",""
"Jerome Blanchet","C1H","95.22","192.36","247.7",""
"Anthony Roux","C1H","96.8","248.13","268.05",""
"Maxime Texier","C1H","100.09","309.15","310.44",""
"Nicolas Labat","C1H","100.55","-","316.36",""
"Isaac Dufrene","C1H","100.85","300.43","320.23",""
"Damien Launay","C1H","101.1","306.94","323.45",""
"Julien Pajaud","C1H","101.97","300.55","334.66",""
"Theo Desvignes","C1H","102.05","300.43","335.69",""
"Ludovic Di Nisi","C1H","103.96","-","360.29",""
"Faysal Ali Zazou","C1H","105.26","283.12","377.05",""
"Quentin Chauvin","C1H","105.39","316.3","378.71",""
"Adrien Picco","C1H","106.93","338.79","398.55",""
"Mathias Pannetier","C1H","107.5","372.49","405.9",""
"Pierre Giudicelli","C1H","107.75","351.87","409.12",""
"Christian Boob","C1H","107.77","304.78","409.38",""
"Henri Chenu","C1H","108.46","312.45","418.26",""
"Frederic Boob","C1H","108.72","303.41","421.62",""
"Philippe Niquet","C1H","109.65","300.68","433.6",""
"Karl Bouthegourd","C1H","113.75","495.01","486.41",""
"Julien Beneteau","C1H","116.95","527.54","527.64",""
"Clement Jouannaud","C1H","117.45","417.38","534.08",""
"Ulysse Giel","C1H","119.75","643.33","563.72",""
"Thibault Alcaras","C1H","120.58","620.42","574.4",""
"Tanguy Zaninotto","C1H","121.99","451.13","592.57",""
"Cyril Launay","C1H","125.65","688.37","639.72",""
"Vincent Sophian","C1H","125.98","660.96","643.97",""
"Jeanfrancis Battesti","C1H","127.59","-","664.71",""
"Adrien Roux","C1H","133.31","317.2","738.4",""
"Sylvain Decombe","C1H","136.19","633.72","775.5",""
"Kylian Videau","C1H","142.97","-","862.85",""
"Etienne Lewkowiez","C1H","146.62","-","909.87",""
"Adrien Ricaud","C1H","150.5","-","959.85",""
"Damien Paquet","C1H","240.18","-","2115.17",""
"Titouan Doreau","C1HM","125.52","-","638.05",""
"Clement Gillaizeau","C1HM","131.02","-","708.9",""
"Tom Babin","C1HM","133.07","-","735.3",""
"Adrien Pardoux","C1HM","135.73","-","769.58",""
"Theo Jeanlouis","C1HM","136.01","-","773.18",""
"Arnaud Verrons","C1HM","165.33","-","1150.9",""
"Carla Texier-No…mie Veaux","C2D","176.04","-","852.74",""
"Jason Brothier-Maxime Texier","C2H","107.96","237.49","348.61",""
"Christian Boob-Frederic Boob","C2H","109.02","262.01","361.64",""
"Adrien Picco-Etienne Chauvin","C2H","112.36","418.78","402.71",""
"Jerome Blanchet-Quentin Chauvin","C2H","113.07","318.08","411.45",""
"Henri Chenu-Sam Traquet","C2H","123.41","530.29","538.6",""
"Clement Jouannaud-Mattias Poirat","C2H","123.91","513.62","544.74",""
"Charley Sannier Durand-Tom Baillon","C2H","143.55","-","786.26",""
"Matthias Reviron-Julien Beneteau","C2H","161.71","-","1009.57",""
"Tino Forgues-Vincent Sophian","C2H","168.67","719.24","1095.16",""
"Tom Babin-Arnaud Verrons","C2HM","128.41","-","600.08",""
"Emilie Chamouleau-Christophe Marechal","C2M","114.44","256.53","311.02",""
"Jerome Blanchet-Ella Bregazzi","C2M","120.14","-","375.27",""
"Nicolas Labat-Justine Lorin","C2M","120.51","-","379.44",""
"Marie Charbonneau-Adrien Roux","C2M","142.58","-","628.23",""
"Yanis Rainaud-Emma Pardoux","C2M","146.5","-","672.4",""
"Charline Berger Martin","K1D","105.44","273.66","283.19",""
"Emilie Chamouleau","K1D","105.46","276.8","283.43",""
"Frederique Merle","K1D","106.06","252.01","290.62",""
"Ella Bregazzi","K1D","111.24","333.17","352.62",""
"Amelie Perier","K1D","113.16","400.63","375.61",""
"Armelle Canali","K1D","113.74","357.93","382.55",""
"Marie Charbonneau","K1D","115.1","379.88","398.82",""
"Maeva Bachelot","K1D","119.26","420.02","448.63",""
"Maeva Conchon","K1D","127.01","485.31","541.4",""
