"Championnat de France Slalom Masters - Bourg St Maurice - Qualification - Manche 1 - 2016-07-23","Qualification - Manche 1","2016-07-23","Championnats de France","137"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Baptiste Delaplace","C1H","80.83","107.48","131.85",""
"Thomas Levert","C1H","92.29","272.77","285.4",""
"Gauthier Gonseth","C1H","92.6","298.88","289.56",""
"Philippe Thevenin","C1H","93.5","282.77","301.62",""
"Frederic Boob","C1H","94.87","303.41","319.97",""
"Jeancharles Reby","C1H","95.11","360.43","323.19",""
"Benoit Chantry","C1H","96.43","235.09","340.88",""
"Xavier Jourdain","C1H","97.44","285.97","354.41",""
"Philippe Quemerais","C1H","97.46","255.08","354.68",""
"Nicolas Coudert","C1H","97.7","396.09","357.89",""
"Guillaume Doutreix","C1H","98.53","328.87","369.01",""
"Teddy Poulard","C1H","98.59","372.41","369.82",""
"Olivier Gesbert","C1H","98.92","333.97","374.24",""
"Nil Georgel","C1H","99.51","356.76","382.14",""
"Benoit Pacteau","C1H","100.95","324.34","401.44",""
"Eric Beaumont","C1H","100.99","361.36","401.98",""
"Guillaume Carbon","C1H","102.34","327.34","420.06",""
"Jean Marc Trenchant","C1H","102.93","388.93","427.97",""
"Christian Boob","C1H","103.21","304.78","431.72",""
"Vincent Ganthier","C1H","103.61","366.16","437.08",""
"Olivier Barriere","C1H","106.37","314.06","474.06",""
"Philippe Senechal","C1H","106.59","420.48","477",""
"Jan Pischek","C1H","106.98","308.23","482.24",""
"Ludovic Roye","C1H","107.3","372.1","486.51",""
"Cedric Mace","C1H","110.31","504.71","526.85",""
"Pascal Marrec","C1H","112.53","-","556.59",""
"Francois Durand","C1H","118.98","379.48","643.02",""
"Claude Menissier","C1H","120.16","413.07","658.83",""
"Gregory Menuat","C1H","136.91","610.04","883.26",""
"Jacques Nardeau","C1H","136.98","569.75","884.2",""
"Yannick Courtay","C1H","141.93","604.88","950.52",""
"Guillaume Gonseth","C1H","163.38","362.43","1237.93",""
"Charly Chassigneux","C1H","Abs","-","-",""
"David Bernardeau","C1H","Abs","-","-",""
"Christian Boob-Frederic Boob","C2H","95.21","275.38","266.54",""
"Frank Adisson-Sandra Forgues","C2H","96.86","204.61","287.65",""
"Jeancharles Reby-Gregory Ganthier","C2H","100.88","461.89","339.06",""
"Herve Clerc-Pierrealain Clerc","C2H","101.99","335.64","353.26",""
"Philippe Thevenin-Olivier Urbain","C2H","102.22","371.97","356.2",""
"Claude Menissier-Gerard Menissier","C2H","104.27","401.72","382.42",""
"Xavier Jourdain-Francois Durand","C2H","104.77","417.95","388.81",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","109.68","372.47","451.61",""
"Guillaume Doutreix-Teddy Poulard","C2H","126.26","508.97","663.67",""
"Philippe Senechal-Xavier Rat","C2H","226.99","565.29","1951.99",""
"Herve Busson-Christophe Gergaud","C2H","Des","-","-",""
"Frederic Boob-Frederique Merle","C2M","115.07","305.1","397.91",""
"Catherine Boulan-Xavier Jourdain","C2M","124.64","425.35","510.11",""
"Sophie Colbus-Johann Thevenin","C2M","283.97","374.55","2378.1",""
"Florence Marchal-Jacques Nardeau","C2M","295.25","665.56","2510.34",""
"Anneline Triomphe","K1D","92.37","134.02","198.86",""
"Stephanie Kaczmarek","K1D","101.48","252.67","312.28",""
"Nagwa Lanchec El Desouki","K1D","104.61","-","351.25",""
"Frederique Merle","K1D","105.69","253.76","364.69",""
"Sabine Kleinhenz","K1D","108.47","326.17","399.3",""
"Sylviane Quemerais","K1D","110.87","328.19","429.18",""
"Sophie Colbus","K1D","112.09","262.27","444.37",""
"Florence Marchal","K1D","122.32","606.91","571.74",""
"Jocelyne Roupioz","K1D","129.42","509.91","660.14",""
"Celine Garcia","K1D","310.03","830.56","2908.79",""
"Catherine Boulan","K1D","Abs","-","-",""
"Benoit Chantry","K1H","80.62","118.19","183.05",""
"Christophe Augu","K1H","81.63","170.74","197.26",""
"Damien Ganthier","K1H","83.17","230.1","218.93",""
"Davy Egraz","K1H","84.34","207.69","235.39",""
"Bertrand Bercon","K1H","84.38","243.74","235.95",""
"Benoit Letellier","K1H","84.61","207.13","239.19",""
"Herve Busson","K1H","84.85","206.4","242.56",""
"Thomas Monier","K1H","86.33","243.01","263.38",""
"Julien Dosse","K1H","86.46","276.48","265.21",""
"Xavier Jourdain","K1H","86.52","177.27","266.06",""
"Nicolas Coudert","K1H","86.53","195.58","266.2",""
"Bertrand Avril","K1H","88.23","303.3","290.11",""
"Laurent Le Touze","K1H","88.31","-","291.24",""
"Herve Clerc","K1H","89.65","334.21","310.09",""
"Sebastien Mouyen Bie","K1H","89.71","310.11","310.94",""
"Franck Delachair","K1H","89.9","271.27","313.61",""
