"Sélectif Régional Slalom (Double) - Bassin Epinal - Course n°1 | Qualification","Bassin Epinal","Course n°1 | Qualification","qualif","2016-10-01","Régional","186"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Abba","C1D","106.81","189.01","203.38",""
"Fanchon Janssen","C1D","107.37","164.15","209.55",""
"Lea Grison","C1D","115.08","267.91","294.53",""
"Julia Budzinski","C1D","119.74","304.58","345.9",""
"Joana Palermo","C1D","121.05","-","360.34",""
"Alexane Galmiche","C1D","121.1","-","360.89",""
"Angelique Guilcher","C1D","123.91","418.55","391.86",""
"Claire Gaigeot","C1D","124.55","-","398.92",""
"Alicia Gallot","C1D","127.86","470.07","435.4",""
"Jeanne Bernard","C1D","139.0","-","558.18",""
"Emma Vaubourg","C1D","139.93","-","568.43",""
"Justine Clerc","C1D","139.97","991.51","568.88",""
"Margot Perrin","C1D","156.53","-","751.41",""
"Maurine Laugel","C1D","157.37","802.96","760.67",""
"Lucille Meunier-cheyssac","C1DM","135.72","598.8","522.03",""
"Coline Husson","C1DM","139.29","-","561.38",""
"MaÏa Gombert","C1DM","148.52","-","663.13",""
"Mylene Guilcher","C1DM","151.37","985.88","694.54",""
"Melyne Jost","C1DM","166.3","-","859.09",""
"Eva Klipfel","C1DM","205.65","789.58","1292.83",""
"Thibault Blaise","C1H","96.05","63.44","236.02",""
"Mathieu Biazizzo","C1H","99.24","-","276.21",""
"Emilien Kempf","C1H","99.88","116.76","284.27",""
"Martin Daviet","C1H","100.25","224.53","288.93",""
"Hugo Latimier","C1H","101.12","221.57","299.89",""
"Antoine Runet","C1H","102.52","82.9","317.52",""
"Marcantoine Hacquart","C1H","102.53","300.76","317.65",""
"Eludes Houillon","C1H","104.7","329.79","344.98",""
"Christophe Despres","C1H","104.97","402.21","348.39",""
"Yoan Del Rey","C1H","105.12","-","350.27",""
"Philippe Thevenin","C1H","105.25","287.79","351.91",""
"Julian Othenin-girard","C1H","106.98","230.86","373.71",""
"Julien Gaspard","C1H","108.17","-","388.7",""
"Johan De Mareuil","C1H","108.25","-","389.7",""
"Paul Aubertin","C1H","108.67","373.3","394.99",""
"Corentin Monasse","C1H","108.74","603.83","395.88",""
"Thomas L'huillier","C1H","109.42","310.37","404.45",""
"Silvere Desongins","C1H","109.8","366.93","409.22",""
"Vincent Ganthier","C1H","111.94","398.29","436.19",""
"Vincent Idriss Achaoui","C1H","112.44","497.52","442.49",""
"Jerome Olhagaray","C1H","113.15","590.19","451.43",""
"Victor Hennin","C1H","113.7","552.95","458.36",""
"Jules Vonderscher","C1H","113.79","389.91","459.49",""
"Guillaume Goury","C1H","114.66","456.88","470.45",""
"Simon Clerc","C1H","115.1","435.05","475.99",""
"Robin Pottelette","C1H","115.41","396.89","479.89",""
"Yann Becker","C1H","118.07","527.78","513.41",""
"Christophe Billaud","C1H","121.83","609.1","560.78",""
"Anthony Rouhier","C1H","124.26","857.66","591.38",""
"Guerlain Robin","C1H","124.76","566.96","597.68",""
"Maxime Aubertin","C1H","125.22","-","603.47",""
"Arthur Favennec","C1H","133.84","-","712.06",""
"Marvin Tulpin","C1H","134.47","470.28","720.0",""
"Jules Andrien","C1H","140.32","723.04","793.69",""
"Bastien Delaubier","C1H","145.65","920.38","860.83",""
"Alexis Sevrez","C1H","155.47","-","984.54",""
"Jules Latimier","C1HM","119.06","707.29","525.87",""
"Vivien Stemmelen","C1HM","125.95","607.15","612.66",""
"Leo Collard","C1HM","126.82","841.68","623.63",""
"Tanguy Malingre","C1HM","140.04","1190.32","790.16",""
"Hugo Humbrecht","C1HM","154.51","-","972.43",""
"Constant Jeandon","C1HM","166.93","1282.04","1128.89",""
"Raphael Benmimoune","C1HM","227.65","-","1893.79",""
"Marlene Dumoulin-Sarah Rothenbuhler","C2D","170.2","989.08","757.78",""
"Lou-anne Cointin-Maurine Laugel","C2D","188.78","950.39","946.81",""
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","110.78","-","358.14",""
"Hugo Latimier-Eludes Houillon","C2H","112.0","322.24","372.81",""
"Mathieu Biazizzo-Antoine Runet","C2H","113.49","-","390.73",""
"Jeancharles Reby-Gregory Ganthier","C2H","114.11","392.41","398.18",""
"Philippe Thevenin-Olivier Urbain","C2H","115.43","378.68","414.05",""
"Lucas Galmiche-Erwan Rouch","C2H","119.28","-","460.35",""
"Thibault Blaise-Yann Becker","C2H","122.13","-","494.62",""
"Leo Collard-Thomas L'huillier","C2H","126.37","-","545.61",""
"Titouan Auriol-Dyclan Plessis","C2H","129.57","633.03","584.08",""
"Loric Bertrand Delorme-Pierre Biagui","C2H","147.69","753.08","801.97",""
"Alexis Sevrez-Louis Gasser","C2H","199.27","-","1422.19",""
"Theophile Didierjean-Stanislas Ledore","C2HM","149.18","1198.79","819.88",""
"Christophe Billaud-Elodie Delavelle","C2M","122.7","360.84","378.52",""
"Sophie Colbus-Johann Thevenin","C2M","126.87","481.31","424.49",""
"Christine Poix-Emmanuel Del Rey","C2M","128.7","487.44","444.66",""
"Maeva Auriol-Charles Billon","C2M","160.86","688.4","799.14",""
"Gaelle Aumer-Olivier Urbain","C2M","161.36","775.42","804.65",""
"Fanchon Janssen","K1D","101.96","119.89","219.54",""
"Joana Palermo","K1D","102.08","112.12","220.94",""
"Sophie Colbus","K1D","107.55","332.67","284.97",""
"Alexane Galmiche","K1D","109.02","266.62","302.18",""
"Angelique Guilcher","K1D","109.44","272.61","307.09",""
"Charlotte Abba","K1D","109.94","-","312.95",""
"Claire Gaigeot","K1D","110.87","144.79","323.83",""
"Elise Pierron","K1D","111.34","199.47","329.33",""
"Marie Hilger","K1D","112.45","311.72","342.33",""
"Julia Budzinski","K1D","114.21","399.85","362.93",""
"Justine Clerc","K1D","115.37","406.76","376.5",""
"Alicia Gallot","K1D","115.43","336.82","377.2",""
"Margot Perrin","K1D","115.58","422.79","378.96",""
"Elodie Delavelle","K1D","117.36","321.81","399.79",""
"Jeanne Bernard","K1D","117.59","432.37","402.49",""
"Maeva Auriol","K1D","120.47","441.98","436.21",""
"Lou-anne Cointin","K1D","120.95","498.72","441.81",""
"Jade Robin","K1D","122.92","401.81","464.88",""
"Marilyn Giroux","K1D","123.8","402.86","475.19",""
"Emma Vaubourg","K1D","128.59","465.07","531.24",""
"Maurine Laugel","K1D","129.23","544.14","538.74",""
"Sarah Rothenbuhler","K1D","133.4","604.66","587.55",""
"Marlene Dumoulin","K1D","136.75","447.81","626.76",""
"Heloise Stemmelen","K1D","137.34","696.1","633.67",""
"Maude Dominique","K1D","140.8","655.52","674.17",""
"Nathalie Latimier Ragot","K1D","143.79","-","709.17",""
