"Sélectif Régional de Slalom - Bassin De Servon sur vilaine (la Mecque-1) - Qualification - 2016-10-16","Qualification","2016-10-16","Régional","228"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Camille Prigent","C1D","120.67","168.71","276.54",""
"Anais Bernardy","C1D","127.53","224.73","345.62",""
"Anne Boixel","C1D","128.98","415.66","360.22",""
"Agathe Chaumet","C1D","134.69","369.88","417.73",""
"Alice Azam","C1D","135.75","362.77","428.4",""
"Anais Pignet","C1D","140.34","406.74","474.62",""
"Sarah Despres","C1D","143.77","387.16","509.16",""
"Sarah Lyphout","C1D","144.33","-","514.8",""
"Laetitia Odermatt","C1D","146.76","-","539.27",""
"Jann Le Corre","C1D","153.51","527.89","607.25",""
"Camille Castryck","C1DM","146.35","-","535.14",""
"Alexis Bobon","C1H","104.27","196.78","261.39",""
"Corentin Oulhen","C1H","105.58","143.52","276.47",""
"Maxime Perron","C1H","107.84","169.97","302.48",""
"Yves Bourhis","C1H","109.03","101.27","316.18",""
"Hugo Robin","C1H","111.39","175.24","343.34",""
"Aurelien Ballandras","C1H","115.42","300.37","389.72",""
"Thomas Launay","C1H","118.22","204.24","421.94",""
"Paskal Cloarec","C1H","119.67","-","438.62",""
"Theo Foucher","C1H","120.56","300.98","448.87",""
"Samuel Vallienne","C1H","122.67","447.88","473.16",""
"Ludovic Roye","C1H","122.79","353.44","474.54",""
"Timothee Cornu","C1H","122.85","397.76","475.23",""
"Paul Gestin","C1H","123.48","-","482.48",""
"Yoann Bizot","C1H","123.73","371.66","485.35",""
"Lubin Huet","C1H","124.16","363.97","490.31",""
"Vincent Froger","C1H","124.97","-","499.63",""
"Aurelien Daridan","C1H","126.71","-","519.65",""
"Nicolas Bernardy","C1H","126.74","283.57","520",""
"Timothee Le Mort","C1H","127.8","495.62","532.19",""
"Johann Loiseau","C1H","128.13","352.41","536",""
"Arthur Mizzi","C1H","128.61","-","541.52",""
"Martin Braud","C1H","129.28","-","549.23",""
"Thomas Salch","C1H","130.74","-","566.03",""
"Brieg Le Paih","C1H","133.94","-","602.86",""
"Louis Beaumois","C1H","140.32","-","676.29",""
"Killian Flegeau","C1H","140.67","-","680.31",""
"Yannick Courtay","C1H","142.62","631.12","702.76",""
"Regis Navinel-dubois","C1H","143.87","-","717.14",""
"Simon Cognard","C1H","146.97","-","752.82",""
"Yohan Dupont","C1H","147.55","-","759.5",""
"Florian Lohezic","C1H","147.63","-","760.42",""
"Clement Collardez","C1H","148.18","-","766.75",""
"Loan Queffelec","C1H","150.73","605.68","796.09",""
"Thibaut Perroteau","C1H","Abs","-","-",""
"Melaine Pichard","C1H","Abs","-","-",""
"Terence Saramandif","C1HM","117.83","316.63","417.45",""
"Glen Le Meur","C1HM","132.71","700.4","588.7",""
"Mewen Debliquy","C1HM","138.62","730.57","656.72",""
"Romain Bruneau","C1HM","140.19","545.53","674.79",""
"Alexis Carpentey","C1HM","141.73","1068.05","692.52",""
"GaËtan De Greef","C1HM","142.01","-","695.74",""
