"Sélectif Régional de Slalom - Moulin La Ville Guingamp - Finale","Moulin La Ville Guingamp","Finale","finale","2016-10-16","Régional","128"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Estelle Hellard","C1D","130.72","281.73","348.84","finale a"
"Marion Grangeon","C1D","134.84","411.78","391.79","finale a"
"Morgane Quemerais","C1D","137.97","404.76","424.4","finale a"
"Pauline Richard","C1D","155.9","-","611.25","finale a"
"Clara Grangeon","C1DM","143.19","617.52","478.8","finale a"
"Jean Pierre Bourhis","C1H","109.78","120.12","294.06","finale a"
"Alan Mahe","C1H","111.73","333.59","317.29","finale a"
"Matheo Lebaindre","C1H","112.57","358.22","327.3","finale a"
"Thibault De La Buharaye","C1H","113.54","-","338.84","finale a"
"Malo Quemeneur","C1H","113.97","265.88","343.97","finale a"
"Youn Aubry","C1H","114.02","330.95","344.55","finale a"
"Solen Le Bourles","C1H","115.65","-","363.97","finale a"
"Philippe Quemerais","C1H","116.94","255.08","379.33","finale a"
"Luc Hellard","C1H","117.25","257.39","383.03","finale a"
"Julien Rocaboy","C1H","118.88","401.47","402.44","finale a"
"Jules Roos","C1HM","128.32","1071.04","514.87","finale a"
"Marin Salmon","C1HM","131.44","-","552.03","finale a"
"Thomas Ollivo","C1HM","134.97","609.95","594.07","finale a"
"Gwenole Noyalet","C1HM","136.53","-","612.65","finale a"
"Simon Rolland","C1HM","137.37","668.03","622.66","finale a"
"Maxime Rannou","C1HM","147.97","-","748.9","finale a"
"Gaetan Le Jeune","C1HM","148.22","-","751.87","finale a"
"Pauline Richard-Christine Le Gall","C2D","179.3","-","711.37","finale a"
"Clara Grangeon-Clara Marcovich","C2DM","194.93","-","861.72","finale a"
"Malo Querre-Thomas Floch","C2H","149.48","937.78","685.96","finale a"
"Ewen Berrest-Yannis Houze","C2HM","144.56","-","630.02","finale a"
"Gaetan Le Jeune-Maxime Rannou","C2HM","163.53","-","845.69","finale a"
"Oscar Donval-Tom Seguillon","C2HM","177.85","-","1008.48","finale a"
"Adrien Le Collinet-Alexandra Rochard","C2MM","181.31","-","876.05","finale a"
"Eva Marchand-Marin Salmon","C2MM","182.63","-","889.8","finale a"
