"Sélectif Régional Slalom (Double) - Isle De La Serre (sault Brénaz) - Course n°2 | Qualification","Isle De La Serre (sault Brénaz)","Course n°2 | Qualification","qualif","2016-10-30","Régional","283"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lucie Prioux","C1D","102.9","71.45","125.4",""
"Tifenn Primet","C1D","118.82","279.96","296.04",""
"Caoimhe O'ferrall","C1D","122.51","-","335.59",""
"Manon Prioux","C1D","125.9","363.06","371.93",""
"Camille Berson","C1D","135.51","504.42","474.92",""
"Alice Evlachev","C1D","137.62","517.15","497.54",""
"Carine Chapuis","C1D","146.32","-","590.79",""
"Baptiste Delaplace","C1H","91.93","90.3","148.58",""
"Sebastien De Kerleau","C1H","93.26","75.26","164.87",""
"Antoine Roux","C1H","96.25","109.76","201.5",""
"Eloi Seemann","C1H","99.04","244.55","235.68",""
"Armand Rakowski","C1H","100.0","292.95","247.44",""
"Matthieu Le Gall","C1H","101.22","241.32","262.38",""
"Maxime Bottex","C1H","101.36","300.78","264.1",""
"Timothee Olla","C1H","102.3","289.84","275.61",""
"Renaud Doby","C1H","102.47","167.12","277.69",""
"Frederic Momot","C1H","102.97","319.73","283.82",""
"Camille Fleuret","C1H","103.45","328.47","289.7",""
"Jan Pischek","C1H","103.78","311.18","293.74",""
"Nicolas Baudoin","C1H","104.67","353.81","304.64",""
"Benjamin Jacon","C1H","105.15","237.68","310.52",""
"Frederic Amalbert","C1H","105.91","363.84","319.84",""
"Gurgen Brun","C1H","106.35","298.43","325.22",""
"Martin Daviet","C1H","106.36","216.18","325.34",""
"Stephane Abadie","C1H","107.04","327.45","333.67",""
"Gauthier Gonseth","C1H","107.37","251.4","337.71",""
"Maxime Vallin","C1H","107.92","300.01","344.45",""
"Nikolas Stanik","C1H","108.23","360.6","348.25",""
"Patrice Campioni","C1H","108.38","420.56","350.09",""
"Alexis Mercoirol","C1H","109.11","356.39","359.03",""
"Guillaume Carbon","C1H","109.44","363.82","363.08",""
"LÉo Le Moigne","C1H","109.83","372.88","367.85",""
"Nil Georgel","C1H","109.96","330.3","369.44",""
"Olivier Barriere","C1H","110.26","339.46","373.12",""
"Gaspard Perrio","C1H","110.86","404.93","380.47",""
"Raphael Lassechere","C1H","110.93","376.6","381.33",""
"Arthur Perez","C1H","111.71","429.64","390.87",""
"Jean Marc Trenchant","C1H","112.19","403.84","396.76",""
"Alexandre Georgel","C1H","112.42","412.13","399.58",""
"Enzo Guillarme","C1H","115.91","461.26","442.32",""
"Thomas Denais","C1H","116.78","-","452.98",""
"Guillaume Gonseth","C1H","118.76","416.85","477.24",""
"Karl Bouthegourd","C1H","120.82","456.14","502.48",""
"Lucas Barriere","C1H","121.03","-","505.05",""
"Nicolas Detheve","C1H","121.52","-","511.04",""
"Matthis Fradin","C1H","122.78","532.67","526.48",""
"Loic Bourgeois","C1H","123.97","466.96","541.06",""
"Valentin Lacor","C1H","125.08","659.16","554.66",""
"Simon Del Negro","C1H","128.46","599.75","596.06",""
"Quentin Laplace","C1H","131.44","680.1","632.56",""
"Paul Farrugio","C1H","138.23","683.13","715.74",""
"Angelino Castagnetti","C1H","138.4","638.76","717.82",""
"Maxime Kabir","C1H","167.04","374.26","1068.65",""
"Maxence Merpillat","C1H","172.05","-","1130.01",""
"Jules Silvin","C1H","180.93","408.43","1238.78",""
"Loic Trenchant","C1HM","109.77","483.42","367.12",""
"Gabin Siau","C1HM","117.04","417.37","456.17",""
"Enki Georgel","C1HM","127.39","577.42","582.95",""
"Aurelien Merieux Danneaux","C1HM","128.81","589.12","600.34",""
"Gino Benini","C1HM","148.48","-","841.3",""
"Edouard Chenal","C1HM","161.31","1334.24","998.46",""
"Antonin Robert","C1HM","214.94","1303.1","1655.4",""
"Manon Prioux-Lucie Prioux","C2D","150.32","-","509.73",""
"Tifenn Primet-Alice Evlachev","C2D","153.48","898.95","541.0",""
"Marie Juquelier-Lea Ferraris","C2D","155.39","769.03","559.89",""
"Antoine Roux-Gurgen Brun","C2H","102.56","127.74","221.69",""
"Stephane Abadie-Sebastien De Kerleau","C2H","108.51","307.69","291.26",""
"Gaspard Perrio-LÉo Le Moigne","C2H","111.39","316.62","324.94",""
"Nicolas Detheve-Nil Georgel","C2H","113.02","297.11","343.99",""
"Nicolas Baudoin-Benjamin Jacon","C2H","113.88","-","354.05",""
"Guillaume Carbon-Maxime Vallin","C2H","118.3","435.7","405.73",""
"Maxence Merpillat-Raphael Lassechere","C2H","123.19","432.96","462.91",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","124.73","384.1","480.92",""
"Teo Bouvier-Hugo Martin -laemle","C2H","126.62","476.51","503.02",""
"Corentin Talancieux-Louis Mazoyer","C2H","127.02","-","507.7",""
"Erwan Degreve-Kilian Godart","C2H","141.97","617.96","682.5",""
"Titouan Auriol-Dyclan Plessis","C2H","143.64","497.46","702.03",""
"Frederic Momot-Jean Philippe Winiarski","C2H","164.72","524.07","948.5",""
"Gabin Siau-Djendy Simeant","C2HM","134.77","673.49","598.31",""
"Benjamin Jacon-Lucie Prioux","C2M","119.33","675.14","301.5",""
"Valentin Vibert-Laura Rocher","C2M","124.9","297.81","361.2",""
"Manon Prioux-Antoine Roux","C2M","125.59","242.84","368.6",""
"Anneline Triomphe","K1D","100.28","145.24","163.9",""
"Lucie Prioux","K1D","101.17","95.55","174.03",""
"Caroline Bourry","K1D","102.13","145.01","184.96",""
"Marie Borlet","K1D","106.35","272.61","232.99",""
"Eva Pietracha","K1D","107.36","289.77","244.49",""
"Julie Labarelle","K1D","107.74","175.83","248.81",""
"Manon Prioux","K1D","108.77","196.67","260.54",""
"Alina Rassel","K1D","109.34","300.73","267.03",""
"Phenicia Dupras","K1D","109.36","312.35","267.25",""
"Laura Rocher","K1D","110.52","263.43","280.46",""
"Meryl Steinmann","K1D","110.85","257.83","284.21",""
"Amaurie Guilleret","K1D","111.52","274.7","291.84",""
"Sabine Kleinhenz","K1D","112.76","334.89","305.95",""
"Marie Juquelier","K1D","113.65","307.79","316.08",""
"Louane Chenal","K1D","115.15","404.27","333.16",""
"Zoe Bruchon","K1D","117.22","286.62","356.72",""
"Alice Evlachev","K1D","117.66","271.89","361.73",""
"Oceane Dorval","K1D","118.29","459.4","368.89",""
"Marion Pasquali","K1D","121.06","328.26","400.43",""
"Carine Chapuis","K1D","123.39","294.32","426.95",""
"Tifenn Primet","K1D","123.93","364.22","433.1",""
"Elke Saragas","K1D","124.68","421.78","441.63",""
"Emma Miton","K1D","124.99","482.53","445.16",""
"Caoimhe O'ferrall","K1D","126.24","-","459.39",""
"Juliette Rousset","K1D","127.05","395.47","468.61",""
"Jocelyne Roupioz","K1D","130.4","509.91","506.73",""
"Maeva Auriol","K1D","130.62","396.15","509.24",""
"Camille Berson","K1D","131.15","462.9","515.27",""
"Clara Gache","K1D","131.97","528.89","524.61",""
"Lea Ferraris","K1D","135.34","607.42","562.97",""
"Sarah Monod","K1D","136.78","616.36","579.35",""
"Elise Carbon","K1D","142.15","672.36","640.47",""
"Nathalie Chapuis","K1D","150.19","-","731.98",""
"Juliette Ribault","K1D","154.04","856.95","775.82",""
"Laura Maurilieras","K1D","184.08","-","1117.74",""
"Clara Jannic","K1D","189.74","525.4","1182.15",""
"Kesia Georgel","K1DM","127.46","538.79","473.27",""
"Anouk Alberti","K1DM","128.22","489.22","481.92",""
"Solen Friconneau","K1DM","140.37","408.47","620.21",""
"Ilona Martin -laemle","K1DM","141.08","390.33","628.3",""
"Adeline Roux","K1DM","160.82","586.42","852.99",""
"Cendres Le Floch","K1DM","237.16","1948.49","1721.91",""
"Benjamin Travostino","K1H","85.09","36.75","116.91",""
"Martin Daviet","K1H","86.44","68.43","134.28",""
"Kevin Schultz","K1H","87.06","102.11","142.25",""
"Gurgen Brun","K1H","87.13","72.8","143.15",""
"Benjamin Jacon","K1H","87.71","84.75","150.61",""
"Maxime Bottex","K1H","87.77","106.71","151.38",""
"Matthieu Le Gall","K1H","88.57","163.46","161.67",""
"Nicolas Baudoin","K1H","89.46","105.65","173.12",""
"Maxence Barouh","K1H","91.29","241.72","196.66",""
"Renaud Doby","K1H","91.76","75.84","202.7",""
"Kawan Thomas","K1H","92.66","182.36","214.28",""
"Pierre Grapotte","K1H","93.03","171.01","219.04",""
"Valentin Vibert","K1H","93.2","249.93","221.22",""
"Antoine Roux","K1H","93.47","148.68","224.7",""
"Jonathan Chapatte","K1H","94.27","192.55","234.98",""
"Robin Pilard","K1H","94.61","231.88","239.36",""
"Raphael Lassechere","K1H","95.49","211.88","250.68",""
"Samuel Bonella","K1H","96.19","210.73","259.68",""
"Thomas Sicre","K1H","96.6","-","264.95",""
"Raphael Olla","K1H","96.86","212.57","268.3",""
"Louis Masson","K1H","97.47","196.07","276.14",""
"Bertrand Bercon","K1H","97.53","234.26","276.91",""
"Axel Guilleret","K1H","97.63","501.47","278.2",""
"Erwan Cadio","K1H","99.11","288.02","297.24",""
"Jean Philippe Roche","K1H","99.44","244.65","301.48",""
"Henri Bergognon","K1H","99.73","242.46","305.21",""
"Tom Zanfini","K1H","99.97","325.76","308.3",""
"Maxence Merpillat","K1H","100.2","262.17","311.26",""
"Nikolas Stanik","K1H","100.33","357.29","312.93",""
"Nicolas Detheve","K1H","100.33","291.53","312.93",""
"Nayl Tazi-sidqui","K1H","100.37","326.2","313.44",""
"Nino Chailan","K1H","100.53","418.57","315.5",""
"Axel Sleebus","K1H","100.8","245.19","318.97",""
