"Championnat Regional Alsace - Parc Des Eaux Vives Huningue - Finale - 2016-11-06","Finale","2016-11-06","Régional","139"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caoimhe O'ferrall","C1D","113.61","290.65","262.94","Finale A"
"Thais Francois","C1D","120.23","412.46","333.77","Finale A"
"Tifenn Primet","C1D","123.25","269.36","366.08","Finale A"
"Auregane Philip","C1D","128.87","391.58","426.21","Finale A"
"Lolita Seguy","C1DM","145.02","570.77","599","Finale A"
"Alain Schirmann","C1H","97.8","257.07","243.27","Finale A"
"Simon Werro","C1H","101.8","-","292.18","Finale A"
"Jules Chaumet","C1H","103.37","221.19","311.38","Finale A"
"Jan Pischek","C1H","104.68","288.35","327.4","Finale A"
"Gilles Schweitzer","C1H","108.08","332.39","368.97","Finale A"
"Xavier Sucker","C1H","109.16","-","382.18","Finale A"
"Adrien Fischer","C1H","115.95","259.71","465.21","Finale A"
"Claude Menissier","C1H","116.48","413.07","471.68","Finale A"
"Laurent Starck","C1H","118.94","445.79","501.76","Finale A"
"Jonathan Chapatte","C1H","119.07","458.62","503.35","Finale A"
"Jean-baptiste Wolff","C1H","121.64","458.51","534.78","Finale A"
"Anthony Ulrich","C1H","124.2","586.36","566.08","Finale A"
"Kyle Gelb","C1H","125.38","565.99","580.51","Finale A"
"Loic Trenchant","C1HM","116.52","400.31","472.16","Finale A"
"Loann Delle Dananchet","C1HM","133.17","717.32","675.76","Finale A"
"Anthony Menissier","C1HM","134.97","-","697.77","Finale A"
"Laurel Hartmann","C1HM","161.73","917.76","1024.98","Finale A"
"Auregane Philip-Thais Francois","C2D","144.56","-","475.1","Finale A"
"Lukas Werro-Simon Werro","C2H","98.21","147.28","193.7","Finale A"
"Gilles Schweitzer-Loic Sieber","C2H","111.8","416.27","352.31","Finale A"
"Xavier Sucker-Jean-baptiste Wolff","C2H","131.44","-","581.55","Finale A"
"Titouan Auriol-Dyclan Plessis","C2H","139.85","497.46","679.7","Finale A"
"Maeva Auriol-Charles Billon","C2M","291.44","642.45","2165.55","Finale A"
"Thais Francois","K1D","108.35","303.21","278.48","Finale A"
"Andrea Gratwohl","K1D","109.1","181.63","287","Finale A"
