"Sélectif Régional de Slalom - Ile De Pont Authou - Qualification - 2016-11-06","Ile De Pont Authou","Qualification","qualif","2016-11-06","Régional","185"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Leontine Dubuisson","C1D","139.14","468.55","517.9",""
"Melina Letellier","C1D","155.68","610.89","693.58",""
"Theodora Seemann","C1D","157.02","656.7","707.82",""
"Eloise Riviere","C1D","168.18","-","826.35",""
"Clemence Douche","C1D","173.65","949.36","884.45",""
"Anna Dufay Leneveu","C1D","279.16","-","2005.13",""
"Marie Claude Lamoureux","C1D","289.63","3096.69","2116.34",""
"Mylene Despres","C1DM","148.96","809.54","622.2",""
"Gabrielle Kugler","C1DM","204.78","-","1215.1",""
"Eloi Seemann","C1H","107.55","234.43","345.57",""
"Xavier Jourdain","C1H","108.52","267.59","357.33",""
"Benoit Letellier","C1H","109.02","-","363.41",""
"Lorrie Delattre","C1H","109.55","314.03","369.83",""
"Eric Beaumont","C1H","112.4","360.93","404.44",""
"Mickael Louchard","C1H","112.68","490.23","407.83",""
"Benjamin Soroka","C1H","113.34","387.58","415.85",""
"Benjamin Thiboust","C1H","113.52","441.95","418.03",""
"Teddy Poulard","C1H","114.71","340.57","432.48",""
"Gaspard Perrio","C1H","115.62","395.39","443.52",""
"Guillaume Doutreix","C1H","116.11","338.71","449.47",""
"Quentin Mannier","C1H","117.43","428.29","465.49",""
"Jeremy Bretteville","C1H","119.9","472.95","495.47",""
"Lucas Walbreq","C1H","121.74","615.3","517.81",""
"Louis Bouclier","C1H","122.02","241.68","521.22",""
"Matthis Fradin","C1H","124.93","521.38","556.54",""
"Antoine Martin","C1H","125.27","543.88","560.67",""
"Marceau Decarsin","C1H","126.78","652.65","578.99",""
"Louis Marescot","C1H","126.93","981.67","580.82",""
"Theo Moalic","C1H","127.46","666.39","587.24",""
"Simon Dubosc","C1H","128.08","877.56","594.77",""
"Geoffroy Lauth","C1H","128.21","570.46","596.35",""
"Yohan Marck","C1H","130.05","550.89","618.69",""
"Samuel Bonvalet","C1H","130.71","644.14","626.7",""
"Thomas Martinet","C1H","130.99","709.59","630.09",""
"Romain Bouillon","C1H","131.87","-","640.77",""
"Quentin Angot","C1H","133.78","538.52","663.97",""
"Nicolas Candieu","C1H","136.58","645.27","697.95",""
"Donatien Lamoureux","C1H","136.65","710.49","698.81",""
"Benjamin Meziere","C1H","141.84","-","761.81",""
"Sebastien Masseline","C1H","147.37","722.91","828.93",""
"Yves Boudon","C1H","149.4","-","853.58",""
"Dante Bourlet De La Vallee","C1H","170.11","-","1104.98",""
"Isidore Dubuisson","C1H","179.55","689.67","1219.56",""
"Axel Kottelanne","C1H","234.11","949.77","1881.87",""
"Fabien Bonvalet","C1HM","127.46","838.38","587.24",""
"Teo Durand","C1HM","144.78","-","797.5",""
"Dimitri Houlier","C1HM","149.46","-","854.31",""
"Loan Guyomarch","C1HM","185.96","-","1297.38",""
"Chloe Gatuingt-Alize Bachelot","C2D","158.99","-","598.84",""
"Mylene Despres-Margaux Fabijan","C2DM","154.02","-","550.11",""
"Gabrielle Kugler-Julianne Brosse","C2DM","179.21","-","797.09",""
"Eloi Seemann-Anthony Mottais","C2H","113.62","-","356.55",""
"Xavier Jourdain-Benoit Letellier","C2H","113.93","-","360.15",""
"Teddy Poulard-Benjamin Soroka","C2H","118.21","-","409.74",""
"Simon Dubosc-Quentin Angot","C2H","124.93","481.03","487.61",""
"Theo Moalic-Marceau Decarsin","C2H","125.24","625.46","491.2",""
"Lucas Jacob-Benoit Guernic","C2H","127.05","453.27","512.17",""
"Louison Laumondais-Charles Bre","C2H","128.08","-","524.1",""
"Nicolas Dupres-Eric Beaumont","C2H","128.74","578.63","531.75",""
"Jeremy Bretteville-Guillaume Doutreix","C2H","130.11","556.84","547.63",""
"Thomas Martinet-Lucas Walbreq","C2H","130.99","619.05","557.82",""
"Antoine Martin-Romain Bouillon","C2H","143.27","678.21","700.11",""
"Benjamin Meziere-Louis Marescot","C2H","149.58","-","773.23",""
"Nicolas Candieu-Niels Beaumont","C2H","150.37","-","782.38",""
"Clement Font-boinel-Alexis Pitres","C2H","154.87","-","834.52",""
"Tom Allio-Estephe Decarsin","C2HM","163.05","-","929.3",""
"Fabien Bonvalet-Mathis Pomares","C2HM","164.37","-","944.6",""
"Teo Durand-Loan Guyomarch","C2HM","164.4","-","944.95",""
"Hugo Lecointe-Leo Leveque","C2HM","168.52","-","992.69",""
"Mathias Felix-Clement Hamel","C2HM","173.21","-","1047.04",""
"Isaac Bowring-Steven Vannier","C2HM","262.96","-","2086.99",""
"Theodora Seemann-Eloi Seemann","C2M","126.93","379.32","388.21",""
"Benoit Letellier-Melina Letellier","C2M","130.18","-","422.73",""
"Alize Bachelot-Guillaume Doutreix","C2M","139.02","-","516.63",""
"Quentin Angot-Leontine Dubuisson","C2M","142.58","686.98","554.45",""
"Geoffroy Lauth-Rachel Broin","C2M","144.18","618.33","571.44",""
"Anne Lambert-Louison Laumondais","C2M","146.18","660.98","592.68",""
"Clement Font-boinel-Anna Dufay Leneveu","C2M","151.84","-","652.79",""
"Quentin Mannier-Chloe Gatuingt","C2M","155.08","-","687.21",""
"Teddy Poulard-Sandra Poulard","C2M","161.49","-","755.3",""
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","163.74","-","779.19",""
"Damien Jacques-Laetitia Pelcat","C2M","165.49","1006.12","797.78",""
"Eve Goicoechea-Jeremy Bretteville","C2M","175.3","-","901.98",""
"Marion Matura-Pierre Sotto","C2M","257.55","2145.29","1775.6",""
"Lison Gautrelet-Dimitri Houlier","C2MM","169.21","-","837.29",""
"Thomas Leblond-Elza Horlock","C2MM","195.81","-","1119.83",""
"Dorine Mouillard-Clement Hamel","C2MM","233.34","2554.19","1518.46",""
"Chloe Gatuingt","K1D","121.37","314.04","409.02",""
"Alize Bachelot","K1D","122.71","461.11","424.13",""
"Leontine Dubuisson","K1D","124.81","345.97","447.81",""
"Theodora Seemann","K1D","140.78","639.24","627.95",""
"Ninon Ladam","K1D","140.87","-","628.97",""
"Eloise Riviere","K1D","145.05","570.48","676.12",""
"Anne Lambert","K1D","151.46","568.61","748.41",""
"Dominique Badie-kallou","K1D","151.65","-","750.57",""
"Marion Matura","K1D","153.02","772.54","766.02",""
"Daphnee Mouchelet","K1D","153.96","736.56","776.62",""
"Melanie Brunet","K1D","171.46","948.89","974.02",""
"Margaux Fabijan","K1DM","124.34","514.88","442.51",""
"Lison Gautrelet","K1DM","126.9","596.89","471.39",""
"Mylene Despres","K1DM","137.08","689.43","586.22",""
"Marine Calenda","K1DM","145.34","662.16","679.38",""
"Julianne Brosse","K1DM","149.99","-","731.84",""
"Elza Horlock","K1DM","150.34","-","735.78",""
"Dorine Mouillard","K1DM","165.4","-","905.66",""
"Albertine Binard","K1DM","168.24","1468.47","937.69",""
"Barbara Bethembos","K1DM","276.05","-","2153.74",""
"Benjamin Thiboust","K1H","93.21","183.21","228.06",""
"Xavier Jourdain","K1H","94.21","177.27","240.81",""
"Anthony Mottais","K1H","96.55","222.03","270.63",""
"Yohan Marck","K1H","98.74","257.14","298.55",""
"Lucas Jacob","K1H","101.4","268.35","332.45",""
"Mickael Louchard","K1H","101.4","380.13","332.45",""
"Baptiste Brunet","K1H","106.43","343.75","396.56",""
"Romain Bouillon","K1H","107.65","407.81","412.11",""
"Marceau Decarsin","K1H","107.71","418.11","412.88",""
"Clement Font-boinel","K1H","108.34","342.55","420.91",""
"Florian Pean","K1H","108.55","-","423.58",""
"Benjamin Soroka","K1H","108.58","376.07","423.97",""
"Guillaume Doutreix","K1H","108.93","319.97","428.43",""
