"Sélectif Régional de slalom - Sev Vinon Sur Verdon - Course n°1 | Finale - 2016-11-19","Course n°1 | Finale","2016-11-19","Régional","106"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marion Delorme","C1D","148.5","397.61","463.93","Course n°1 | Finale A"
"Camille Berson","C1D","149.13","452.99","470.05","Course n°1 | Finale A"
"Julie Fauroux","C1D","156.17","521.94","538.43","Course n°1 | Finale A"
"Denis Gargaud","C1H","107.67","17.57","216.78","Course n°1 | Finale A"
"Thomas Levert","C1H","110.86","241.83","252.18","Course n°1 | Finale A"
"Adrien Fischer","C1H","114.84","259.71","296.35","Course n°1 | Finale A"
"Ronan Cordier","C1H","119.16","359.69","344.31","Course n°1 | Finale A"
"Baptiste Tappero","C1H","124.94","325.29","408.46","Course n°1 | Finale A"
"Maxime Kabir","C1H","125.03","374.26","409.46","Course n°1 | Finale A"
"Hugo Andre","C1H","125.92","401.19","419.34","Course n°1 | Finale A"
"Tanguy Adisson","C1HM","146.01","585.01","642.33","Course n°1 | Finale A"
"Robin Andre","C1HM","282.3","-","2155.06","Course n°1 | Finale A"
"Coralie Yebenes-Marion Delorme","C2D","168.31","484.1","530.58","Course n°1 | Finale A"
"Corentin Talancieux-Louis Mazoyer","C2H","146.41","514.07","572.9","Course n°1 | Finale A"
"Hugo Andre-Julie Fauroux","C2M","228.14","-","1237.4","Course n°1 | Finale A"
"Emilie Fer","K1D","109.76","12.23","153.72","Course n°1 | Finale A"
"Eva Pietracha","K1D","120.12","264.25","260.58","Course n°1 | Finale A"
"Julie Labarelle","K1D","122.13","183.1","281.31","Course n°1 | Finale A"
"Marion Delorme","K1D","129.14","309.45","353.6","Course n°1 | Finale A"
"Marion Pasquali","K1D","131.81","317.27","381.14","Course n°1 | Finale A"
"Coralie Yebenes","K1D","131.82","341.95","381.24","Course n°1 | Finale A"
"Julie Fauroux","K1D","135.74","309.98","421.67","Course n°1 | Finale A"
"Emma Ludwig","K1D","316.13","-","2282.14","Course n°1 | Finale A"
"Anouk Alberti","K1DM","148.24","474.09","550.59","Course n°1 | Finale A"
