"2ème Manche de la Coupe de France Nationale 1 Slalom - Cesson-Sévigné - Finale - 2017-02-26","Cesson-Sévigné","Finale","finale","2017-02-26","Nationale 1","145"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Jacquet","C1D","113.26","73.36","98.56","finale a"
"Lucie Baudu","C1D","114.69","86.22","110.78","finale a"
"Margaux Henry","C1D","117.19","109.66","132.13","finale a"
"Lucie Prioux","C1D","117.27","71.45","132.81","finale a"
"Camille Prigent","C1D","118.56","185.15","143.83","finale a"
"Cecile Tixier","C1D","120.38","112.4","159.38","finale a"
"Ella Bregazzi","C1D","123.16","129.46","183.11","finale a"
"Charlotte Abba","C1D","124.07","162.64","190.89","finale a"
"Azenor Philip","C1D","127.35","202.08","218.9","finale a"
"Thibaud Vielliard","C1H","101.2","57.03","119.04","finale a"
"Kilian Foulon","C1H","101.77","53.25","124.6","finale a"
"Thibault Blaise","C1H","101.88","63.44","125.67","finale a"
"Edern Le Ruyet","C1H","102.54","45.29","132.12","finale a"
"Simon Le Friec","C1H","102.65","54.43","133.19","finale a"
"Sebastien De Kerleau","C1H","103.3","75.26","139.53","finale a"
"Jonathan Marc","C1H","103.38","48.64","140.31","finale a"
"Jean Pierre Bourhis","C1H","103.87","130.68","145.1","finale a"
"Thomas Koechlin","C1H","104.59","72.15","152.12","finale a"
"Tom Maffeis","C1H","110.41","111.81","208.93","finale a"
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","106.81","68.53","126.41","finale a"
"Lukas Werro-Simon Werro","C2H","111.36","147.28","168.79","finale a"
"Antoine Roux-Gurgen Brun","C2H","112.05","127.74","175.23","finale a"
"Nicolas Labat-Christophe Marechal","C2H","115.88","293.54","210.91","finale a"
"Louison Turmeau-Thibaut Perroteau","C2H","121.05","237.38","259.08","finale a"
"Melenn Aubry-Alan Dollo","C2H","125.22","259.04","297.93","finale a"
"Camille Prigent-Malo Quemeneur","C2M","125.55","-","203.53","finale a"
"Melenn Aubry-Estelle Hellard","C2M","134.63","263.13","281.08","finale a"
"Camille Prigent","K1D","101.58","58.43","52.55","finale a"
"Lucie Baudu","K1D","102.01","53.05","56.45","finale a"
"Carole Bouzidi","K1D","105.52","18.23","88.29","finale a"
"Berenice Kolenc","K1D","106.81","73.92","99.99","finale a"
"Joana Palermo","K1D","107.34","111.89","104.79","finale a"
"Flora Huvelin","K1D","108.76","59.93","117.67","finale a"
"Estelle Hellard","K1D","109.32","132.9","122.75","finale a"
"Lea Turmeau","K1D","109.9","90.33","128.01","finale a"
"Solene Graille","K1D","112.49","73.53","151.5","finale a"
"Marie-zelia Lafont","K1D","156.6","11.68","551.57","finale a"
"Yves Prigent","K1H","87.22","50.59","25.15","finale a"
"Benoit Guillaume","K1H","87.91","35.46","32.22","finale a"
"Mathurin Madore","K1H","88.19","60.56","35.09","finale a"
"Pol Oulhen","K1H","89.55","44.89","49.03","finale a"
"Pierre Bourliaud","K1H","89.56","30.67","49.13","finale a"
"Thomas Bersinger","K1H","91.01","35.72","63.99","finale a"
"Sebastien Combot","K1H","91.38","14.87","67.78","finale a"
"Mathys Huvelin","K1H","92.9","58.25","83.36","finale a"
"Mathieu Desnos","K1H","93.38","45.51","88.28","finale a"
"Thibault Marchand","K1H","93.89","80.18","93.51","finale a"
"Fanchon Janssen","C1D","124.25","130.51","197.43","finale b"
"Angele Hug","C1D","125.0","213.74","203.83","finale b"
"Marjorie Delassus","C1D","126.67","117.74","218.09","finale b"
"Anne-lise Moisan-ehrwein","C1D","127.6","-","226.03","finale b"
"Laurine Naveau","C1D","128.06","143.51","229.97","finale b"
"Julia Budzinski","C1D","132.59","226.58","268.66","finale b"
"Anais Bernardy","C1D","135.01","235.87","289.32","finale b"
"Tiphaine Drouin","C1D","135.53","248.78","293.77","finale b"
"Lea Grison","C1D","137.95","220.28","314.43","finale b"
"Valentin Marteil","C1H","100.19","111.98","114.18","finale b"
"Lucas Roisin","C1H","100.69","86.94","119.06","finale b"
"Cedric Joly","C1H","100.86","52.92","120.72","finale b"
"Erwan Marchais","C1H","102.28","106.09","134.58","finale b"
"Yves Bourhis","C1H","103.48","103.09","146.29","finale b"
"Corentin Oulhen","C1H","103.88","147.88","150.19","finale b"
"Antoine Gaillard","C1H","106.09","117.98","171.77","finale b"
"Baptiste Le Poncin","C1H","106.37","124.75","174.5","finale b"
"Jason Brothier","C1H","107.82","121.3","188.66","finale b"
"Thomas Rosset","C1H","107.97","171.31","190.12","finale b"
"Emilien Kempf","C1H","108.76","116.76","197.83","finale b"
"Nicolas Ducrocq","C1H","109.53","178.94","205.34","finale b"
"Antoine Roux","C1H","109.94","109.76","209.35","finale b"
"Charly Chassigneux","C1H","109.95","144.57","209.44","finale b"
"Theo Roisin","C1H","110.51","150.63","214.91","finale b"
"Antoine Runet","C1H","110.78","83.57","217.55","finale b"
"Renaud Doby","C1H","111.46","175.11","224.18","finale b"
"Marc Biazizzo","C1H","112.43","163.25","233.65","finale b"
"Julien Pajaud","C1H","113.35","191.74","242.63","finale b"
"Yann Rivallant","C1H","113.78","150.76","246.83","finale b"
"Alexandre Paulais","C1H","116.22","153.73","270.65","finale b"
