"Sélectif Championnat National 2 Slalom - Stade D'eau Vive De Cesson - Finale - 2017-03-05","Finale","2017-03-05","Nationale 2","188"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Tiphaine Duboc","C1D","139.26","255.91","342.99","Finale A"
"Manon Durand","C1D","141.91","431.17","367.12","Finale A"
"Emilie Delahaye","C1D","144.21","311.62","388.08","Finale A"
"Agathe Chaumet","C1D","146.05","370.54","404.83","Finale A"
"Alice Azam","C1D","147.14","417.28","414.76","Finale A"
"Tifenn Primet","C1D","148.94","269.36","431.16","Finale A"
"Maxime Perron","C1H","106.98","199.27","188.2","Finale A"
"Alexis Bobon","C1H","108.78","188.7","206.93","Finale A"
"Mathurin Madore","C1H","110.94","198.89","229.41","Finale A"
"Gireg Hamoniaux","C1H","114.42","194.07","265.63","Finale A"
"Michael Philibert","C1H","114.52","241.42","266.68","Finale A"
"Marcantoine Hacquart","C1H","114.59","273.06","267.4","Finale A"
"Benoit Chantry","C1H","115.09","237.62","272.61","Finale A"
"Hugo Latimier","C1H","115.22","206.25","273.96","Finale A"
"Thomas Launay","C1H","115.51","211.89","276.98","Finale A"
"Hector Combes","C1H","116.33","224.05","285.51","Finale A"
"Yohann Senechault","C1H","117.62","264.99","298.94","Finale A"
"Xavier Jourdain","C1H","119.8","267.59","321.63","Finale A"
"Issam Chakir","C1H","121.34","216.98","337.66","Finale A"
"Alexandre Ghirardi","C1H","122.38","248.34","348.48","Finale A"
"Silvere Desongins","C1H","123.26","307.72","357.64","Finale A"
"Eloi Seemann","C1H","127.16","256.67","398.24","Finale A"
"Aaron Penning","C1H","129.38","312.47","421.34","Finale A"
"Gael Le Noc","C1H","135.1","187.19","480.88","Finale A"
"Charly Chassigneux-Fabien Tournadre","C2H","126.47","-","331.22","Finale A"
"Hugo Regnier-Arthur Mizzi","C2H","129.55","328.77","361.82","Finale A"
"Christian Boob-Frederic Boob","C2H","130.98","302.68","376.03","Finale A"
"Hector Combes-Alexandre Ghirardi","C2H","134.12","400.44","407.22","Finale A"
"Lucas Augu-Terence Saramandif","C2H","192.4","472.97","986.26","Finale A"
"Emilie Chamouleau-Christophe Marechal","C2M","137.89","279.38","330.51","Finale A"
"Nicolas Bernardy-Anais Bernardy","C2M","141.99","385.4","367.86","Finale A"
"Cedric Forgit-Marie Charbonneau","C2M","150.84","422.54","448.46","Finale A"
"Tiphaine Duboc","K1D","118.05","181.69","216.43","Finale A"
"Alice Azam","K1D","118.26","220.83","218.46","Finale A"
"Lise Vinet","K1D","121.42","-","249.02","Finale A"
"Anne Boixel","K1D","121.62","216.91","250.95","Finale A"
"Sarah Lyphout","K1D","122.85","279.8","262.85","Finale A"
"Angelique Guilcher","K1D","123.22","239.62","266.43","Finale A"
"Amaurie Guilleret","K1D","127.11","266.51","304.05","Finale A"
"Lucie Cecile","K1D","127.49","215.08","307.73","Finale A"
"Auregane Philip","K1D","128.06","289.82","313.23","Finale A"
"Emilie Delahaye","K1D","128.48","267.15","317.3","Finale A"
"Alexane Galmiche","K1D","129.06","230.61","322.91","Finale A"
"Marie Hilger","K1D","131.1","275.26","342.64","Finale A"
"Sophie Colbus","K1D","131.11","240.54","342.74","Finale A"
"Viviana Daille","K1D","132.71","167.86","358.21","Finale A"
"Coline Bertin","K1D","133.05","291.12","361.5","Finale A"
"Morgane Quemerais","K1D","136.42","236.16","394.1","Finale A"
"Emilie Chamouleau","K1D","139.49","275.69","423.78","Finale A"
"Elodie Delavelle","K1D","141.91","291.18","447.19","Finale A"
"Clothilde Le Louarn","K1D","144.33","320.1","470.6","Finale A"
"Rozenn Le Page","K1D","144.46","222.89","471.86","Finale A"
"Phenicia Dupras","K1D","180.29","273.88","818.39","Finale A"
"Pol Euzenes","K1H","97.91","125.58","144.74","Finale A"
"Theo Foucher","K1H","97.91","168.27","144.74","Finale A"
"Nicolas Feuillard","K1H","99.83","187.63","165.73","Finale A"
"Valentin Brindeau","K1H","100.77","149.15","176","Finale A"
"Fabien Tournadre","K1H","101.56","183.12","184.63","Finale A"
"Christophe Marechal","K1H","101.66","147.29","185.73","Finale A"
"Benjamin Thiboust","K1H","101.82","182.03","187.47","Finale A"
"Alan Mahe","K1H","102.56","210.42","195.56","Finale A"
"Florian Busson","K1H","102.9","205.14","199.28","Finale A"
"Joris Schaffner","K1H","102.92","229.65","199.5","Finale A"
"Anthony Thuillier","K1H","103.09","197.8","201.35","Finale A"
"Thibaud Lacour","K1H","103.16","191.64","202.12","Finale A"
"Matheo Lebaindre","K1H","103.31","175.68","203.76","Finale A"
"Anthony Drouhin","K1H","103.32","200.49","203.87","Finale A"
"Laurent Starck","K1H","103.74","172.61","208.46","Finale A"
"Lucas Galmiche","K1H","103.83","164.15","209.44","Finale A"
"Xavier Jourdain","K1H","105.31","181.27","225.62","Finale A"
"Corentin Monasse","K1H","106","220.8","233.16","Finale A"
"Simon Hene","K1H","106.35","219.63","236.98","Finale A"
"Jerome Olhagaray","K1H","106.52","171.08","238.84","Finale A"
"Erwan Rouch","K1H","106.75","224.64","241.35","Finale A"
"Pierre Audouin","K1H","107.45","237.66","249","Finale A"
"Steven Henry","K1H","107.57","258.67","250.32","Finale A"
"Johan De Mareuil","K1H","108.22","188.09","257.42","Finale A"
"Maxime Foucault","K1H","108.35","239.43","258.84","Finale A"
"Johann Loiseau","K1H","108.36","218.32","258.95","Finale A"
"Aaron Penning","K1H","108.51","175.18","260.59","Finale A"
"Herve Busson","K1H","109","226.22","265.94","Finale A"
"Nicolas Mevel","K1H","109.37","188.97","269.99","Finale A"
"Malo Legrand","K1H","109.37","199.89","269.99","Finale A"
"Anthony Mottais","K1H","109.52","214.02","271.63","Finale A"
"Nicolas Coudert","K1H","110.78","215.06","285.4","Finale A"
"Andreas Dupuy","K1H","110.93","249.7","287.04","Finale A"
"Hugo Simon","K1H","111","241.92","287.8","Finale A"
"Benjamin Harreau","K1H","111.48","243.03","293.05","Finale A"
"Jeanmichel Regnier","K1H","111.68","282.26","295.23","Finale A"
"Luc Hellard","K1H","112.44","221.3","303.54","Finale A"
"Julien Dosse","K1H","113.73","270.34","317.64","Finale A"
"Yann Zaepffel","K1H","115.17","246.31","333.38","Finale A"
"Aubry Bertin","K1H","117.48","242.63","358.62","Finale A"
"Samuel Lhegu","K1H","154.34","112.64","761.46","Finale A"
"Nathan Flageul","K1H","158.61","224.74","808.13","Finale A"
"Viviana Daille","C1D","153.81","338.23","480.51","Finale B"
"Auregane Philip","C1D","156.22","392.44","502.45","Finale B"
"Lucie Cecile","C1D","178.57","416.07","706","Finale B"
"Eva Dauvergne","C1D","226.11","384.84","1138.98","Finale B"
"Angelique Guilcher","C1D","Abs","-","-","Finale B"
"Melenn Aubry","C1H","121.61","253.52","345.47","Finale B"
"Philippe Quemerais","C1H","121.98","337.54","349.32","Finale B"
"Eludes Houillon","C1H","122.07","284.41","350.26","Finale B"
"Gaetan Le Henaff","C1H","123.13","268.83","361.29","Finale B"
"Louis Bouclier","C1H","123.7","243.77","367.23","Finale B"
"Ronan Gouzien","C1H","124.92","319.77","379.92","Finale B"
"Medhi Deguil","C1H","126.03","346.95","391.48","Finale B"
"Theo Foucher","C1H","126.91","300.98","400.64","Finale B"
"Nicolas Bernardy","C1H","127.38","302.96","405.52","Finale B"
"Lorrie Delattre","C1H","127.85","312.4","410.42","Finale B"
"Luc Hellard","C1H","128.16","337.51","413.64","Finale B"
"Camille Fleuret","C1H","128.52","320.48","417.39","Finale B"
"Cedric Forgit","C1H","128.99","318.91","422.29","Finale B"
"Julien Paulais","C1H","130.09","257.21","433.73","Finale B"
"Frederic Boob","C1H","130.59","330.35","438.93","Finale B"
"Terence Saramandif","C1H","133.49","316.63","469.12","Finale B"
"Christian Boob","C1H","141.47","348.05","552.18","Finale B"
"Alan Mahe","C1H","152.57","306.82","667.72","Finale B"
"Alexis Collin-Alexandre Mathis","C2H","134.16","335.35","412.63","Finale B"
"Emilien Kempf-Silvere Desongins","C2H","134.51","383.72","416.1","Finale B"
"Florian Busson-Alex Louveau","C2H","139.78","387.95","468.46","Finale B"
"Nicolas Coudert-Fabien Le Nechet","C2H","143.63","345.3","506.71","Finale B"
"Anthony Thuillier-Benjamin Thiboust","C2H","150.19","-","571.88","Finale B"
"Sophie Colbus-Johann Thevenin","C2M","155.68","386.68","497.53","Finale B"
"Christophe Billaud-Elodie Delavelle","C2M","158.64","369.64","524.5","Finale B"
"Tiphaine Drouin-Benjamin Harreau","C2M","164.02","433.03","573.49","Finale B"
"Lea Grison","K1D","126.01","268.51","298.41","Finale B"
"Camille Hurez","K1D","127.33","301.29","311.17","Finale B"
"Manon Durand","K1D","131.43","332.63","350.83","Finale B"
"Marion Grangeon","K1D","132.54","295.97","361.57","Finale B"
"Sophie Dupas","K1D","135.83","329.4","393.39","Finale B"
"Zoe Bruchon","K1D","136.92","274.16","403.93","Finale B"
"Jeanne Bernard","K1D","141.05","333.68","443.87","Finale B"
"Marianne Bercon","K1D","141.46","322.62","447.84","Finale B"
"Justine Clerc","K1D","142.36","318.04","456.54","Finale B"
"Tiphaine Drouin","K1D","144","351.07","472.41","Finale B"
"Maela Le Corre","K1D","144.72","344.78","479.37","Finale B"
"Adele Charlaigre","K1D","145.08","337.21","482.85","Finale B"
"Tifenn Primet","K1D","146.14","357.84","493.1","Finale B"
"Eva Dauvergne","K1D","146.66","308.49","498.14","Finale B"
"Lucie Bercon","K1D","147.09","367.65","502.29","Finale B"
"Leontine Dubuisson","K1D","150.3","342.15","533.34","Finale B"
"Sylviane Quemerais","K1D","150.4","376.43","534.3","Finale B"
"Ilhame Siraj","K1D","156.48","332.05","593.11","Finale B"
"Emma Jacob","K1D","161.31","363.73","639.82","Finale B"
"Jade Robin","K1D","168.3","312.63","707.42","Finale B"
"Alicia Gallot","K1D","211.96","295.12","1129.69","Finale B"
"Hugo Regnier","K1H","104.21","165.81","218.59","Finale B"
"David Mingasson","K1H","104.65","220.2","223.4","Finale B"
"Arthur Mizzi","K1H","104.66","224.1","223.51","Finale B"
"Yves Bourhis","K1H","104.74","215.52","224.39","Finale B"
"Nathan Boudaillez","K1H","105.09","243.96","228.21","Finale B"
"Lucas Jacob","K1H","106.82","240.74","247.12","Finale B"
"Lucas Augu","K1H","106.85","257.27","247.45","Finale B"
"Florient Tagnon","K1H","106.96","236.49","248.65","Finale B"
"Remi Vinet","K1H","107.37","188.76","253.13","Finale B"
"Clement Le Collinet","K1H","107.54","202.81","254.99","Finale B"
"Luca Dos Santos","K1H","108.51","166.09","265.59","Finale B"
"Benjamin Dodane","K1H","109.61","218.85","277.61","Finale B"
"Alex Louveau","K1H","110.13","246.85","283.29","Finale B"
"Robin Pilard","K1H","110.46","228.75","286.9","Finale B"
"Nicolas Rouleaud","K1H","110.47","192.61","287.01","Finale B"
"Loic Thielen","K1H","111.77","313.2","301.22","Finale B"
"Simon Dubosc","K1H","111.99","253.82","303.62","Finale B"
"Gwenael Marquer","K1H","112.94","299.21","314","Finale B"
"Quentin Le Duc","K1H","113.15","263.95","316.3","Finale B"
"Silvere Desongins","K1H","113.49","251.94","320.02","Finale B"
"Pierre Bourdet","K1H","113.75","244.14","322.86","Finale B"
"Antoine Saul","K1H","113.82","245.18","323.62","Finale B"
"Denis Guilmard","K1H","114.36","253.8","329.52","Finale B"
"Cedric Jegouzo","K1H","114.53","174.13","331.38","Finale B"
"Youn Aubry","K1H","114.65","236.84","332.69","Finale B"
"Franck Delachair","K1H","117.66","294.72","365.59","Finale B"
"Dorian Ollivier","K1H","117.87","278.45","367.88","Finale B"
"Paul Gestin","K1H","118.97","252.47","379.91","Finale B"
"Emeric Bussonnais","K1H","119.66","237.23","387.45","Finale B"
"Jean Charles Hacquart","K1H","119.66","239.28","387.45","Finale B"
"Thomas Brochard","K1H","119.76","280.56","388.54","Finale B"
"Quentin Robin","K1H","119.95","276.02","390.62","Finale B"
"Jeremy Lecollinet","K1H","120.53","312.37","396.96","Finale B"
"Yohan Marck","K1H","121.78","257.14","410.62","Finale B"
"Nicolas Mangeolle","K1H","121.91","270.08","412.04","Finale B"
"Lorin Dumont","K1H","122.45","265.21","417.94","Finale B"
"Julien Fougeron","K1H","122.82","281.44","421.98","Finale B"
"Jonas Godevin","K1H","125.61","226.23","452.47","Finale B"
"Romain Branjauneau","K1H","134.17","257.38","546.03","Finale B"
"Malo Le Paih","K1H","147.76","306.62","694.55","Finale B"
"Timothee Le Mort","K1H","167.09","273.99","905.81","Finale B"
