"Sélectif Régional de Slalom - Vichy - Qualification","Vichy","Qualification","qualif","2017-03-26","Régional","72"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Alice Evlachev","C1D","333.09","499.04","2791.68",""
"Terence Saramandif","C1H","101.35","321.72","335.86",""
"Charles Edouard Dherment","C1H","102.71","-","353.43",""
"Olivier Barriere","C1H","109.18","325.1","437.02",""
"Etienne Wiche","C1H","114.87","478.07","510.52",""
"Benjamin Guyon","C1H","157.36","-","1059.42",""
"Mattis Orchilles","C1H","236.47","692.88","2081.39",""
"Emile Verdier","C1HM","124.44","666.66","634.14",""
"Olivier Barriere-Davy Egraz","C2H","116.73","379.44","466.0",""
"Noe Monier-Benjamin Guyon","C2H","142.02","-","777.86",""
"Davy Egraz-Fanny Mino-vercellio","C2M","126.29","-","454.12",""
"Maxime Bottex-Alice Evlachev","C2M","139.07","-","598.58",""
"Viviana Daille","K1D","104.85","167.86","285.19",""
"Alice Evlachev","K1D","105.62","256.04","294.43",""
"Fanny Mino-vercellio","K1D","111.89","368.33","369.69",""
"Carine Chapuis","K1D","116.15","294.32","420.83",""
"Emilie Armani","K1D","122.72","545.19","499.7",""
"Lea Riera","K1D","124.21","431.53","517.57",""
"Anouk Alberti","K1D","134.31","474.09","638.81",""
"Lucie Fromentoux","K1D","140.75","536.1","716.13",""
"Solene Grenier","K1D","163.16","346.91","985.12",""
"Raphaelle Hovine","K1D","223.55","341.62","1710.03",""
"Marie-mathilde Nevert","K1D","450.08","-","4429.23",""
"Valentine Jussy","K1DM","202.63","1298.01","1458.91",""
"Christophe Augu","K1H","88.19","180.21","222.82",""
"Davy Egraz","K1H","90.17","196.33","249.68",""
"Benjamin Harreau","K1H","90.27","243.03","251.04",""
"Mathieu Monier","K1H","91.49","195.61","267.59",""
"Lucas Augu","K1H","92.89","249.75","286.58",""
"Charles Edouard Dherment","K1H","93.14","272.24","289.97",""
"Maxime Bottex","K1H","93.69","109.1","297.43",""
"Etienne Wiche","K1H","96.22","339.61","331.74",""
"Alexandre Marin","K1H","98.1","286.0","357.24",""
"Antonin Barraud","K1H","99.03","253.91","369.86",""
"Quentin Sablayrolles","K1H","99.83","378.59","380.71",""
"Olivier Barriere","K1H","99.94","338.46","382.2",""
"Yann Leruste","K1H","100.77","379.04","393.46",""
"Louis Mazoyer","K1H","100.87","325.43","394.82",""
"Noe Monier","K1H","102.12","327.53","411.77",""
"Thijs Duvillard","K1H","106.19","586.74","466.98",""
"Arthur Lagleyze","K1H","107.12","286.77","479.59",""
"Maxime Parigot","K1H","108.74","555.9","501.57",""
"Benjamin Guyon","K1H","109.05","451.15","505.77",""
"Mohamed SaÏd Bekkadour","K1H","113.55","435.23","566.81",""
"Gauthier Vanden  Abeele","K1H","113.6","492.34","567.49",""
"Remy Beal","K1H","114.02","473.91","573.19",""
"Sander Duvillard","K1H","117.27","579.41","617.27",""
"Rodolphe Imbaud","K1H","118.91","-","639.52",""
"Claude Flouret","K1H","119.97","647.69","653.89",""
"Florent Dohet","K1H","119.98","1153.41","654.03",""
"Francois Lecuit","K1H","121.92","628.83","680.34",""
"Alexei Evlachev","K1H","122.21","521.09","684.28",""
"Yves Masson","K1H","123.1","528.41","696.35",""
"Olivier Mercier","K1H","127.81","-","760.24",""
"Jean Bonnet","K1H","146.82","-","1018.09",""
"Arthur Brune","K1H","150.57","746.96","1068.96",""
"Yorick Richioud","K1H","166.94","-","1291.0",""
"Alban Crochet","K1H","179.29","850.34","1458.52",""
"Benjamin Gonthier","K1H","182.78","669.59","1505.86",""
"Romain Brouard","K1H","189.13","692.11","1591.99",""
"Marius Samson","K1H","213.39","856.34","1921.06",""
"Emilien Senneret","K1H","229.5","-","2139.58",""
"Theo Douady","K1HM","108.03","463.94","491.94",""
"Arthur Contamine","K1HM","109.22","492.85","508.08",""
"Baptiste Gaillard","K1HM","115.13","456.45","588.24",""
"Clement Couchoud","K1HM","117.18","509.98","616.05",""
"Victor Lagleyze","K1HM","121.69","604.69","677.22",""
"Antoine Mazoyer","K1HM","124.91","-","720.9",""
"Charlie Bouvier","K1HM","137.94","-","897.64",""
"Simon Bailly","K1HM","161.12","-","1212.06",""
"Emile Verdier","K1HM","189.13","697.05","1591.99",""
"Antonin Castille","K1HM","247.94","-","2389.7",""
