"Double SÈlectif RÈgional de Slalom - Ckc Beaurainville - Course N∞2 | Finale - 2017-04-02","Course N∞2 | Finale","2017-04-02","RÈgional","80"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Vincent Hannedouche","C1H","90.58","303.17","257.95","Course N∞2 | Finale A"
"Michael Philibert","C1H","91.75","239.13","273.5","Course N∞2 | Finale A"
"Louis Vandeville","C1H","95.93","294.55","329.05","Course N∞2 | Finale A"
"Jules Bevalot","C1H","97.92","349.86","355.5","Course N∞2 | Finale A"
"Lucien Louchez","C1H","99.61","396.93","377.96","Course N∞2 | Finale A"
"Olivier Gesbert","C1H","101","331.61","396.43","Course N∞2 | Finale A"
"Yvan Leblond","C1H","101.52","454.48","403.34","Course N∞2 | Finale A"
"Paul Lecomte","C1HM","153.51","1042.93","1094.32","Course N∞2 | Finale A"
"Erwan Masson","C1HM","156.31","-","1131.54","Course N∞2 | Finale A"
"Flavien Firon","C1HM","245.4","-","2315.59","Course N∞2 | Finale A"
"Mikael Maupin-Vincent Hannedouche","C2H","105.13","-","387.81","Course N∞2 | Finale A"
"Anthony Thuillier-Nathan Boudaillez","C2H","115.95","-","525.08","Course N∞2 | Finale A"
"Elie Scaglia Mennesson-Roman Vivier","C2H","157.53","808.74","1052.58","Course N∞2 | Finale A"
"Dimitry Vandenabeele-Louis Vandeville","C2H","Abs","-","-","Course N∞2 | Finale A"
"Louis Debureaux-Lisa Bou…","C2M","208.8","-","1482.27","Course N∞2 | Finale A"
"Flavien Firon-C…lya Foucard","C2MM","Dsq","-","-","Course N∞2 | Finale A"
"Zoe Waeles","K1D","134.87","637.94","719.68","Course N∞2 | Finale A"
"Lisa Bou…","K1D","149.05","858.32","894.8","Course N∞2 | Finale A"
"Coralie Delmotte","K1D","172.66","1397.88","1186.37","Course N∞2 | Finale A"
"Maeva Firon","K1D","279.13","-","2501.25","Course N∞2 | Finale A"
"Loane Foulongani","K1D","350.5","2483.55","3382.64","Course N∞2 | Finale A"
