"Sélectif Régional Slalom (Double) - Bassin De La Filature Audincourt - Course N°1 | Finale - 2017-04-29","Course N°1 | Finale","2017-04-29","Régional","105"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Elodie Delavelle","C1D","106.95","396.18","481.41","Course N°1 | Finale A"
"Maude Dominique","C1D","152.33","-","1081.5","Course N°1 | Finale A"
"Camille Hurez","C1D","179.29","494.38","1437.99","Course N°1 | Finale A"
"Agathe Caillet","C1D","Nt","-","-","Course N°1 | Finale A"
"Melyne Jost","C1DM","125.35","564.89","724.72","Course N°1 | Finale A"
"Philippe Thevenin","C1H","87.31","307.5","386.63","Course N°1 | Finale A"
"David Besancon","C1H","97.16","478.68","535.49","Course N°1 | Finale A"
"Charles Fernandes De Oliveira","C1H","97.97","602.3","547.73","Course N°1 | Finale A"
"Vincent Idriss Achaoui","C1H","102.04","410.51","609.24","Course N°1 | Finale A"
"Dyclan Plessis","C1H","102.61","554.91","617.86","Course N°1 | Finale A"
"Simon Clerc","C1H","104","432.78","638.86","Course N°1 | Finale A"
"Anthony Menissier","C1HM","104.07","574.53","639.92","Course N°1 | Finale A"
"Loann Delle Dananchet","C1HM","119.07","669.93","866.61","Course N°1 | Finale A"
"Arnaud Caillet","C1HM","152.01","1175.26","1364.41","Course N°1 | Finale A"
"Maxence Raymond","C1HM","Nt","-","-","Course N°1 | Finale A"
"Oscar Pasteur","C1HM","Nt","-","-","Course N°1 | Finale A"
"Marlene Dumoulin-Sarah Rothenbuhler","C2D","142.34","719.93","804.6","Course N°1 | Finale A"
"Gaetan Kieffert-Louis Savart","C2H","104.28","-","571.46","Course N°1 | Finale A"
"Yann Becker-Vincent Idriss Achaoui","C2H","110.02","532.59","654.26","Course N°1 | Finale A"
"Erwan Degreve-Kilian Godart","C2H","110.45","585.4","660.47","Course N°1 | Finale A"
"Alexis Caspar-Jonathan Chapatte","C2H","113.94","-","710.82","Course N°1 | Finale A"
"Brigitte Marechal-Philippe Thevenin","C2M","119.18","560.3","643.13","Course N°1 | Finale A"
"Yann Becker-Camille Hurez","C2M","125.26","-","723.53","Course N°1 | Finale A"
"Gaelle Aumer-Olivier Urbain","C2M","131.6","570.74","807.37","Course N°1 | Finale A"
"Camille Hurez","K1D","91.64","301.29","354.02","Course N°1 | Finale A"
"Marie Hilger","K1D","93.68","273.66","382.67","Course N°1 | Finale A"
"Elodie Delavelle","K1D","97.01","285.45","429.43","Course N°1 | Finale A"
"Brigitte Marechal","K1D","104.58","502.33","535.74","Course N°1 | Finale A"
"Maurine Laugel","K1D","106.48","427.78","562.42","Course N°1 | Finale A"
"Sarah Rothenbuhler","K1D","112.53","572.55","647.38","Course N°1 | Finale A"
"Maeva Auriol","K1D","Nt","-","-","Course N°1 | Finale A"
"Melyne Jost","K1DM","106.75","463.24","566.21","Course N°1 | Finale A"
"Margaux Cornet","K1DM","134.49","867.1","955.76","Course N°1 | Finale A"
"Cleo Chapoutot","K1DM","170.18","1440.07","1456.94","Course N°1 | Finale A"
"Jonathan Chapatte","K1H","76.01","192.55","273.3","Course N°1 | Finale A"
"Mathieu Douillet","K1H","76.73","281.31","284.72","Course N°1 | Finale A"
"Loic Thielen","K1H","78.03","306.86","305.35","Course N°1 | Finale A"
"Alexis Caspar","K1H","79.16","255.31","323.28","Course N°1 | Finale A"
"Xavier Marie","K1H","79.97","274.49","336.13","Course N°1 | Finale A"
"Benjamin Dodane","K1H","80.12","217.43","338.51","Course N°1 | Finale A"
"Alexis Pacholak","K1H","81.62","337","362.32","Course N°1 | Finale A"
"Charles Fernandes De Oliveira","K1H","83.27","289.82","388.5","Course N°1 | Finale A"
"Yann Becker","K1H","84.97","265.69","415.48","Course N°1 | Finale A"
"Florent Tamburini","K1H","85.6","326.59","425.47","Course N°1 | Finale A"
"Vincent Idriss Achaoui","K1H","85.97","382.3","431.34","Course N°1 | Finale A"
"Kilian Godart","K1H","88","358.56","463.56","Course N°1 | Finale A"
"Luca Gabelli","K1H","88.24","470.73","467.36","Course N°1 | Finale A"
"Louis Pein","K1H","88.29","397.55","468.16","Course N°1 | Finale A"
"Olivier Urbain","K1H","89.24","318","483.23","Course N°1 | Finale A"
"Gaetan Kieffert","K1H","89.8","-","492.12","Course N°1 | Finale A"
"Augustin Jaujay","K1H","91.75","497.09","523.06","Course N°1 | Finale A"
"Leonard Painteaux","K1H","91.79","505.77","523.7","Course N°1 | Finale A"
"Xavier Rat","K1H","92.12","448.05","528.93","Course N°1 | Finale A"
"Christophe Billaud","K1H","92.64","408.6","537.19","Course N°1 | Finale A"
"Eddy Cassard","K1H","93.24","336.07","546.71","Course N°1 | Finale A"
"Dyclan Plessis","K1H","95.01","377.38","574.79","Course N°1 | Finale A"
"Erwan Degreve","K1H","96.65","480.21","600.82","Course N°1 | Finale A"
"Anthony Menissier","K1HM","95.64","572.56","584.79","Course N°1 | Finale A"
"Yann Mercier","K1HM","98.18","705.73","625.09","Course N°1 | Finale A"
"Lilian Becker","K1HM","108.02","-","781.24","Course N°1 | Finale A"
"Samuel Tahaafe","K1HM","108.81","599.56","793.77","Course N°1 | Finale A"
"Arnaud Caillet","K1HM","112.61","676.32","854.07","Course N°1 | Finale A"
"Antonin Robert","K1HM","142.14","435.01","1322.66","Course N°1 | Finale A"
"Olivier Urbain","C1H","97.09","413.79","539.44","Course N°1 | Finale B"
"Titouan Auriol","C1H","103.39","570.73","634.64","Course N°1 | Finale B"
"Alexis Pacholak","C1H","105.79","630.82","670.91","Course N°1 | Finale B"
"Christophe Billaud","C1H","114.48","571.95","802.25","Course N°1 | Finale B"
"Angelino Castagnetti","C1H","117.14","574.2","842.44","Course N°1 | Finale B"
"Irenee Jaujay","C1H","Nt","-","-","Course N°1 | Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","121.86","497.46","830.07","Course N°1 | Finale B"
"Charles Leonard-Christophe Billaud","C2H","212.48","-","2137.32","Course N°1 | Finale B"
"Mattew Vuillard-Luca Gabelli","C2H","Nt","-","-","Course N°1 | Finale B"
"Agathe Caillet","K1D","112.54","537.46","652.52","Course N°1 | Finale B"
"Maude Dominique","K1D","113.46","525.43","665.43","Course N°1 | Finale B"
"Audrey Masson","K1D","143.09","981.89","1081.51","Course N°1 | Finale B"
"Manon Louis","K1D","251.33","1168.83","2601.5","Course N°1 | Finale B"
"Camille Neveu","K1D","406.41","-","4779.24","Course N°1 | Finale B"
"Tiphanie Beurnier","K1D","Nt","-","-","Course N°1 | Finale B"
"Kevin Rancon","K1H","79.48","312.7","333.36","Course N°1 | Finale B"
"Yael Leleu","K1H","95.03","500.3","580.11","Course N°1 | Finale B"
"Irenee Jaujay","K1H","97.36","565.14","617.08","Course N°1 | Finale B"
"Titouan Auriol","K1H","100.35","446.87","664.53","Course N°1 | Finale B"
"Come Champurney","K1H","100.7","509.92","670.08","Course N°1 | Finale B"
"Mathieu Deloffre","K1H","103.37","577.27","712.45","Course N°1 | Finale B"
"Frederic Caillet","K1H","103.66","530.57","717.05","Course N°1 | Finale B"
"Matthew Vuillard","K1H","105.1","537.82","739.9","Course N°1 | Finale B"
"Paul Farrugio","K1H","106.75","617.5","766.09","Course N°1 | Finale B"
"Paul Bornier","K1H","109.95","-","816.86","Course N°1 | Finale B"
"Luc Primet","K1H","110.08","-","818.93","Course N°1 | Finale B"
"Gustave Wuhrlin","K1H","115.3","888.83","901.76","Course N°1 | Finale B"
"Lucas Matkovic","K1H","115.4","681.62","903.35","Course N°1 | Finale B"
"Kevin Vienny","K1H","118.38","740.68","950.63","Course N°1 | Finale B"
"Brian Bontems","K1H","122.8","-","1020.77","Course N°1 | Finale B"
"Theo Lejeune","K1H","129.7","-","1130.26","Course N°1 | Finale B"
"Ludovic Mazimann","K1H","159.14","-","1597.42","Course N°1 | Finale B"
"Virgile Bessot","K1H","166.76","1010.52","1718.34","Course N°1 | Finale B"
"Loic Schmit","K1H","172.71","-","1812.75","Course N°1 | Finale B"
"Victor Hirschmann-rodriguez","K1H","177.58","-","1890.03","Course N°1 | Finale B"
"Mattheo Szkuta","K1H","239.96","-","2879.89","Course N°1 | Finale B"
"Charles Leonard","K1H","Nt","-","-","Course N°1 | Finale B"
"Oscar Pasteur","K1HM","105.84","658.73","751.65","Course N°1 | Finale B"
"Loann Delle Dananchet","K1HM","115.37","-","902.87","Course N°1 | Finale B"
"Maxime Pein","K1HM","116.42","893.17","919.53","Course N°1 | Finale B"
"Maxence Raymond","K1HM","127.06","-","1088.37","Course N°1 | Finale B"
"Max Cantenot","K1HM","203.05","3447.98","2294.2","Course N°1 | Finale B"
