"Sélectif Régional de Slalom - Stade D'eaux Vives De Salbris - Finale - 2017-04-30","Stade D'eaux Vives De Salbris","Finale","finale","2017-04-30","Régional","62"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ines Vinet","C1D","181.88","842.74","980.68","finale a"
"Issam Chakir","C1H","106.44","216.98","335.77","finale a"
"Julien Paulais","C1H","108.97","253.71","366.73","finale a"
"Benjamin Harreau","C1H","115.16","466.76","442.47","finale a"
"Gregory Menuat","C1H","126.63","582.44","582.82","finale a"
"Mattis Orchilles","C1H","139.41","679.48","739.19","finale a"
"Emile Verdier","C1HM","130.03","538.96","624.42","finale a"
"Noah Fresneda","C1HM","146.28","1145.32","823.25","finale a"
"Collin Pouradier-Romain Caburol","C2H","187.97","-","1228.83","finale a"
"Maxime Husson-Nicolas Husson","C2HM","156.88","-","865.7","finale a"
"Killian Berlu-Valentine Jussy","C2MM","327.91","-","2544.14","finale a"
"Julie Dequeant","K1D","135.72","508.68","576.47","finale a"
"Ines Vinet","K1D","154.31","598.6","787.84","finale a"
"Melizande Jehin","K1D","192.62","-","1223.41","finale a"
"Valentine Jussy","K1DM","152.38","1183.56","765.9","finale a"
"Loane Da Rocha","K1DM","184.41","-","1130.07","finale a"
"Tiphaine Gayon","K1DM","543.54","-","5213.28","finale a"
"Antonin Barraud","K1H","90.78","247.92","199.7","finale a"
"Benjamin Harreau","K1H","94.38","230.9","245.95","finale a"
"Guillaume De Fierville","K1H","97.0","270.09","279.61","finale a"
"Florian Torche","K1H","97.44","357.74","285.26","finale a"
"Pascal Dongarra","K1H","103.78","316.96","366.72","finale a"
"Collin Pouradier","K1H","104.34","406.58","373.91","finale a"
"Thomas Ukalovic","K1H","105.0","346.42","382.39","finale a"
"Jerome Talbot","K1H","107.03","449.75","408.47","finale a"
"Nicolas Leconte","K1H","108.72","467.17","430.19","finale a"
"Yoann Turowsky","K1H","115.78","482.43","520.89","finale a"
"Sander Duvillard","K1H","116.72","512.91","532.97","finale a"
"Romain Caburol","K1H","119.6","645.43","569.97","finale a"
"Mael Poirier","K1H","127.65","815.56","673.4","finale a"
"Baptiste Souchu","K1H","131.5","-","722.86","finale a"
"Leo Front","K1H","131.87","774.66","727.61","finale a"
"Steve Bruniquel","K1H","133.85","778.58","753.05","finale a"
"Marius Samson","K1H","136.44","730.04","786.33","finale a"
"Issam Chakir","K1H","152.28","323.88","989.84","finale a"
"Theo Douady","K1HM","104.72","395.71","378.8","finale a"
"Noah Fresneda","K1HM","118.72","596.05","558.67","finale a"
"Killian Berlu","K1HM","136.41","816.01","785.94","finale a"
"Gael Busson","K1HM","153.25","-","1002.3","finale a"
"Selyan Bourgognon","K1HM","164.78","-","1150.44","finale a"
"Baptist Besancon","C1H","140.63","767.57","759.12","finale b"
"Mael Poirier","C1H","181.5","959.54","1259.21","finale b"
"Vincent TouzÉ-bourguin","C1H","198.78","2354.42","1470.64","finale b"
"Thijs Duvillard","K1H","114.35","449.59","507.52","finale b"
"Julien Dessolin","K1H","120.66","-","588.59","finale b"
"Simon Labet","K1H","124.44","825.6","637.16","finale b"
"Florent Dohet","K1H","125.66","635.77","652.83","finale b"
"Jean Michel Arnoult","K1H","130.91","-","720.28","finale b"
"Lucas Dongarra","K1H","133.13","842.16","748.8","finale b"
"Stephane Verdier","K1H","138.66","1202.9","819.85","finale b"
"Eric Pouradier","K1H","147.58","774.44","934.45","finale b"
"Clement Rabeau","K1H","179.65","-","1346.48","finale b"
"Jean-marc Vallee","K1H","202.6","-","1641.34","finale b"
"Matthieu Dehais","K1H","206.62","-","1692.99","finale b"
"David Lacube","K1H","217.19","-","1828.79","finale b"
"Arsene Boyer","K1H","222.28","-","1894.18","finale b"
"Bruno Dehais","K1H","229.31","-","1984.5","finale b"
"Nicolas Dequeant","K1H","245.44","1309.01","2191.74","finale b"
"Hugo Paugois","K1HM","129.65","-","704.09","finale b"
"Erwann De Broissia","K1HM","164.16","-","1147.47","finale b"
"Yuri Kurts","K1HM","218.03","-","1839.58","finale b"
"Leo Leblanc","K1HM","395.78","-","4123.28","finale b"
