"Sélectif National 3 Slalom Ouest - Bras De La Marbrerie - Qualification - 2017-05-14","Bras De La Marbrerie","Qualification","qualif","2017-05-14","Nationale 3","235"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Marion Grangeon","C1D","129.49","381.8","372.37",""
"Louna Beurel","C1D","137.69","683.25","458.35",""
"Jann Le Corre","C1D","146.03","608.14","545.79",""
"Eva Marchand","C1D","160.08","635.23","693.1",""
"Claire Chaussadas","C1D","161.4","863.55","706.94",""
"Ines Vinet","C1D","173.57","842.74","834.55",""
"Matheo Lebaindre","C1H","108.34","324.27","312.89",""
"Richard Davy","C1H","108.62","322.09","316.25",""
"Malo Legrand","C1H","110.39","384.37","337.45",""
"Samuel Vallienne","C1H","111.42","364.36","349.79",""
"Hugo Eouzan-chaffotec","C1H","111.92","347.62","355.78",""
"Alex Louveau","C1H","112.3","460.44","360.34",""
"Lubin Huet","C1H","115.69","365.67","400.96",""
"Pascal Marrec","C1H","115.98","430.75","404.44",""
"Guillaume Caron","C1H","116.18","513.5","406.84",""
"Paul Gestin","C1H","117.87","404.53","427.08",""
"Yoann Bizot","C1H","118.02","436.48","428.88",""
"Herve Busson","C1H","118.65","508.21","436.43",""
"Youn Aubry","C1H","118.7","375.19","437.04",""
"Timothee Cornu","C1H","119.39","322.91","445.3",""
"Jeremy Bretteville","C1H","119.9","507.47","451.41",""
"Martin Barbier","C1H","122.07","522.29","477.41",""
"Florian Lohezic","C1H","122.44","578.96","481.85",""
"Glen Le Meur","C1H","122.83","461.11","486.52",""
"Romain Bruneau","C1H","125.37","553.3","516.96",""
"Mewen Debliquy","C1H","125.37","543.89","516.96",""
"Gregory Menuat","C1H","126.8","579.0","534.09",""
"Gwenole Noyalet","C1H","126.9","542.14","535.29",""
"Thomas Ollivo","C1H","127.38","559.04","541.04",""
"Thibault Lamour","C1H","129.47","530.58","566.09",""
"Awen Le Paih","C1H","130.23","638.08","575.2",""
"Maxime Lignereux","C1H","132.29","559.52","599.87",""
"Elouan Pennors","C1H","135.44","677.19","637.62",""
"GaËtan De Greef","C1H","136.49","673.3","650.2",""
"Adrien Le Collinet","C1H","136.52","755.99","650.56",""
"Gaetan Le Jeune","C1H","139.3","611.74","683.88",""
"Mathis Poree","C1H","139.37","862.91","684.71",""
"Rafael Lerusse","C1H","139.59","734.05","687.35",""
"Baptist Besancon","C1H","139.88","755.87","690.82",""
"Louis Beaumois","C1H","141.57","637.54","711.08",""
"Marin Salmon","C1H","141.92","561.79","715.27",""
"Hugo Robert","C1H","149.1","728.36","801.3",""
"Noah Fresneda","C1H","151.48","992.25","829.83",""
"Yannick Courtay","C1H","152.9","687.81","846.84",""
"Malo Marquet","C1H","154.37","771.11","864.45",""
"Yohan Dupont","C1H","158.02","664.16","908.19",""
"Armand Fougere","C1H","170.68","899.45","1059.89",""
"Tanguy Odot","C1H","187.46","591.69","1260.96",""
"Anais Robineau-Romane Bronchet","C2D","174.23","871.99","700.94",""
"Clement Dubois-Martin Dubois","C2H","121.26","493.79","401.66",""
"Herve Busson-Christophe Gergaud","C2H","134.23","527.72","550.01",""
"Ewen Berrest-Yannis Houze","C2H","141.04","618.62","627.9",""
"Theo Douady-Victor Lagleyze","C2H","141.91","-","637.85",""
"Younes Kismi-Guillaume Caron","C2H","143.92","773.96","660.84",""
"Lou Renaud-Theo Renaud","C2M","142.99","673.42","513.91",""
"Laura Saliou","K1D","119.0","507.24","339.68",""
"Romane Bronchet","K1D","120.16","372.7","352.59",""
"Thiphaine Ruellan","K1D","122.06","520.49","373.75",""
"Jann Le Corre","K1D","122.23","429.31","375.64",""
"Veronique Vourch","K1D","122.53","408.97","378.98",""
"Lou Renaud","K1D","123.88","402.24","394.01",""
"Eva Marchand","K1D","125.53","476.25","412.38",""
"Frederique Piton","K1D","127.18","424.15","430.76",""
"Louna Beurel","K1D","128.65","503.09","447.13",""
"Ines Vinet","K1D","130.17","598.6","464.05",""
"Christine Le Gall","K1D","135.96","358.33","528.52",""
