"Sélectif National 3 Slalom Est - Sélestat - Finale - 2017-05-14","Finale","2017-05-14","Nationale 3","220"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Thais Francois","C1D","115.45","346.94","372.38","Finale A"
"Claire Haab","C1D","116.42","352.96","383.66","Finale A"
"Elodie Delavelle","C1D","119.08","396.18","414.59","Finale A"
"Camille Hurez","C1D","127.72","494.38","515.06","Finale A"
"Lucille Meunier-cheyssac","C1D","129.66","420.49","537.62","Finale A"
"Celia Grandadam","C1D","133.86","468.5","586.46","Finale A"
"Melyne Jost","C1D","138.51","564.89","640.53","Finale A"
"Emma Vaubourg","C1D","141.05","545.2","670.07","Finale A"
"Anais Mouhoub","C1D","145.3","534.49","719.49","Finale A"
"Caoimhe O'ferrall","C1D","163.37","278.39","929.63","Finale A"
"Jules Vonderscher","C1H","104.05","337.89","412.66","Finale A"
"Jean Charles Hacquart","C1H","104.27","409.87","415.59","Finale A"
"Paul Aubertin","C1H","105.74","314.18","435.12","Finale A"
"Christophe Despres","C1H","106.24","309.92","441.77","Finale A"
"Lucas Latimier","C1H","106.88","369.94","450.26","Finale A"
"Philippe Senechal","C1H","107.67","426.9","460.77","Finale A"
"Jonathan Chapatte","C1H","107.96","454.3","464.62","Finale A"
"Vincent Idriss Achaoui","C1H","110.03","405.03","492.13","Finale A"
"Victor Hennin","C1H","110.07","403.61","492.67","Finale A"
"Loic Trenchant","C1H","111","400.31","505.02","Finale A"
"Loric Bertrand Delorme","C1H","111.62","556.67","513.27","Finale A"
"Antonin Dreit","C1H","113.02","393.75","531.87","Finale A"
"Patrice Campioni","C1H","113.04","380.66","532.14","Finale A"
"Simon Hene","C1H","114.23","464.09","547.95","Finale A"
"Claude Menissier","C1H","116","426.22","571.47","Finale A"
"Jean Marc Trenchant","C1H","116.21","400.81","574.26","Finale A"
"Angelino Castagnetti","C1H","116.32","573.73","575.73","Finale A"
"Anthony Menissier","C1H","118.46","549.09","604.17","Finale A"
"Vivien Stemmelen","C1H","119.56","523.02","618.79","Finale A"
"Alexis Caspar","C1H","120.75","593.13","634.6","Finale A"
"Leo Collard","C1H","126.26","538.12","707.84","Finale A"
"Jules Latimier","C1H","129.51","568.05","751.02","Finale A"
"Joris Schaffner","C1H","163.18","527.6","1198.5","Finale A"
"Matthieu Walfard","C1H","163.43","499.38","1201.82","Finale A"
"Tanguy Malingre","C1H","177.24","655.78","1385.35","Finale A"
"Jean Charles Hacquart-Marvin Tulpin","C2H","117.62","460.11","521.95","Finale A"
"Thibault Blaise-Yann Becker","C2H","119.58","410.32","546.82","Finale A"
"Alexis Caspar-Jonathan Chapatte","C2H","124.59","509.5","610.38","Finale A"
"Philippe Senechal-Xavier Rat","C2H","130.36","577.25","683.57","Finale A"
"Florent Tamburini-Johann Thevenin","C2H","132.78","684.46","714.27","Finale A"
"Nathan Barbier-Maxime Di Lauro","C2H","195.29","672.98","1507.26","Finale A"
"Silvere Desongins-Angelique Guilcher","C2M","118.09","407.67","403.08","Finale A"
"Celia Grandadam-Joris Schaffner","C2M","134.46","573.1","593.44","Finale A"
"Yann Becker-Camille Hurez","C2M","140.97","727.33","669.14","Finale A"
"Claire Haab","K1D","104.42","351.31","319.33","Finale A"
"Anne Fischer","K1D","106.92","328.65","350.2","Finale A"
"Anais Mouhoub","K1D","112.33","366.75","417.01","Finale A"
"Lolita Seguy","K1D","112.5","370.51","419.11","Finale A"
"Margot Perrin","K1D","114.32","367.05","441.59","Finale A"
"Emma Vaubourg","K1D","120","388.04","511.73","Finale A"
"MaÏa Gombert","K1D","120.98","387.92","523.83","Finale A"
"Athenais Reby","K1D","122.54","366.49","543.09","Finale A"
"Melyne Jost","K1D","123.24","452.1","551.74","Finale A"
"Jessica Joyau","K1D","123.88","469.89","559.64","Finale A"
"Lou-anne Cointin","K1D","129.89","428.79","633.86","Finale A"
"Maeva Auriol","K1D","135.1","410.1","698.21","Finale A"
"Mathieu Douillet","K1H","85.78","271.4","226.85","Finale A"
"Jan Rohrer","K1H","87.49","272.59","250.72","Finale A"
"Maxime Aubertin","K1H","91.53","340.23","307.09","Finale A"
"Nathan Barbier","K1H","92.23","338.38","316.86","Finale A"
"Victor Hennin","K1H","92.92","294.67","326.49","Finale A"
"Anthony Rouhier","K1H","94.01","331.32","341.7","Finale A"
"Anthony Ulrich","K1H","94.02","329.17","341.84","Finale A"
"Baptiste Podor","K1H","94.03","356.13","341.98","Finale A"
"Loric Bertrand Delorme","K1H","94.06","341.53","342.4","Finale A"
"Alexis Pacholak","K1H","94.68","337","351.05","Finale A"
"Aurelien Merieux Danneaux","K1H","95.96","410.27","368.91","Finale A"
"Kyle Gelb","K1H","96.78","417.99","380.35","Finale A"
"Paul Frommer","K1H","96.84","373.87","381.19","Finale A"
"Leo Peter","K1H","97.06","375.28","384.26","Finale A"
"Simon Munch","K1H","97.29","469.2","387.47","Finale A"
"Matthieu Walfard","K1H","97.59","355.34","391.66","Finale A"
