"Championnat de France Slalom Masters - Saint Clément Sur Durance - Demi-finale - 2017-07-09","Demi-finale","2017-07-09","Championnats de France","89"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","133.38","365.84","372.91",""
"Baptiste Delaplace","C1H","95.98","80.28","127.71",""
"Mathieu Doby","C1H","99.43","-","168.52",""
"Charly Chassigneux","C1H","101.35","144.57","191.23",""
"Vincent Hannedouche","C1H","103.72","287.42","219.27",""
"Lorrie Delattre","C1H","104.89","336.63","233.11",""
"Thomas Levert","C1H","105.99","241.4","246.12",""
"Benoit Chantry","C1H","106.44","252.36","251.44",""
"Gauthier Gonseth","C1H","107.22","250.85","260.67",""
"Jeancharles Reby","C1H","107.25","317.15","261.03",""
"Xavier Jourdain","C1H","108.37","264.78","274.28",""
"Fabien Tournadre","C1H","111.84","311.2","315.32",""
"Jan Pischek","C1H","111.95","288.29","316.63",""
"Richard Davy","C1H","112.57","312.37","323.97",""
"Guillaume Carbon","C1H","114.49","345.77","346.67",""
"Olivier Gesbert","C1H","114.66","329.97","348.68",""
"Maxime Vallin","C1H","115.58","298.34","359.57",""
"Medhi Deguil","C1H","115.78","338.63","361.94",""
"Charles Edouard Dherment","C1H","116.72","-","373.06",""
"Guillaume Doutreix","C1H","168.86","322.87","989.85",""
"Philippe Thevenin","C1H","170.97","311.67","1014.82",""
"Catherine Boulan-Melina Letellier","C2D","273.43","846.31","1604.85",""
"Charly Chassigneux-Fabien Tournadre","C2H","111.53","-","251.69",""
"Xavier Jourdain-Benoit Letellier","C2H","112.39","327.18","261.4",""
"Philippe Thevenin-Christophe Marechal","C2H","113.76","313.38","276.87",""
"Christian Boob-Frederic Boob","C2H","114.08","307.78","280.48",""
"Frederic Momot-Jean Philippe Winiarski","C2H","117.68","357.76","321.13",""
"Jeancharles Reby-Gregory Ganthier","C2H","119.05","365.68","336.6",""
"Nicolas Detheve-Nil Georgel","C2H","121.94","288.58","369.24",""
"Guillaume Carbon-Maxime Vallin","C2H","137.18","429.46","541.33",""
"Frederic Boob-Frederique Merle","C2M","123.01","344.4","265.56",""
"Davy Egraz-Fanny Mino-vercellio","C2M","137.39","518.29","414.42",""
"Sophie Colbus-Johann Thevenin","C2M","145.51","386.68","498.46",""
"Catherine Boulan-Xavier Jourdain","C2M","151.93","413.01","564.91",""
"Florence Marchal-Jacques Nardeau","C2M","157.93","621.29","627.02",""
"Sophie Delage-Christian Boob","C2M","178.5","631.81","839.94",""
"Anneline Triomphe","K1D","107.12","145.24","169.78",""
"Claire Landrin","K1D","114.49","260.54","250.79",""
"Sophie Colbus","K1D","115.47","221.83","261.56",""
"Stephanie Kaczmarek","K1D","118.41","208.56","293.88",""
"Frederique Merle","K1D","118.71","280.45","297.17",""
"Sylviane Quemerais","K1D","128.73","397.91","407.31",""
"Fanny Mino-vercellio","K1D","137.32","348.05","501.74",""
"Melina Letellier","K1D","147.52","468.18","613.86",""
"Sophielaure BÉnÉteau","K1D","150.12","579.91","642.45",""
"Florence Marchal","K1D","184.41","614.18","1019.37",""
"Jocelyne Roupioz","K1D","232.5","550","1547.98",""
"Celine Garcia","K1D","272.22","799.08","1984.59",""
"Sandrine Arnal","K1D","369.06","653.83","3049.08",""
"Mathieu Doby","K1H","87.31","63.83","76.79",""
"Fabien Tournadre","K1H","93.56","180.05","154.42",""
"Xavier Jourdain","K1H","93.57","168.89","154.54",""
"Christophe Augu","K1H","93.68","194.45","155.91",""
"Christophe Marechal","K1H","94.15","152.13","161.75",""
"Benoit Chantry","K1H","96.45","116.98","190.31",""
"Davy Egraz","K1H","96.77","200.34","194.29",""
"Damien Ganthier","K1H","97.16","253.67","199.13",""
"Benoit Letellier","K1H","97.54","232.64","203.85",""
"Bertrand Gourrat","K1H","97.99","220.13","209.44",""
"Nicolas Coudert","K1H","99.33","232.13","226.09",""
"Vincent Hannedouche","K1H","100.19","256.57","236.77",""
"Jean Philippe Winiarski","K1H","100.46","250.36","240.12",""
"Herve Busson","K1H","101.82","230.02","257.02",""
"Denis Guilmard","K1H","102.19","257.48","261.61",""
"Bertrand Avril","K1H","102.87","270.8","270.06",""
"Franck Delachair","K1H","103.29","322.42","275.28",""
"Patrick Clerc","K1H","104.14","322.97","285.83",""
"Nicolas Detheve","K1H","104.23","294.53","286.95",""
"Olivier Hardonniere","K1H","104.42","329.94","289.31",""
"Cedric Mace","K1H","104.61","280.62","291.67",""
"Charles Edouard Dherment","K1H","105.1","236.13","297.76",""
"Laurent Le Touze","K1H","105.23","326.7","299.37",""
"Lionel Tinevez","K1H","105.63","295.65","304.34",""
"Pascal Marrec","K1H","105.84","315.37","306.95",""
"Sebastien Martel","K1H","106.18","363.94","311.17",""
"Julien Coudert","K1H","106.79","295.04","318.75",""
"Jacques Precigout","K1H","106.89","324.66","319.99",""
"Bertrand Bercon","K1H","107","234.26","321.36",""
"Vincent Menager","K1H","107.66","306.24","329.56",""
"Herve Clerc","K1H","107.86","340.24","332.04",""
"Jean Aussant","K1H","108.27","348.66","337.13",""
"Sebastien Lepaulard","K1H","108.38","328.87","338.5",""
"Jean Christophe Erdois","K1H","109.07","328.3","347.07",""
"Gwenael Marquer","K1H","110.63","306.31","366.45",""
"Guillaume Doutreix","K1H","112.02","341.88","383.71",""
"Loic Sieber","K1H","114.03","376.12","408.68",""
"Fabien Paleau","K1H","218.77","313.59","1709.67",""
"Sylvain Curinier","K1H","Dsq","-","-",""
"Sebastien Mouyen Bie","K1H","Dsq","-","-",""
