"Championnat de France Slalom Masters - Saint Clément Sur Durance - Finale - 2017-07-09","Finale","2017-07-09","Championnats de France","42"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Claire Landrin","C1D","127.17","360.4","334.32",""
"Baptiste Delaplace","C1H","94.76","80.28","137.27",""
"Mathieu Doby","C1H","96.45","245.41","157.43",""
"Charly Chassigneux","C1H","99.16","144.57","189.77",""
"Lorrie Delattre","C1H","100.69","308.11","208.03",""
"Benoit Chantry","C1H","101.32","250.47","215.55",""
"Gauthier Gonseth","C1H","102.78","247.3","232.97",""
"Thomas Levert","C1H","103.07","239.88","236.43",""
"Xavier Jourdain","C1H","104.63","264.78","255.04",""
"Jeancharles Reby","C1H","107.02","298.03","283.57",""
"Vincent Hannedouche","C1H","109.03","267.39","307.55",""
"Catherine Boulan-Melina Letellier","C2D","454.98","846.31","3391.64",""
"Philippe Thevenin-Christophe Marechal","C2H","107.69","301.51","233.15",""
"Charly Chassigneux-Fabien Tournadre","C2H","110.83","299.61","268.92",""
"Frederic Momot-Jean Philippe Winiarski","C2H","113.4","342.34","298.19",""
"Christian Boob-Frederic Boob","C2H","114.94","296.71","315.73",""
"Xavier Jourdain-Benoit Letellier","C2H","116.3","304.25","331.22",""
"Frederic Boob-Frederique Merle","C2M","127.26","317.56","335.26",""
"Davy Egraz-Fanny Mino-vercellio","C2M","138.52","475.06","452.83",""
"Catherine Boulan-Xavier Jourdain","C2M","142.67","413.01","496.17",""
"Sophie Colbus-Johann Thevenin","C2M","150.45","386.68","577.39",""
"Florence Marchal-Jacques Nardeau","C2M","161.28","614.87","690.47",""
"Anneline Triomphe","K1D","103.14","145.24","150.13",""
"Claire Landrin","K1D","108.39","250.67","208.34",""
"Stephanie Kaczmarek","K1D","111.56","208.56","243.49",""
"Sophie Colbus","K1D","116.34","221.83","296.5",""
"Frederique Merle","K1D","118.29","280.45","318.11",""
"Fanny Mino-vercellio","K1D","126.89","348.05","413.47",""
"Sylviane Quemerais","K1D","128.15","396.76","427.44",""
"Melina Letellier","K1D","145.36","468.18","618.27",""
"Florence Marchal","K1D","195.19","614.18","1170.79",""
"Sophielaure BÉnÉteau","K1D","308.97","579.91","2432.38",""
"Mathieu Doby","K1H","86.71","63.83","92.94",""
"Christophe Marechal","K1H","91.39","151.06","151.58",""
"Christophe Augu","K1H","92.55","183.01","166.11",""
"Damien Ganthier","K1H","93.34","235.1","176.01",""
"Fabien Tournadre","K1H","93.95","170.53","183.66",""
"Benoit Chantry","K1H","94.22","116.98","187.04",""
"Xavier Jourdain","K1H","95.23","161.68","199.69",""
"Davy Egraz","K1H","95.61","194.17","204.46",""
"Bertrand Gourrat","K1H","96.86","209.35","220.12",""
"Benoit Letellier","K1H","98.41","222.76","239.54",""
