"SÈlectif RÈgional de Slalom - Epinal - Course n∞2 | Finale","Epinal","Course n∞2 | Finale","finale","2017-09-17","RÈgional","290"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Charlotte Abba","C1D","103.5","174.49","201.04","finale a"
"Anne-lise Moisan-ehrwein","C1D","106.84","215.44","239.67","finale a"
"Thais Francois","C1D","107.13","310.76","243.03","finale a"
"Julia Budzinski","C1D","110.5","194.21","282.01","finale a"
"Auregane Philip","C1D","112.28","355.27","302.61","finale a"
"Lucille Meunier-cheyssac","C1D","116.41","390.64","350.38","finale a"
"Sophie Staudt","C1D","120.9","-","402.33","finale a"
"Viviana Daille","C1D","121.15","318.51","405.21","finale a"
"Camille Hurez","C1D","122.9","455.11","425.47","finale a"
"Celia Grandadam","C1D","129.26","405.82","499.04","finale a"
"Mae Bianco","C1DM","135.57","-","572.03","finale a"
"Mylene Guilcher","C1DM","136.63","550.31","584.29","finale a"
"Charlotte Grenier","C1DM","151.88","-","760.72","finale a"
"Thibault Blaise","C1H","88.84","99.68","178.26","finale a"
"Hugo Latimier","C1H","90.98","181.1","206.56","finale a"
"Emilien Kempf","C1H","91.19","103.62","209.33","finale a"
"Adrien Fischer","C1H","91.28","232.54","210.52","finale a"
"Lucas Vancon","C1H","95.67","324.59","268.56","finale a"
"Marcantoine Hacquart","C1H","95.84","239.77","270.81","finale a"
"Jan Pischek","C1H","96.54","288.29","280.07","finale a"
"Christophe Despres","C1H","96.69","293.36","282.05","finale a"
"Marvin Tulpin","C1H","97.17","301.72","288.39","finale a"
"Yoan Del Rey","C1H","97.39","311.69","291.3","finale a"
"Paul Aubertin","C1H","97.59","286.44","293.95","finale a"
"Philippe Thevenin","C1H","98.43","331.78","305.05","finale a"
"Lucas Latimier","C1H","98.58","335.21","307.04","finale a"
"Jules Chaumet","C1H","100.95","296.63","338.37","finale a"
"Robin Pottelette","C1H","101.23","333.83","342.07","finale a"
"Julien Gaspard","C1H","103.08","355.55","366.53","finale a"
"Lucas Galmiche","C1H","103.19","-","367.98","finale a"
"Alexis Collin","C1H","103.42","358.95","371.02","finale a"
"Victor Hennin","C1H","103.91","377.87","377.5","finale a"
"Silvere Desongins","C1H","104.47","307.48","384.91","finale a"
"Jules Vonderscher","C1H","104.48","331.8","385.04","finale a"
"Corentin Monasse","C1H","105.29","392.9","395.75","finale a"
"Claude Menissier","C1H","109.52","423.48","451.68","finale a"
"Thomas L'huillier","C1H","148.95","268.3","972.98","finale a"
"Maxime Bottex","C1H","269.43","285.15","2565.84","finale a"
"Loann Delle Dananchet","C1HM","111.51","575.06","477.98","finale a"
"Hugo Monasse","C1HM","112.47","-","490.67","finale a"
"Anthony Menissier","C1HM","113.75","498.08","507.59","finale a"
"Jules Latimier","C1HM","116.64","523.39","545.81","finale a"
"Tanguy Malingre","C1HM","119.53","551.96","584.01","finale a"
"Arnaud Caillet","C1HM","119.59","633.61","584.81","finale a"
"Matthieu Koffel","C1HM","121.62","714.2","611.65","finale a"
"Lucas Jamart","C1HM","124.58","911.49","650.79","finale a"
"Laurel Hartmann","C1HM","133.57","821.27","769.64","finale a"
"Auregane Philip-Thais Francois","C2D","121.25","426.7","298.48","finale a"
"Jean Charles Hacquart-Marvin Tulpin","C2H","102.04","370.35","291.46","finale a"
"Philippe Thevenin-Olivier Urbain","C2H","105.4","379.38","333.86","finale a"
"Claude Menissier-Gerard Menissier","C2H","105.75","413.43","338.28","finale a"
"Yann Becker-Vincent Idriss Achaoui","C2H","107.39","441.62","358.98","finale a"
"Hugo Simon-Alexis Collin","C2H","113.95","-","441.76","finale a"
"Theophile Didierjean-Stanislas Ledore","C2HM","122.13","667.61","544.99","finale a"
"Charlotte Abba-Hugo Latimier","C2M","108.05","-","253.67","finale a"
"Silvere Desongins-Angelique Guilcher","C2M","111.05","315.82","288.38","finale a"
"Matthieu Walfard-Gaelle Delaborde","C2M","118.94","-","379.65","finale a"
"Corentin Monasse-Maœa Gombert","C2M","120.24","-","394.69","finale a"
"Julia Budzinski-Vincent Idriss Achaoui","C2M","123.94","-","437.49","finale a"
"Clara Hulin-Theo Reby","C2MM","132.62","-","537.91","finale a"
"Viviana Daille","K1D","93.97","157.51","158.13","finale a"
"Celia Grandadam","K1D","99.59","271.03","227.17","finale a"
"Camille Hurez","K1D","99.88","274.87","230.74","finale a"
"Sophie Colbus","K1D","100.07","221.83","233.07","finale a"
"Angelique Guilcher","K1D","101.16","243.51","246.46","finale a"
"Charlotte Abba","K1D","102.04","247.49","257.27","finale a"
"Marie Hilger","K1D","104.11","260.01","282.7","finale a"
"Thais Francois","K1D","104.81","291.9","291.3","finale a"
"Anais Mouhoub","K1D","105.74","356.12","302.72","finale a"
"Auregane Philip","K1D","106.52","250.8","312.31","finale a"
"Margot Perrin","K1D","107.03","325.35","318.57","finale a"
"Sophie Staudt","K1D","107.12","390.1","319.68","finale a"
"Anne-lise Moisan-ehrwein","K1D","107.31","-","322.01","finale a"
"Jeanne Bernard","K1D","107.57","309.05","325.21","finale a"
"Marilyn Giroux","K1D","107.9","354.34","329.26","finale a"
"Justine Clerc","K1D","108.06","311.04","331.23","finale a"
"Adeline Roux","K1D","108.95","344.71","342.16","finale a"
"Tifenn Primet","K1D","110.37","343.54","359.61","finale a"
"Marie Gaspard","K1D","111.11","-","368.7","finale a"
"Maœa Gombert","K1D","114.04","347.42","404.69","finale a"
"Julia Budzinski","K1D","116.72","306.78","437.61","finale a"
"Melyne Jost","K1DM","116.47","405.3","434.55","finale a"
"Charlotte Grenier","K1DM","118.71","-","462.06","finale a"
"Amelie Nicot","K1DM","119.82","-","475.69","finale a"
"Charlotte Doucet","K1DM","133.4","-","642.53","finale a"
"Pierre Marie Roussel","K1H","82.86","151.29","153.98","finale a"
"Robin Pottelette","K1H","83.98","129.11","169.52","finale a"
"Julien Haberland","K1H","84.05","113.81","170.5","finale a"
"Gabriel De Coster","K1H","85.26","238.94","187.29","finale a"
"Lucas Latimier","K1H","86.03","86.73","197.98","finale a"
"Corentin Monasse","K1H","87.48","181.11","218.11","finale a"
"G…r‘me Martin","K1H","88.06","225.24","226.16","finale a"
"Jean Charles Hacquart","K1H","88.6","231.75","233.66","finale a"
"Etienne Wiche","K1H","89.49","284.38","246.01","finale a"
"Nicolas Mangeolle","K1H","89.7","270.19","248.93","finale a"
"Austin Widmer","K1H","89.74","-","249.48","finale a"
"Victor Hennin","K1H","90.41","275.21","258.79","finale a"
"Joris Schaffner","K1H","90.51","195.7","260.17","finale a"
"Laurent Starck","K1H","90.72","190.94","263.09","finale a"
"Loœc Winiarski","K1H","91.07","244.77","267.95","finale a"
"Erwan Rouch","K1H","91.31","221.87","271.28","finale a"
"Florient Tagnon","K1H","91.91","231.31","279.61","finale a"
"Benjamin Dodane","K1H","92.2","216.39","283.63","finale a"
"Maxime Aubertin","K1H","92.21","291.94","283.77","finale a"
"Thibault Blaise","K1H","92.73","228.64","290.99","finale a"
"Noe Monier","K1H","92.8","285.31","291.96","finale a"
"Cyril Audoit","K1H","93.63","303.83","303.49","finale a"
"Jules Cresp","K1H","93.64","222.52","303.62","finale a"
"Paul Bostoen","K1H","93.88","359.75","306.96","finale a"
"Marcantoine Hacquart","K1H","94.31","-","312.93","finale a"
"Kilian Godart","K1H","94.93","351.18","321.53","finale a"
"Gwendal Duchet","K1H","94.93","-","321.53","finale a"
"Anthony Rouhier","K1H","95.42","317.66","328.33","finale a"
"Leo Peter","K1H","95.54","318.83","330.0","finale a"
"Hugo Simon","K1H","95.71","245.08","332.36","finale a"
"Loric Bertrand Delorme","K1H","95.81","290.99","333.75","finale a"
"Pierre Biagui","K1H","96.09","348.15","337.64","finale a"
"Hugo Latimier","K1H","96.22","347.24","339.44","finale a"
"Christophe Siffert","K1H","96.6","391.57","344.72","finale a"
"Pierre-louis Gstalter","K1H","99.03","420.3","378.45","finale a"
"Loic Joly","K1H","99.67","346.56","387.33","finale a"
"Luca Gabelli","K1H","99.82","415.35","389.42","finale a"
"Olivier Hardonniere","K1H","99.88","315.32","390.25","finale a"
"Damien Burteaux","K1H","100.88","354.06","404.13","finale a"
"Jules Gastaud","K1H","101.31","-","410.1","finale a"
"Paul Frommer","K1H","101.66","371.16","414.96","finale a"
"Raphael Ricci Miege","K1H","102.08","304.75","420.79","finale a"
"Thomas Michel","K1H","103.47","369.52","440.08","finale a"
"Eddy Cassard","K1H","103.58","332.22","441.61","finale a"
"William Pawlus","K1H","105.93","420.28","474.23","finale a"
"Aurelien Merieux Danneaux","K1H","107.36","364.69","494.09","finale a"
"Louis Gasser","K1H","110.96","451.53","544.06","finale a"
"Lois Pignon","K1H","112.6","454.74","566.83","finale a"
"Mathieu Monier","K1H","139.17","150.82","935.67","finale a"
"Yann Becker","K1H","141.36","265.69","966.08","finale a"
"Baptiste Podor","K1H","141.63","309.61","969.82","finale a"
"Rafael Pawlus","K1H","152.07","-","1114.75","finale a"
"Antonin Robert","K1HM","93.9","375.82","307.23","finale a"
"Theo Reby","K1HM","97.51","-","357.35","finale a"
"Hugo Monasse","K1HM","97.69","395.72","359.85","finale a"
"Matthieu Koffel","K1HM","98.28","461.06","368.04","finale a"
"Baptiste Gaillard","K1HM","99.16","418.62","380.25","finale a"
"Arthur Contamine","K1HM","99.55","383.21","385.67","finale a"
