"SÈlectif RÈgional de Slalom - Sr Slalom De Troyes - Course n∞1 | Finale","Sr Slalom De Troyes","Course n∞1 | Finale","finale","2017-09-23","RÈgional","194"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Anne-lise Moisan-ehrwein","C1D","124.33","215.44","291.62","finale a"
"Amaurie Guilleret","C1D","128.57","335.25","335.41","finale a"
"Viviana Daille","C1D","135.64","318.51","408.39","finale a"
"Pauline Clerc","C1DM","190.69","-","976.77","finale a"
"Melyne Jost","C1DM","260.91","564.89","1701.77","finale a"
"Benoit Chantry","C1H","106.62","240.82","266.04","finale a"
"Emilien Kempf","C1H","106.9","103.62","269.35","finale a"
"Marvin Tulpin","C1H","108.15","289.7","284.09","finale a"
"Louison Tanet","C1H","109.88","242.26","304.51","finale a"
"Philippe Thevenin","C1H","111.39","311.72","322.32","finale a"
"Jules Vonderscher","C1H","113.89","331.8","351.82","finale a"
"Emmanuel Walczak","C1H","114.6","-","360.2","finale a"
"Robin Pottelette","C1H","115.61","329.98","372.12","finale a"
"Etienne Nardeau","C1H","116.92","363.35","387.57","finale a"
"Patrice Campioni","C1H","118.92","374.63","411.17","finale a"
"Claude Menissier","C1H","119.28","423.48","415.42","finale a"
"Thomas Argenson","C1H","120.43","451.15","428.99","finale a"
"Philippe Senechal","C1H","120.91","413.45","434.65","finale a"
"Loœc Pottier","C1H","121.44","442.98","440.9","finale a"
"Vivien Stemmelen","C1H","123.21","460.96","461.79","finale a"
"Vincent Ganthier","C1H","126.82","417.64","504.39","finale a"
"Alexis Collin","C1H","131.07","357.02","554.54","finale a"
"Bastien Moreaux","C1H","134.79","-","598.43","finale a"
"Guillaume Gonseth","C1H","173.7","412.75","1057.56","finale a"
"Loann Delle Dananchet","C1HM","127.09","506.95","507.57","finale a"
"Anthony Menissier","C1HM","127.91","491.52","517.25","finale a"
"Jules Latimier","C1HM","132.52","521.61","571.65","finale a"
"Tanguy Malingre","C1HM","133.29","543.83","580.73","finale a"
"Noah Fresneda","C1HM","146.96","677.8","742.03","finale a"
"Jean Charles Hacquart-Marvin Tulpin","C2H","116.3","322.34","317.88","finale a"
"Emilien Kempf-Alexis Collin","C2H","118.85","-","346.59","finale a"
"Louison Tanet-Emmanuel Walczak","C2H","121.89","-","380.84","finale a"
"Philippe Thevenin-Olivier Urbain","C2H","125.87","351.09","425.67","finale a"
"Charles Billon-Dyclan Plessis","C2H","139.91","-","583.81","finale a"
"Antoine Pas-Thomas Argenson","C2H","151.98","636.47","719.76","finale a"
"Christophe Billaud-Elodie Delavelle","C2M","138.36","391.18","436.48","finale a"
"Gaelle Aumer-Olivier Urbain","C2M","146.36","495.57","519.08","finale a"
"Amaurie Guilleret-Cyprien Dufour","C2M","147.12","-","526.93","finale a"
"Emilie Ballan-Matthieu Walfard","C2M","147.96","-","535.6","finale a"
"Stanislas Ledore-Mylene Guilcher","C2MM","270.75","-","1803.37","finale a"
"Caroline Bourry","K1D","106.38","159.42","174.34","finale a"
"Viviana Daille","K1D","108.33","153.77","195.72","finale a"
"Flora Bove","K1D","113.87","211.99","256.46","finale a"
"Justine Clerc","K1D","118.96","311.04","312.26","finale a"
"Jeanne Bernard","K1D","122.71","307.26","353.38","finale a"
"Nelia Barbosa","K1D","125.73","367.53","386.49","finale a"
"Elodie Delavelle","K1D","126.49","283.5","394.83","finale a"
"Maœa Gombert","K1D","127.63","347.42","407.33","finale a"
"Jessica Joyau","K1D","133.26","394.93","469.05","finale a"
"Fiona Gille","K1D","134.16","474.26","478.93","finale a"
"Margaux Barbier","K1D","155.73","535.05","715.42","finale a"
"Pauline Clerc","K1DM","137.28","405.45","513.14","finale a"
"Melyne Jost","K1DM","138.15","397.01","522.68","finale a"
"Mylene Guilcher","K1DM","151.05","458.42","664.12","finale a"
"Souhayla Khattabi","K1DM","197.55","-","1173.95","finale a"
"Alyssa Lhomme","K1DM","296.37","515.5","2257.44","finale a"
"Robin Pottelette","K1H","95.3","129.11","188.69","finale a"
"Lucas Galmiche","K1H","96.63","154.58","205.17","finale a"
"Benoit Chantry","K1H","97.04","142.08","210.25","finale a"
"Jean Charles Hacquart","K1H","99.36","229.21","238.99","finale a"
"Emilien Kempf","K1H","100.69","274.46","255.47","finale a"
"Lucas Correia","K1H","100.84","272.69","257.33","finale a"
"Lucas Augu","K1H","101.55","225.92","266.12","finale a"
"Maxime Aubertin","K1H","101.9","286.83","270.46","finale a"
"Loœc Pottier","K1H","102.55","300.06","278.51","finale a"
"Erwan Rouch","K1H","104.36","221.87","300.94","finale a"
"Andreas Dupuy","K1H","105.13","207.27","310.48","finale a"
"Jean Christophe Boivin","K1H","105.73","273.34","317.91","finale a"
"Anthony Rouhier","K1H","106.15","317.66","323.12","finale a"
"Kevin Rancon","K1H","106.32","296.09","325.22","finale a"
"Yann Becker","K1H","107.06","265.69","334.39","finale a"
"Patrice Campioni","K1H","107.07","330.85","334.51","finale a"
"Eden Quevremont","K1H","107.54","333.09","340.34","finale a"
"Loric Bertrand Delorme","K1H","107.93","290.08","345.17","finale a"
"Matthieu Walfard","K1H","108.97","353.16","358.06","finale a"
"Olivier Urbain","K1H","109.01","341.61","358.55","finale a"
"Eddy Cassard","K1H","110.09","330.84","371.93","finale a"
"Victor Paulais","K1H","110.46","317.98","376.52","finale a"
"Louison Tanet","K1H","111.26","319.63","386.43","finale a"
"Guillaume Maraquin","K1H","111.67","-","391.51","finale a"
"Thomas Lesage","K1H","113.53","453.12","414.55","finale a"
"Enzo Claeys","K1H","113.58","458.21","415.17","finale a"
"Bastien Moreaux","K1H","113.73","438.18","417.03","finale a"
"Antoine Pas","K1H","114.44","390.94","425.83","finale a"
"Benjamin Dubert","K1H","114.75","430.75","429.67","finale a"
"Aurelien Merieux Danneaux","K1H","114.9","351.81","431.53","finale a"
"Christophe Billaud","K1H","115.03","420.66","433.14","finale a"
"Collin Pouradier","K1H","116.07","363.83","446.02","finale a"
"Jerome Talbot","K1H","116.29","430.12","448.75","finale a"
"Florian Torche","K1H","117.08","330.4","458.54","finale a"
"Leonard Painteaux","K1H","117.86","426.62","468.2","finale a"
"Matthew Vuillard","K1H","117.95","469.59","469.31","finale a"
"Nicolas Castagnetti","K1H","118.25","507.52","473.03","finale a"
"Guillaume Cochut","K1H","121.33","447.79","511.19","finale a"
"Julien Michelin","K1H","122.57","-","526.55","finale a"
"Matheo Dejonghe","K1H","123.42","471.74","537.09","finale a"
"Guerlain Robin","K1H","166.9","376.4","1075.79","finale a"
"Theo Reby","K1HM","107.83","349.44","343.93","finale a"
"Theo Douady","K1HM","108.78","346.58","355.7","finale a"
